---
Bogennummer: 08980
Ort: Groß Kölzig
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Miriam Schlicht
Anmerkungen: ''
...
WS01	Im Winter fliehn die tregen Blätter in der Luft rum.
WS02	Es hört gleich uf zu ſchneen, denn wird das Wetter wieder beſſer.
WS03	Thuk Kohle in den Ofen, daß die Milch anfängt zu kochen.
WS04	Der gude alte Mann is mit den Ferde eingebrochen und ins kalde Waſſer gefallen.
WS05	Er is vor vier oder ſechs Wochen geſchturben.
WS06	Das Feier wor zu heeß, die Kuchen ſind ja unten ganz ſchwarz verbrannt.
WS07	Er ißt die Eier immer ohne Salz und Feffer.
WS08	Die Beene thun mir ſehr weh, ich globe, ich ho ſe durchgeloofen.
WS09	Ich bin bei der Frau geweſen und hobe es ihr geſoot, und ſie ſote, ſie wulde es ooch ihre Tochter ſon.
WS10	Ich will es noch nich mehr wieder thun.
WS11	Ich ſchlo dir gleich mit'n Kochlöffel um die Ohren! du Affe.
WS12	Wu gehſte hin, ſolln mer mitte gehen?
WS13	Es ſind ſchlechte Zeiten!
WS14	Mein leibes Kind, bleib hier unten ſtehn, die beeſe Gänſe beißen dir todt.
WS15	Du haſt heite am mehrſchten gelernt und biſt ortig geweſen, du derfſt riſcher ehme gehen, als die andern.
WS16	Du biſt noch nich groß genung, eene Flaſche Wein auszutrinken, du mußt erſcht noch'n Schtickchen wachſen und greßer werden.
WS17	Geh, bis ſo gut und ſog deine Schweſter, ſie ſoll die Kleeder vor eire Mutter fertig nähn'n und mit der Birſchte reene machen.
WS18	Hättſte ihn gekannt, denn wäre es anderſch gekumm', und es hätte beſſer um ihn ſtehn.
WS19	Wer hat mir meinen Korb mit Fleeſch geſchtohlen?
WS20	Er thot ſo, als hätten ſe ihn zum Dreſchen beſchtellt; ſie hobens aber alleene gethon.
WS21	Wem hat a die neie Geſchichte erzählt?
WS22	Man muß laut ſchreien, ſunſt verſchteht a uns nich.
WS23	Wir ſind miede und hoben Durſcht.
WS24	Wie mer geſtern Obend zurickkomen, do logen die Andern ſchon in Bette und woren feſt eingeſchlofen.
WS25	Der Schnee is die Nacht liegen geblieben, aber heite frieh is a geſchmolzen.
WS26	Hinter unſern Hauſe ſchtehn drei ſcheene Äppelbeeme mit rothe Aeppel.
WS27	Konnt ihr noch nich'n Obenblick uf uns warten, denn geh'mer mit eich.
WS28	Ihr derft nich ſoone Kindereien treiben.
WS29	Unſe Berge ſind nich ſehr ooch, eire ſind viel heher.
WS30	Wie viel Fund Wurſcht und wie viel Brot wullter hoben.
WS31	Ich verſchteh eich nich, ihr mißt'n bischen lauter reden.
WS32	Hobter keen Schtükchen weiße Seefe vor mir uf meinen Tiſche gefunden?
WS33	Sein Bruder will ſich zwee ſcheene neie Heiſer in eiren Gorten baun.
WS34	Das Wort kam ihn von Herzen!
WS35	Das war racht von ihnen!
WS36	Was ſitzen do vor Vogel uf der Mauer?
WS37	Die Pauer hutten fünf Ochſen und nein Kihe und zwölf Schofe vors Dorf bracht, die wulldenſe verkoofen.
WS38	Die Leite ſind heite alle draußen uf'm Felde und haun.
WS39	Geh nur, der braune Hund thut dir niſcht.
WS40	Ich bin mit die Leite do hinten über die Wieſe ins Korn gefohren.
