---
Bogennummer: 10019
Ort: Dasburg
Sprache: Deutsch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: Praktikum DSA
Transliterent: Jaqueline Jebreily
Anmerkungen: ''
...
WS01	Am Wanter flegen de drehen Bläder durch d’ Luft ärem.
WS02	Et hiert schneen ob ze schneien, de ged d’ Weder nomal besser.
WS03	Doo Kolen en den Uaren, dat de Melich bal an ze Koachen fängt.
WS04	Der goden alen Maan as mat dem Perd durch Eis gebroog ŭn en dat kal Waaser gefallen.
WS05	Hen as fir aner oder sechs Wochen gestorwen.
WS06	Et feier war ze gladig, d’ Kuchen jo enen ganz schwarz gebrannt.
WS07	Hin eßt de Ajer met [onen] Salz a Peffer.
WS08	D’ feß don mir fir mi, ech ennen ech fät se[?]
WS09	Ich war bei der Frau gewest un han a et gesood, un si sod se welt hirer dochder et son.
WS10	Ich well et d mat mi don.
WS11	Ich schlon dich schren mat dem Koochläffel em d’ Uaren, dŭ Aaf.
WS12	War gost du sollen wir mat dr gon?
WS13	D’se schlecht Zeiten.
WS14	Mingt left Kŏnnd bleiw hei ston, di bis Găns beisen dech dugd.
WS15	Du haß hegd am mesten gelert un de [?]sch br[?] , du dóoft freer hem gonn [?] di aner.
WS16	Du boß en net gruß genn fir’n Fläsch Wein auzedrenken, du moß  no e beshen wasen ne grißer geew.
WS17	Gi baß e su gut e se dänger Schwestwer, si soll de Kleder fir ne Mamm fierdig bezen [?] ent de Licht renlich men.
WS18	Hätt dŭ hinn kannt! de wier et anescht gengen, en et det besser em en ston.
WS19	Wen hat mir mein Kŏrw mat dm Flesch gesolt.
WS20	Henn dud esu, all Mann dir en fir ze dräschen bestalt häd; dir hed et awer selwer gedon.
WS21	Henn ded en de mi Geschicht erzallt.
WS22	Et maß en laot Gresch dun, toß  [?] E es net.
WS23	Wir se med un hann duscht.
WS24	[?] wir gester Owend erömm kamm, du lugen di awer ärnäl am Bett e [?] enschlaf.
WS25	De Schni es heet bei es lein bliewen, awer de Morgen as’n geschmolz.
WS26	Henner esem Haus stin drei schenner Äbbalbemchen med rugden Äbbelchen.
WS27	Kĕnnt ir net  [?] er ä beschen ob es merden, de gin wir mad eh.
WS28	Dir dorft net usu kannrig sann.
WS29	Et Berger sen net sier hi, äer se vil hier.
WS30	Wie viel Pont Wuscht n wie viel brugt hät ir gaon?
WS31	Ich verstie äch net, dir mad ä baschen mi laot schprätzen.
WS32	Hed ihr kennt Steck weis Seef fir mech ob dm Desch fond?
WS33	Sei Broder well finf gwenn schen nei Hoaser an ärem Gart bauen.
WS34	Dat Wrot kam hin avem Herz.
WS35	Dat war  [?] wan hinen
WS36	Wad setzen de vier Vule  [?] ob der Mauerchen?
WS37	De bauern heden fenf Oken n näng Keh an zwielf  Schäfchen fiod doof bragt, di wollen sin verkaofen.
WS38	D’ Läyt sen häyt all d brusen ob em Feld mihen.
WS39	gi  [?] dinn brungen Hend dat dir nicht.
WS40	Ich sa mat Läyden zesammen in dia  [?] mat Koarn gefahr.
