---
Bogennummer: 10080
Ort: Briedel
Sprache: Deutsch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Em Wonter flegen die dröckenä Bläder durch de Luf häröm.
WS02	At hürt gleich of zu schniä, dann wirdäd Wäder besser.
WS03	De Kollä on dä Ofe, datt de Melch kocht.
WS04	Dä gode ahle Mann os mot dem Pärd of dem Eis ongebroch und in datt kalt Waser gefall.
WS05	Er os vor vier oder sechs Woche gestorefä.
WS06	Datt Feuer war ze heiß, de Koche senn jo enne ganz schwarz vebrannt.
WS07	Er ess de Eier immä ohne Salz on Päafa.
WS08	De Föß dön ma so wih, ich glafe eich hann se dorchgelaf.
WS09	Eich wor bei dä Fra gewäs on honn ät ihr gesot, se sot se wollt ät auch ihrem Mädchen son.
WS10	Eich well ät auch nett mehr widder don!
WS11	Eich schlon dä gleich mat däm Kochläfel om de Uhre, Duaf!
WS12	Wo geisde hen, söll ämä mottä gohn?
WS13	Ät senn schlägte Zeiten.
WS14	Mei lef Kond bleif ston, de Gäns beißä dech dud.
WS15	Du hast heut am bestä geliert, bes brav gewäst, dau darfs fröher heim gon wie die annere.
WS16	Dau böss noch net gruß genog für'n Flasch Wein zu trenkä, dau mos noch zuers wasä on größer wärdä.
WS17	Gih, sei so got on sag deine Schwester, se soll de Klader für de Mottä fertig mache on met dä Bürsch sauber machä.
WS18	Hätts dauän gekannt, dann wär et annerschde komm, unät tät besser umen ston.
WS19	Wär hott ma meine Korf mott dem Fleisch gestoll?
WS20	Är deit äso, als hät er mich zom Drasche <(Dresche?)>bestalt; se honnet äffer sälbä gedohn.
WS21	Wämm hasde dat Neues gesot?
WS22	Ma mos hart schreiä, sos versteit er eine net.
WS23	Mir sei möd un honn Dusch!
WS24	As mä gestre Ofend zurückkome, do logen de Annere schons im Bät on woren faß am schlofen.
WS25	Dä Schnie os de Nach leie gebliefe, äffä haut Morgend issa geschmälzt.
WS26	Hinner osem Haus stien drei schine Äpelbäum met rude Äpel.
WS27	Könnde net noch en Augenblick auf us wade, dann gihn wir mott auch.
WS28	Ihr dorft nidde su Konnerei dreifä!
WS29	Os Berg sein net sehr hu, auer sein fill hüer.
WS30	Wie vill Pond Wuscht on wie vell Pond Brut wellde honn?
WS31	Eich verstien euch net, ihr mößt häetä schwazen.
WS32	Hasdau kei Stück weiß Seif of meinem Desch fon?
WS33	Sei Broder will sech zwei schiene neue Häuser in aurem Garde bauä.
WS34	Dat Woärt kom äm vam Herze.
WS35	Dat woä räg von imm!
WS36	Wat sitzen do für Vigelche ofe uf dem Mäuerche?
WS37	Di Bauerä han fünf Ochse un neun Köh un zwölf Schäfcher vör dat Dorf gebrach, de wolltense verkeife.
WS38	Di Leit sein haut all drauße auf dem Feld un mähe.
WS39	Gih nure, de braune Hond deit dir neus.
WS40	Eich sein met dännä Leide da honne üfer de Wies innet Koan gefahr.
