---
Bogennummer: 10103
Ort: Ebschied
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Winder fliehe die truckene Bläre durich die Luft remm.
WS02	It herd gleich uff se schneie, dann werd datt Währe wire besser.
WS03	Du Kuhle in dä Uwe, datt die Milich  ball an se koche fengt.
WS04	Dä gut ald Mann iß <(ihs)> mit dem Gaul durich datt Eis gebroch un in datt kald Wasser gefall.
WS05	Er iß vor vier ohre sechs Wuche gestorb.
WS06	Datt Fauer war sou häß, die Kuche senn je une ganz schwarz gebrann.
WS07	Er esst die Aier emmer  ohne Salz un Peffer.
WS08	Di Fis dun mehr sehr weh, ich gläb ich honn se uff gelaf.
WS09	Ich senn bei der Frah gewest unn et ihr gesat, un sie sat, sie wullet ach ihrer Dochder sahn.
WS10	Ich well et ach net meh wiere <(wiare)> duhn.
WS11	Ich schlan dich gleich mit dem Kochleffel <(Kochlaffel)> im die Ohre, du Aff.
WS12	Wo gehste hien sulle mir mit der gehe
WS13	It sinn schlechte Zeire.
WS14	Mei lieb Kirnd <(Kiend, Kind,)> bleib hie unne stehn die bese Gäns beiße dich dut.
WS15	Dau hoßt haut am merschte gelehrt un bist a’rtig <(e’rtig)> gewest  dau derehfst ach früher nach Haus gehn.
WS16	Dau bist noch nit goß genug im en Flasch Wein ausse trinke, dau must erscht noch ’en Enn wachse un großer <(graßer)> wäre.
WS17	Geh sei sou gut un sa deiner Schwester, sie sull die Kläre für auer Mutt er fartig <(fertig)> nähe unn mit der Berscht reinmache.
WS18	Hässt daun kannt’ dann wäret anerscht komm, un et dät besser umn stehn.
WS19	Wer hot mir meine Koreb mit Flaisch geschtuhl
WS20	Er duht sou aß häre sen zum desche bestahlt, sie honnt aber selbst gedohn.
WS21	Wem hore die nei Geschiecht verzielt?
WS22	Mer [???] hart schraie sußt verstehr’et nit.
WS23	Mer sin mid unn honn Durscht
WS24	Mer sen gest Owet sereck komm, do honn die anere schonn im Bett gelehn un honn feßt geschlof
WS25	Dr Schnee eß die Nacht bei us lein geblieb aber haut moge <(morge)> eß er ge[???]
WS26	Henner userm Haus stehn drei schene Äbelbäm mit schene Äbelcher
WS27	Kennt der nett nochn Aueblick uff us warde dann geh mer met auch.
WS28	Der dereft nett solche Kennereie treiwe.
WS29	Us Berig senn nett arig hoch, aner senn viel heger
WS30	Wie viel Punn Wourscht unn wie viel Broud wullt d’ honn
WS31	Ich verstehn auch nett, der mißt in bische härter schwätze.
WS32	Hot der kei Stickche weiß Seif ver mich uff meinem Disch funn.
WS33	Sei Brure well sich zwei schene neie Heiser in auerem Garde boum <(baun)>
WS34	Datt Wohrt kamen fumen <(funne)> Herze.
WS35	Datt war recht vunn auch.
WS36	Watt setze do vor Välcher, uwe uffem Mäuerche?
WS37	Die Bauern harre fenef Ochse unn nein Kieh unn zwelef Schof voret Doref bracht die wullese verkafe
WS38	Die Leit senn haut all draus uffem Fell unn mähe.
WS39	Geh nur, dä baun Hund duth der neist.
WS40	Ich senn mit der Leit do hennen üwer die Wiese inet Kohr gefahr.
