---
Bogennummer: 10120
Ort: Henschhausen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Wenter fliehe die trockene Bläre dorich die Luft herum.
WS02	S’ hört gleich uff Schnee se fahre, dann werd’s Wäärer werrer besser.
WS03	Du Kuhle in de Uwe, daß die Milich bald an se koche fingt.
WS04	Der gut alt Mann is met dem Gaul dorichs Eis gebroch un ins kalt Wasser gefall.
WS05	Er is vor vier ore sechs Woche gestoreb.
WS06	S’feuer war so haiß, die Kuche sin jo unne ganz schwarz gebrannt.
WS07	Er ischt. die Ajer immer ohne Salz un Peffer.
WS08	Die Fiß thun mer so weh, ich glab ich hon se dorich gelaf.
WS09	Ich sinn bei der Fra gewescht un hon ser gesaht, un se hot gesaht, se wollt’s ag erer Doochter sahn.
WS10	Ich will’s ag nit meh werre duhn.
WS11	Ich schlan dich gleich meddem Kochlöffel um die Ohre, du Aff.
WS12	Wo gescht de hin, solle mer met der gehn.
WS13	Es sin schleechte Zeire.
WS14	Mei liewes Kind, bleib lo unne stehn, die böse Gäns beiße dich dodt.
WS15	Du hoscht haut am maischte gelert un bischt artig gewescht, de därfscht friher haim gehn als die Annere.
WS16	Du bischt noch nit groß genug, umme Flasch Wein aus se trinke, du muscht erscht noch en Enn wachse un größer wäre.
WS17	Geh, sei so gut un sa deiner Schweschter, sie soll die Klaire für auer Mutter fäärdig nähe un met der Beerschd sauwer mache.
WS18	Häschten gekannt! dann wärs annersch komm, un s’ dät besser um en stehn.
WS19	Wer hot mer mei Mann mezt Flaisch gestuhl?
WS20	Er daht so, aß hätte sen zum dresche bestallt; se hons aber selbscht gedohn.
WS21	Wem hot er <(ir)> die nau Geschiecht verzielt?
WS22	Mer muß laut schraie suscht verstieht er us nit.
WS23	Mer sin mid un hon Doorst.
WS24	Als mer geschter Owend zerik (° ) komm sin lo lage die Annere schun ze Bett un ware fescht am schloofe.
WS25	Der Schnie is die Naachd bei us leihe gebleb, awer haut Marje is er geschmolz.
WS26	Hinner usrem Haus stiehe drei schene Appelbem met rore Äppelcher.
WS27	Kennt er nit noch en Ajeblickelche uf us waarte, dann gehe mer met eich.
WS28	Ehr derft nit solche Kinderreie treiwe.
WS29	Usere Berje sin nit sehr hoch, die eire sin viel hejer.
WS30	Wieviel Pund Woorst un wieviel Brod wollt er hon?
WS31	Ich verstiehe eich nit, er mißt e bische lauter schwätze.
WS32	Hott er kän Stickelche weiß Saif fir meich uf’m Disch fun?
WS33	Sei Brure will seich zwo schene naue Heiser in eirem Gaarte baue.
WS34	Dat Woort kam ihm von Heerze.
WS35	Das war reecht vun ihm!
WS36	Was hocke lo vir Völcher lo uwe uf dem Meierche?
WS37	Die Bauere <(Bauern)> hon finf Okse un nein Kih un zwelf Schefcher vor des Dooref gebraacht, die wolle se verkaafe.
WS38	Die Leit sin haut all drauß uffem Fell un mähe.
WS39	Geh norets, de braun Hund duth der niks.
WS40	Ich bin met de Leit lo hinne iwer die Wies ins Korre gefahr.
