---
Bogennummer: 10160
Ort: Mainz
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Victoria Schaub
Anmerkungen: ''
...
WS01	Im Winder fli'e die drucken Bletter dorch die Luft e'rum.
WS02	S'hert gleich uff zu schneie, dann wird's Wedder widder besser.
WS03	Du'h Kohle in de Ofe, daß die Milch bold an z'koche fengt.
WS04	D'r gute alte Mann is mit d'm Gaul dorch's Eis gebrochen un in's kalt Wasser gefalle.
WS05	Er is vor vier odder sechs Woche gestorwe.
WS06	I's Feier war z'häß, die Kuche sein jo unne ganz schwarz gebrennt.
WS07	Er ißt die Āier immer ohne Salz un Peffer.
WS08	Die Fiß duhn m'r so weh, ich glaab ich hab'se dorchgeloffen.
WS09	Ich bin bei d'r Frau gewese un hab's'r gesagt, un sie hott gesagt, sie wollt's ach ihrer Dochter sage.
WS10	Ich will's aach nitt mehr widder duhn.
WS11	Ich schlāh d'r glei mit'm Kochleffel um die Ohre, Du Aff.
WS12	Wo gehst'de hin, solle m'r mit d'r gehe
WS13	Es sein schlechde Zeite.
WS14	Main lieb Kind, bleib do unne steh'n, die bese Gens beiße Dich dod.
WS15	Du host heit am meiste gelernt un bist ārdig gewese, Du derfst friher hǟm gehe als die Annern.
WS16	Du bist noch nit groß genug, um 'e Budell Wain auszudrinke, du mußt erscht noch'e Stickelche wachse unn grēßer werre.
WS17	Geh sei so gut unn sag' deiner Schwester, sie sollt die Klǟder for eier Mudder ferdig mache unn mit'dr Berscht sauwer mache.
WS18	Hett'st'n gekennt! Dann wersch annerscht kumme unn 's ded besser um'n schtehe.
WS19	Wer hott m'r main Korb mit Flǟsch geschdohle.
WS20	Er dud so, als hätte s'n zum Dresche bestellt, die haw's ăwer selbst gedahn.
WS21	Wem hott'r die nei Geschicht verzehlt.
WS22	M'r muß laud kreische, sunst verschteht'r uns nitt.
WS23	M'r sein mīd unn hawwe Dorscht.
WS24	Wie m'r gesdern Owend hääm kumme sein, do hawwe die Annern schun im Bedd gelehe und hawwe schun geschlōfe.
WS25	D'r Schnee is die Nacht bei uns leihe gebliwe awer heit Morgens is'r verschmolze.
WS26	Hinner unsern Haus steh'n drei scheene Ebbelbeemcher mit rode Ebbelcher.
WS27	Kennt'r nit noch'n bische uff uns wārde, dann geh'n m'r mit eich.
WS28	Ihr derft so kään Kinnereie dreiwe.
WS29	Unser Berg sein nitt so hoch, eire sein hecher.
WS30	Wieviel Pund Worscht unn wieviel Brod woll'r hawwe.
WS31	Ich verschteh eich nitt, ihr mißt e'bische lauder schwezze.
WS32	Habt'r kään Stickelche weiß Säf for mich uff meim Disch gefunne.
WS33	Sein Bruder will sich zwää scheene Heiser in eiern Garde baue.
WS34	Das Wort kimmt'n vun Herze.
WS35	Deß war recht vunn ihne.
WS36	Was sitze do for Vegelcher owwe uff dem Meierche.
WS37	Die Bauern hawwe finf Ochse unn nein Kīh unn zwelf Hemmel vors Dorf gebrocht, die wollt'e'se verkaafe.
WS38	Die Leit sein heit all drauß uff'm Feld unn mehe.
WS39	Geh nor, der braune Hund dud d'r nix.
WS40	Ich bin mit d'Leit do hinne iwer die Wiss ins Korn gefahre.
