---
Bogennummer: 10178
Ort: Seiwerath
Sprache: Deutsch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Am Wanter flegen die trechne Llatter <(Blatter)> dorch de Luft erom.
WS02	Et hert jleich ob zu schnien, dann jet et Wetter rum besser.
WS03	Dhu Kohlen an den Owen, dat de Milech nald anfängt so kochen <(koochen)>.
WS04	Der jute ale Maan aß mat dem Perd dorch den Eis gebroch und an dat kaal Waaser gefall.
WS05	Hen aß vor vier oder sechs Woche gestorwe.
WS06	Dat Feuer wor zu jlütig, de Koche sen ja ene janz schwarz gebrannt.
WS07	Hen eßt de Eier alt ohne Saalz un Päeffer.
WS08	De Feß then mer sihr wih, ech jlewe, ech honn <(ham)> mehr se durchjelofe.
WS09	Ech wor bei der Fro jewese un hon er et jesoht, un se soht, sei werd et ihrer Toichter sohn.
WS10	Ech well et och net mehr dhon.
WS11	Ech schlin dich jleich mat dem Kochlööffel om <(em)> de Uhren, dau Aaffe.
WS12	Wor <(Woo)> jest de, saale mer mat der jehn.
WS13	Et se schlecht Zeite.
WS14	Mei liev Kand, bleiv lei ene stohn, de bies Gäns beiße dech dut.
WS15	Dau wars hock am merste <(morste)> gelihrt un baßortig jewese, do dorfst früher ob Haus john als die Anre.
WS16	De baß noch net jroß jenog, om en Fleesch Win auszetrinke, de moß ischt nochen En woase un jrößer jenn.
WS17	Joh, sei so jut un son diger Schwester, so <(sa)> soll de Kleder fer eure Motter ret bitzen un mat der Bürscht renlich moache.
WS18	Häätst de hen kaant, dann wir et anesch kun un et steng besser em hen.
WS19	Wen hot mer menge Korf met Flesch gestolle <(jestolle)>.
WS20	Hen dhut so, als wenn se hen zum Dräasche bestaalt hääte; sei hon et awer net selwer gedohn.
WS21	Wähen hoten die nei Jeschicht verzielt.
WS22	Man moß hort jauzen, sos verstehten uas net.
WS23	Wir sen med un hon Durscht.
WS24	Wie mir jester Owend hem kome, do hon de Anre als do je lege und fast jeschlov.
WS25	De Schni aß dies Noicht leije jebliewe, awer hock Morje es er jeschmolze.
WS26	Hanner usem Haus stihn drei schiner Äpelbäumcher <(Apelbämmcher)> mat ruthn Ääpeln.
WS27	Konnt er net noch en Ogenblack ob us worten, dann john mer mat ich.
WS28	Dir dorft net son Kannereien treiwe.
WS29	Uns Berg sen net sehr hih, de ihr sen viel hiher.
WS30	Wieviel Pund Wuscht und wie viel Brut wollt ihr han.
WS31	Ech verstihn ech net, dir nut e bißche horter schwäätze.
WS32	Hot ehr kei Stückche weiß Sef fer mech ob mingem Tesch jefunne.
WS33	Se Broder well sech zwing schiner neuer Häuser an ihrem Jarte bauen.
WS34	Dat Wurt kom em vom Herzen.
WS35	Dat war reecht von ihm.
WS36	Wat setzen do für Vigelchen ob dem Mäuerchen.
WS37	De Bauern hoote fünf Oasen un neng Keh un zwölf Schoof vur et Dorf broicht, die wollten se verkoofen.
WS38	De Lek sen hock al de bauße ob dem Feel un mihen.
WS39	Jangk nur, der bronge Hund deht der neist.
WS40	Ech sen mat de Lecke du hane über die Wies in Kur jefohre.
