---
Bogennummer: 10194
Ort: Densborn
Sprache: Deutsch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Am Wanter flegen die dreuen Bläder durch die Loft romen.
WS02	Et hert ob zu schneuen, da jet dat Wäder rumm besser.
WS03	Do Kohlen ann de Owen, dat die Melch bal an zo kochen fängt.
WS04	Dän joden alen Man eß mat dem Pet durch de Eus gebrach, n aß ann dat kal Waßer gefal.
WS05	Hän aß vir verr oder sechs Wochen gestorwen.
WS06	Dat Feuer wor zo worm, die Kochen sänn ja ennen ganz schwatz gebrahnt.
WS07	Hän eßt die Eier emmer ohne Sahlz en Pefer.
WS08	De Feß do mr digdig wie, euch glewen ech hon se durchgelof
WS09	Euch sen beu der Frau gewest on hon et ihr gesot, on seu sot seu well et och ihrer Doschter son.
WS10	Ech well et och net mi don.
WS11	Euch schlinn deuch gleuch mat dem Kachläfel um de Uhren dau Af.
WS12	Wu jehst dau hin sollen mr mat dr jon.
WS13	Et sen schlecht Zeihten.
WS14	Man lev Kand bleuf heu ennen ston, die bisen Jänsen beußen deuch dut.
WS15	Dau hos heit am mesten gelehrt un bas artig geweßt dau dorfs freher nach Haus jon als de annren.
WS16	Dau baß nach net jruß genoch um en Fläsch Weng auszutranken, dau moß escht nach n Ehn waßen njreßer jänn.
WS17	Jih bas su jot so et denger Schwester seu soll de Kleder für euer Motter fertig nihen mat der Bescht renlich machen.
WS18	Hätzt dau hän gekand, da wer et anisch kun n et dit besser um hän ston.
WS19	Wenn hot mr mengen Korf mat Flesch gestohlen.
WS20	Hän dut su aß häten seu n zm dräschen bestalt, seu honn et äwer sälwer net jedon.
WS21	Wän hot die neu Geschicht verzehld.
WS22	Mr moß laut jauhzen sos versteht hän et net.
WS23	Mier sä med on han Doscht.
WS24	Wie mir jester Owend hanischkomen du lugen die anern alt am Bät e wohren fährm ohm schlofen.
WS25	Dä Schnie as Hind bei oß leuen bliwen n wor de Morgen [v]om geschmolt.
WS26	Haner osem Haus stin dreu schiner Äpelbemm mat ruden Äpelcher.
WS27	Kunt dir net enen Ogenblack ob os waden, da ji mir mat euch.
WS28	Dir dorft net suen Kanereuen treuwen.
WS29	Os Bärig sänn net sihr hih, euer sänn hiher.
WS30	Wiefiel Pond Woscht und wiefiel Brudd wellt dir hon.
WS31	Euch verstinn euch nett dir mott ä winich hoader schwähzen.
WS32	Hot dir ke Steck weuß Sef ob mengem Desch fonnen
WS33	Sä Broder well seuch zwai schiner Heuser ann euern Jaden bauen.
WS34	Dat Woat kom ihm von Herzen.
WS35	Dat wor räscht von euch.
WS36	Wat setzen la fieren Viegelcher owen ob den Mauren.
WS37	De Bauern haten fenf Ochsen n mäng Keh zweläf Schäfjer fir dat Dorf brocht, de wollten seu värkefen.
WS38	De Leit säng heit al de baußen ob dem Fäll en migen.
WS39	Jih nommen dä brongen Hond det dir neußt.
WS40	Euch sänn mat de Leuden la hannen iwer de Wies anät Kohr jefahren.
