---
Bogennummer: 10274
Ort: Pfalzfeld
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Em Wenter fliehe die truckene Bläre dorich die Luft erim.
WS02	Et hert gleich uf se schneie, dann werd det Were wiere besser.
WS03	Dhu Kohle in de Owe, datt die Mellich ball an se koche fängt.
WS04	Dä gut alt Mann iß mit dem Gaul dorig’t eEis gebroch un in dat kalt Wasser gefall.
WS05	Ae iß voor vier or sechs Wuche gestorew.
WS06	Dat Fauer wor zu haiß, die Kuche sin jo unne ganz schwarz gebrannt.
WS07	Ä ißt die Aier immer ohne Salz un Peffer.
WS08	Die Fieß dhun mer so weh, ich gläw, ich hon so dorig gelaaf.
WS09	Ich senn bei der Frah gewes un hon ehr gesaht, un sei saht, sei wullt et ag ehrer Doochter sahn.
WS10	Ich well et aach nit me wiere dhun!
WS11	Ich schlahn dich gleich mit dem Kochleffel im die Ohre, du Aff!
WS12	Wo gehß dou hien, sulle mer mit der gehn?
WS13	Et sen schlegte Zaire.!
WS14	Mai liew Kend, bleiw <(bleiew)> hei une stehn, die bese Gäns beiße deich dodt.
WS15	Dou host haut am maiste gelehrt un biß ordelich gewes, dau därfst friher haim gehn as die Annere.
WS16	Dou biß noch nit groß genug, im en Flasch Wein auszedrinke, dou mußt erscht noch en Enn wachse ungreßer wäre.
WS17	Geh, sei so gut un sah deiner Schwester, sei sull die Kläre für auer Motter fertig näje un mit der Berscht sauer mache.
WS18	Häß dou en kannt! dann wär et annerscht kumm, un et dhät besser im en stehn.
WS19	Wer hot mer meine Koreb mit Flaisch gestohl?
WS20	Er hot gedohn, as härre sei en zum dresche bestalt; sei hon et awer selbst gedohn.
WS21	Wem hor er die nau Geschicht verzählt?
WS22	Merr muß hart schraie, sust versteht ä us nitt.
WS23	Mer sin mied un hon Doorscht-
WS24	Aß ma geßer Owen zurick kome, do loge die Annere schun im Bett un ware feß am schlofe,
WS25	Dä Schnee iß dies Naacht bei us leie bliew, awer haut Morje is er geschmolz.
WS26	Hinner usem Haus stehn drei schene Appelbämcher mit rohre Äppelcher.
WS27	Kinnt der nit en Aaweblickche uf us warde, dann gehn mer mit och.
WS28	Deer dereft nit so Kinnereie treiwe.
WS29	Uus Berig sin nit sehr hoch, auer sinn viel <(hier)> hieer
WS30	Wie viel Punn Worscht unn wie viel Brot wullt ehr hon.
WS31	Ich verstehn och nit, ihr mißt e bische härter schwätze
WS32	Hot deer kä Stickelche weiß Saif fer mich uf meinem Disch funn?
WS33	Sei Brure will sich zwai schene neie Haiser in aurem Garde baue.
WS34	Dat Wort kom ihm vun Herze!
WS35	Dat wor reecht vun ihne!
WS36	Wat sitze lo vor Välcher uf dem Maierche?
WS37	Die Bauere harre fenf Oose un nein Kih un zwelef Schäfercher vor dat Dorf broocht un wullte se verkaafe.
WS38	Die Leit sin haut all dauß uf dem Feld un mäje.
WS39	Geh nor, de braun Hond dhut der neiß.
WS40	Ich senn mit de Leit lo hinne iwer die Wies int Koor gefahr.
