---
Bogennummer: 10879
Ort: Wohra
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Em Wenter fligge die trockele Blärrer in derr Loft rimm.
WS02	Äs herrt gläch of ze schneie, da wärd des Wärrer werrer bässer.
WS03	Dhu Kohlen en den Owe, deß de Melch bale ofängt ze koche.
WS04	Derr gurre ahle Mann äß met dem Gaul derchs Eis gebrochche on en dos kahle Wasser gefalln.
WS05	Hä äß fehr vier awer sechs Woche gestorwe.
WS06	Dos Feier wohr ze häs, de Kuche sei jo inge ganz schwarz gebrahnt.
WS07	Hä eßt die Eier immer ohne Salz on Peffer.
WS08	Die Füsse dhu merr zu wih, äch gläwe, äch honse därchgeläfe.
WS09	Äch sei bei derr Frä gewest on honser gesät, on se säht, se wolls och ehrer Dochder sprechche
WS10	Äch wälls och net mih werren dhu.
WS11	Äch schloh däch gläch mett demm Kochläffel im die Ohrn du Affe!
WS12	Wo gest du hinn, sinn merr mit der geh?
WS13	Äs sei schlächte Zeire!
WS14	Mei liewes Kend, bleib hie inge stieh, die bese Gänze beuße dich dod.
WS15	Du host haure om meste gelernt on bäst ortig gewäst, du därfst fricher noch hehm gih, eß die Anner.
WS16	Du bäst noch net groß genunk im e Flasche Wein auszutränke, du  must erst noch eh Änge wässe on grösser wäre.
WS17	Geh, sei so gutt und sprech deiner Schwester, se sill die Klärer fehr auwe Motter fertig nehe on met derr Bärste reh mache.
WS18	Häst du em gekahnt! da wär äs anners gekomme, onn äs dhät besser im hin stieh.
WS19	Wer hott mer mein Korb met Fläsch gestohlen?
WS20	Hä dhot so, als härre se enn zum dreschsche bestahlt; se hons awwer selwer gedoh.
WS21	Wemm hott hä die neuwe Geschichte verzahlt.
WS22	Mer muß laut greusche, sost verstedd är enn nett.
WS23	Mer sei mihre on hon Dorst.
WS24	Wie merr gest derwet zurrück kohme, do loge die Anner schont zu Bett onn wore fest om schlofe.
WS25	Der Schni äß derre Nocht bei ins leugge gebläwe, awwer derre Morge ärre geschmolze.
WS26	Hänger inserm Haus stih drei schihne Appelbehmercher met roren Äppelcher.
WS27	Kinnt ehr net noch en klehner Ohgeblöck of ins worte, da gih merr nett uch.
WS28	Ehr därft net solche Kennerreien treiwe.
WS29	Inse Berge sei net so hoch, auwe sei vehl höer.
WS30	Wie vehl Pond Worst on wie vehl Pond Brot willt derr honn?
WS31	Äch verstih uch nett, ehr mißt e Beßche laurer spreche.
WS32	Hott ehr keh Stückche wäuße Säfe fehr mäch of meim Tesch gefonge?
WS33	Sei Brurer wäll säch zwäh schihne nauwe Haiser enn auwe Gorte baue.
WS34	Das Wort kohmmem von Herze.
WS35	Das wohr rächt von uch!
WS36	Woß setze do fehr Vöggelcher owe of dem Meierche?
WS37	Die Bauern harre fenf Stiern on nein Kih on zwälf Schöfercher fehr das Dorf gebrocht, die wollte se verkäfe.
WS38	Die Leire sei haure alle drauße off demm Fäld on mehe.
WS39	Gih nur, der braune hond dhutt der naut.
WS40	Äch sei met dä Leire do hänge ewwer de Wesse ens Korn gefohrn.
