---
Bogennummer: '14403'
Ort: Pawlowiczki
Gid: 393045
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2026-04-12 06:51:21.483265
Änderungsdatum: 2026-04-12 09:57:02.134743
Satzversion: 1
...
WS1	Eim Winter fliehn die trucknen Blätter ei der Luft herum.
WS2	Es hiert gleich uf zu schneen, dann wärd doas Wetter wieder besser.
WS3	Thu Kohln ein Ofen, doas die Milich bald zu kochen oanfängt.
WS4	Der guite olte Monn ist mit dem Pfarde durch Eis gebruchen und eis koalte Wosser gefall[a]
WS5	Er ist vur vier oder sechs Wuchen gesturben.
WS6	Doas Feier woar zu heeß, de Kuchen sein ja unten ganz schworz gebrennt.
WS7	Er ißt die Eier immer uhne Salz und Feffer.
WS8	Die Fisse thun mer sehr wehe, ich glaube, ich glaube, ich hoa sie durch gelofen.
WS9	Ich bin bei der Frau gewäsen und hoas ihr gesoagt, und sie soagte, sie wullte os och ihrer Tochter soagen.
WS10	Ich wills och nich mehr wieder thun!
WS11	Ich schloag dih gleich mit dam Kuchlöffel um die Ohren, du Offe!
WS12	Wo gehste hin, solln mer mit d'r gehn?
WS13	Es sein schlechte Zeiten!
WS14	Mein liebes Kind, bleib hier unten stehn, die beesen Gänse beißen dich todt.
WS15	Du hoast he[u]te am meisten gelernt und bist oartig gewäsen, du doarfst frieher zu hause gehn als die Andern.
WS16	Du bist noch nich gruß genug, um eene Floasche Wein auszutrinken, du must erscht noch en Ende wachsen u. größer werden.
WS17	Geh', sei so gut und soag deiner Schwaster, se soll die Kleeder fir eure Mutter fertig näh'n und mit der Bürschte reen machen.
WS18	Häst du en gekennt! denn wär's andersch gekommen, und es thät besser ummn stehn.+ {keine Anmerkung gefunden}
WS19	Wer hot mir menn Korb mit Fleesch gestohlen?
WS20	er that so, als hätten sien zum dräschen bestellt; sie haben es aber selbst gethan.
WS21	Wem hat er die neie Geschichte erzählt?
