---
Bogennummer: 14693
Ort: Dannenfels
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Winder <-auch mit unter Wender-> fliehn die truckene Blärer en der Luft erum.
WS02	Es hört gleich uff se schne'e, dann werrd's Werrer wirrer annerscht.
WS03	Duh Kohle en de Owe, daß die Milch bald anfangt se koche.
WS04	Der gure, alde Mann eß mit dem Gaul dorch's Eis gebroch und en's kalde Wasser gefall.
WS05	Er eß vor vier, orrer sechs Woche gestorb.
WS06	Das Feuer wa se stärk; die Kuche sein jo unne ganz schwarz gebrennt.
WS07	Er eßt die Aier immer ohne Salz un Peffer.
WS08	Die Füß du'n mer arig weh; ich glaab, ich huas se dorchgeloff.
WS09	Ich sein bei der Fraa gewes und hun ser gesaat, un sie hot gesaat, sie dets āch ehrer Dochter saae.
WS10	Ich will's nimmi wirrer du'e.
WS11	Ich schlah' der gleich de Kochlöffel um die Ohre, du Aff!
WS12	Wu gehschte heh, sollen mer mit der geh'?
WS13	Es sein schlechte Zeire.
WS14	Mei lieb Kend, bleib do unne steh', die böse Gäns beißen dich dot!
WS15	Du hoscht heut am menschte gelernt und bischt brav gewes; du därfscht eder Hahm gehe als die annere.
WS16	Du bischt noch net groß genunk, um e Flasch Wei' se trinke, du muscht erscht noch e bißche wachse und größer werre.
WS17	Geh, sei so gut und sa's deiner Schweschter, sie soll die Klarer forr eure Motter fertig mache, un mit der Börst sauwer mache.
WS18	Hescht du ihn gekennt! dann wär's annerscht kumm, un es dät besser um'n steh!
WS19	Wer hot mer mei Korb mit Flāsch gestohl?
WS20	Er hot so gedoh', als härren se ehn zum Dresche beschtellt; sie hun's aber selwer gedoh'.
WS21	Wem hot er die neu Geschicht verzehlt?
WS22	Man muß <(laut)> härter kreische, sunscht verschteht er uns net.
WS23	Mehr sein müd und hun Dorscht.
WS24	Als-Wie mer geschter Owend ham sein kumm, do hun die annere scho em Bett geläh un waren schun fest em Schlofe.
WS25	Der Schnee eß heint Nacht bei uns leie geblebb; aber heut morje eß er waich worr.
WS26	Hinner unserm Haus do stehn' drei Ebbelbämcher mit rore Ebbelcher.
WS27	Können ner nett noch e' bißche uff uns warde, dann geh mer mir euch. 
WS28	Ehr derft net so'e Kinnerei dreiwe!
WS29	Unsere Berje sein nett so arig hok, euere sein vehl höher.
WS30	Wie vel Pund Worscht und Brot wollen ehr hunn?
WS31	Ich verschteh euch nett, ehr müssen e bißche härder plaurere.
WS32	Hunn'r kah Stück'che weißi Saaf for mich uff mei'm Disch gefunn?
WS33	Sei Brurer will sich zwa schöne, neue Häuser en eurem Gahrde baue.
WS34	Deß Wort eß'm vum Herze kumm!
WS35	Das war recht vun ehne!
WS36	Waß hocken do vorre Völcher owe uff dem Mäuerche?
WS37	Die Bauere harren fünf Ochse un neu Küh un zwölf Schöfcher vors Dorf gebrung, die wollten 'se verkaafe.
WS38	Die Leut sein heut all drauß em Feld un <(mähen)>. mehen.
WS39	Geh nore, der brau Hund dut der nicks.
WS40	Ich sein mit de Leut do heine üwer die Wisse en's Korn gefahr.
