---
Bogennummer: 14724
Ort: Monsheim
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Em Winter fliehen die truckne Blärer dorch die Luft rum.
WS02	Es hört gleich uff zu schneige, dann werd s Werer wierer besser.
WS03	Tu Kohlen en d Owe, daß die Milich bal an s koche fangt.
WS04	Der gure alte Mann is mit dem Gaul dorchs Eis gebroch und ens kalt Wasser gefall.
WS05	Er is vor vier orer sechs Woche gestorwe.
WS06	Das Feuer war so hās, die Kuche sinn jo unne ganz schwarz gebrennt.
WS07	Er ißt die Ajer immer ohne Salz und Peffer.
WS08	Die Füß tu mer so weh, ich glaab, ich hun s dorch geloff.
WS09	Ich war bei d Fraa gewest und huns ehr gesaat, und sie saat, sie wolle es aach ehrer Dochter saae.
WS10	Ich wills awer net me wierer dan.
WS11	Ich schlag d're glei mürm Kochlöffel um die Ohre, du Aff!
WS12	Wo gehscht d hü, soll mer mit der gehe.
WS13	Es sinn schlechte Zeire!
WS14	Mein lieb Kind, bleib do unne steh, die böse Gäns beißen dich todt. 
WS15	Du hoscht heut am mehrschte gelernt und warscht artig gewest, du derfscht früher nach Haus geh, als die Anere.
WS16	Du bist noch net groß genung, um a'n Flasch Wein aus s trinke, du muscht erscht noch e End wachsen und größer werre.
WS17	Geh, sei so gut und sa deiner Schweschter, sie soll die Klerer vor euer Mutter fertig nähe und mit der Bersch sauwer mache.
WS18	Häscht du en gekennt! dann wärs anerscht kumm, und es ted besser um en stehe. 
WS19	Wer hot mer mein Korb mit Flesch gestohl?
WS20	Er that so, als härren s en zum Dreschen bestellt; sie henn es awer selbst gethan.
WS21	Wem hot er die neu Geschicht verzählt?
WS22	Man muß hart greische, sunscht versteht er uns net.
WS23	Mer sein müd, un hen Dorscht.
WS24	Wie mer geschter Abend s rück sein kumm, do lagen die Aneren schunt im Bett un waren fescht am schlofen.
WS25	Der Schnee eß die Nacht bei uns leihe gebleb, awer heut Morje iß er geschmolz.
WS26	Hiner unserm Haus schtehen drei schöne Eppelbämcher mit rohre Eppelcher.
WS27	Kenn ehr net noch en Āblickchen uf uns warte, dann gehen mer mit eich. 
WS28	Ehr derft net so Kinereien treiwe.
WS29	Unser Berje sein net so hoch, die eieren sein viel höher.
WS30	Wieviel Pund Worscht un wieviel Brod wollen ehr han.
WS31	Ich verschtehe eich net, ehr müssen en bischen harter plaudern.
WS32	Hen ehr kan Stückelche weißi Säf vor mich uf meim Tisch gefun?
WS33	Sei Brurer will sich zwe schöne neie Häuser in euerm Garte bauen.
WS34	Das Wort kam ehm vun Herzen!
WS35	Deß war recht vun ehne.
WS36	Waß sitzen do vor Völger owe uf dem Mäuerche?
WS37	Die Baure hen fünf Ochsen un neu Kühe un zwölf Schäfcher vors Dorf gebrung, die wollten s verkaafe.
WS38	Die Leute sein heit all draus uff'm Feld un mähe.
WS39	Geh nor, der braune Hund tut d'r nicks.
WS40	Ich sein mit de Leut do hin̄e üwer die Wiß ens Korn gefahre.
