---
Bogennummer: '14777'
Ort: Prosterath
Gid: 95103
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2026-04-12 11:35:36.897887
Änderungsdatum: 2026-04-13 09:46:52.435788
Satzversion: 1
...
WS1	Ĕam Wĕanter flĕien dei trecke Blädder durch de Loft erem. <(ean der Loft)>
WS2	Et hert glēich off ße schneen, da mehrd det Weder widder besser. <(nachemol)>
WS3	Dhĕi Kollen ĕan den Owen, datt de Melch bahl on ße kohche fängt. <(bahl onfängt)>
WS4	Dä gouden ahle Man ĕas mĕat dem Pärd durch det Ēis gebrohch on ĕan det kahl Wahßer gefall.
WS5	Hä ĕas vir vĕier odder sechs Woche gesturwen.
WS6	Det Fēier wor ße hähß, de koche sēin jo enne ganz gebrannt.
WS7	Hä eßt de Eiher emmer ohne Salz on ohne Pēafer. <('n eßt)>
WS8	De Fĕiß dhĕi mir sehr weh, ēich gĕlähf, ēich hon mer se durch gelohf. <(auch: ich hommer)>
WS9	Ēich sēi bēi der Frah gewehst on hon hir et gesot, on sēi sot, sēi wellt et och hirer Dhjder son. <(on sēi hot gesot)>
WS10	Ēich well et och net me <(widder)> dhoun.
WS11	Ēich schlehn dēich <(dir)> glēich mĕat dem Kohchläfel em de Ohren, dou Ahf!
WS12	Wo gähst dou hin, solln mir <(mer)> mĕat dir gohn?
WS13	Et sēi schlecht Zēiten.
WS14	Mēi lĕiv Kĕand, bleiv elhei enne stohn, dĕi bes Gänse bēißen dēich <(auch dich)> dot.
WS15	Dou hoß haut ĕam mähste <(dermähst)> gelehrt on beas ortig gewähst <(on worsch ortig)>, dou durfs frĕier hēim gohn als <(wĕi)> dĕi Annern.
WS16	Dou beas nach net groß genoch, em <(fir)> en Flasch Wēin ousßetrenken, dou muß ßerescht nach ēin <(en)> Enn wohßen on großer weren.
WS17	Geh, sei eso gout on soh deiner Schwester, sēi <(se)> sollt dĕi <(de)> Klähder fir eier Motter fehrdig nehen on mĕat der Behscht rähn mahchen.
WS18	Hätst dou hä <(dou'n)> kannt! Da wer et annesch kom, on et dhet besser em <(mĕat)> hä <(him)> stohn.
WS19	Wer hot mir mēi Korf meat <(dem)> Flesch gestul?
WS20	Hö dhot eso <(hot eso gedhon)>, als hätte sēi hä <(sēi'n)> fir ße dresche bestalt; sēi hon et ewwer selwer gedhon.
