---
Bogennummer: 14924
Ort: Sirzenich
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Amm Wanter flegen de trecken Bleder dorch de Lofft eremm.
WS02	Et hehrt gleich off ze schneien, dann gett et Weder noch emol besser.
WS03	Deh Kohlen ann denn Owen, datt de Mellich bahl uhn ze kochen fängt.
WS04	De goden ahlen Mann aß matt demm Perd dorch’t Eis gebroch onn (d)ann datt kahl Waßer gefahl.
WS05	Hehn aß fir vehr oder sechs Wochen gest[a]rwen.
WS06	Dat Feuer woahr ze heeß, de Kochen sein jo ennen ganz schwarz gebrannt.
WS07	Hehn eßt de Aier emmer ohne Salz onn Peefer.
WS08	De Feß dehn merr ganz wih, eich glewen, eich hunn se dorch gelof.
WS09	Eich seihn bei der Fra geweß onn hunn et hihr gesoth, onn seih hott gesoth, seih wellt et och hihrer Dohter sohn.
WS10	Eich well et och nett mih noch emol dohn.
WS11	Eich schlinn deich gleich matt dem Kochläfel emm de Uhren, Du Af!
WS12	Wu gehst dau hihn, sollen mihr matt dir goahn?
WS13	Et sein schlecht Zeiten!
WS14	Mei lef Kannt, bleif hei ennen stohn, de biß Gäns beißen deich dutt!
WS15	Dau hoß haut amm mehsten gelehrt onn Dau baß brav geweß, Dau darfs freher hehm gohn als wih de Ahnern.
WS16	Dau baß noch nett gruß genoch, fehr enn Flasch Wein auszetrenken, Dau moß zerrischt noch enn Aehn woßen onn grußer ginn.
WS17	Gih, sei esu god, onn soh Deiner Schwester, se soll de Kleeder fehr eier Motter ferdig behzen onn matt der Bescht sauwer maachen.
WS18	Hättst Dau heh kannt, da wehr et aneschder komm, onn et deht besser fehr hehn stohn.
WS19	Wehn hott merr mei Karf matt Fleesch gestohl?
WS20	Hehn hott gedohn, als hätten se hehn fehr ze dräschen bestallt; sei hunn et ewer selwer gedohn.
WS21	Wem hott hehn de nei Geschicht bezehlt?
WS22	Merr moß hart schraien, soß versteht hehn et nett.
WS23	Mir sein mehd onn hunn Doscht.
WS24	Wie mir gester Ohmend hehm sein komm, do hunn de Ahnern schunn am Bät geläh onn hunn schunn fest geschlof.
WS25	De Schni aß diß Nocht leihen bliwen, ewer de Morgen aß hehn geschmolt.
WS26	Hanner esem Haus stinn drei schinner Aepelbehmcher matt rudden Aepelcher.
WS27	Kenn der nett noch enn Auenblack off ihs wohrden, da ginn merr matt euch.
WS28	Dihr därft kehn esu enn Kannereien treiwen.
WS29	Ehs Berg sein nett esu hi[c]h, eier de sein vill hiher.
WS30	Wivill Pond Woscht onn wivill Brudd well dihr hunn?
WS31	Eich verstinn eich nett, dir moßt e beßchen harder schwäzen.
WS32	Hott dir kehn Steckchen weiß Seef fehr meich op mei’m Desch fond?
WS33	Sei Broder wellt sich zwai schinner neier Heiser ann eiren Gort bauen.
WS34	Dat Wohrt aß hihm vun Herzen komm.
WS35	Dat wohr recht vun eich!
WS36	Wat setzen elo fehr en Vigelcher owen off dem Meierchen?
WS37	De Bauern hunn fönf Ochsen onn siwen Keh onn zwelef Schefcher vihr datt Darf broicht, de wollten seih verkeefen.
WS38	De Leit seihn haut all debaußen off emm Flor onn migen.
WS39	Gih nemmen, de braunen Hond deht der neist
WS40	Eich seihn matt den Leiden elhannen iwer deWiß an’t Kohr gefohr.
