---
Bogennummer: 15023
Ort: Duchroth-Oberhausen
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: <(Das "e" ist mit wenigen Ausnahmen - sofern es noch erfasst ist immer
  offen.-)> {Anmerkung hinter WS01}
...
WS01	Im Winder fliehè die drockenè Blädder in dè Luft ’érum.
WS02	és hiert gleich uffd se’ schni-e, dann werrd’s Wedder widder beser.
WS03	Dhu Kuhlè in dè’ Uwè, daß die Milich bald anfängt sè kochè.
WS04	Der gout alt Mann is mit’m Gaul dorchs Eis gèbroch unn in das kalt Wasser èfall.
WS05	Er is vor vier odder sechs Woche gestorb.
WS06	Das Feier war zu stark, die Kouche sein jo unne ganz schwarz gebrennt.
WS07	Er ißt dieEier immer uhne Salz und Peffer.
WS08	Die Föüß dhoun merr arig wih, eich gläb, eich hunn se dorchgelääf.
WS09	Eich war bei dere Frä unn hunn’ser gesahd, unn sie hodd gesahd, sie dhäts ag ere Dochder sahn.
WS10	Eich wills ag nidd meh widder dhoun!
WS11	Eich schlahn deich gleich mid’m Kochlöffel um die Uhre, Dau Aff!
WS12	Wu gihschde hėin, solle merr’ mit d’r gihn?
WS13	’s sind schlechde Zeide!
WS14	Mei liewes Kind, bleib do unne stihn, die bise Gäns beiße deich dut.
WS15	Dau hoscht heut’ am minschde gelierd unn warscht ardig, Dau därfscht iher hem gihn wie die Annere.
WS16	Dau bescht noch nidd gruß genunk, um e’ Flasch Wein aussedrinke, Dau muscht ihrscht noch ebbes wachse unn griißer wärre.
WS17	Gih, sei so gout unn sah Deiner Schweschder, sie sollt die Kläder for euer Modder fertig nähe unn mit’der Beerschd sauwer mache.
WS18	Häschd Dau’n gekennt! dann währ’sch annerschd’ kumm, unn ’s dhät besser ummene stihn.
WS19	Wer hodd merr mei Korb mit Flääsch gestohl?
WS20	Er that so, als hätte se ne zum dresche beschdellt; sie hunns awwer selbschd gedhoun.
WS21	Wem hot’r die neu Geschicht ve’ziehlt.
WS22	Ma’ muß feschd kreische, sunschd ver’stieht er uns nit.
WS23	Mer sein m<(e)>üd unn hunn Doo rschd <(zweisilbig)>
WS24	Wie mehr geschdern Owend zurück sinn komm, do lagen die Annere schunn im Bett unn ware feschd am schloofe.
WS25	De’ Schnie is heint bei uns lei’e geblibb, awwer heit Morje is err ve’schmolz.
WS26	Hinner unsem Haus stihn drei schine Äppelbämcher mit ruze Äppelcher.
WS27	Könne ner nit noch e klen Au’eblick uff uns waarde, dann gihn mèrr me’och’.
WS28	Er dörfet nicht solche Kindereien treiben.
WS29	Uns’ Bärig senn nit so aarig huuk, auer senn viel hiiher.
WS30	Wiev<(e)>iel Pund Wo erscht unn wiev<(e)>iel Brut wolle ner hunn?
WS31	Eich verstihn auch nit, ehr müsset e bißche lauter spreche.
WS32	Hunner ke Stickelche weiß Säf forr meich uff meim’ Disch funn’?
WS33	Sei Bruder will sich zwe schine neie Häuser in auerem Gaarde baue.
WS34	Das Wort is em vun Herze kumm!
WS35	Das war recht vunne’ne!
WS36	Was sitze doo forr Völlcher uwwe uff dem Mäuerche?
WS37	Die Bauere hotte fünef Ochse unn neun Küh unn zwölef Schäfercher vor’s Dorf gebroung, die wollte se verkääfe.
WS38	Die Leit sein heit all drauß uffem Feld unn mähe.
WS39	Gih noor, der braun’ Hund dhout derr nix.
WS40	Eich ben mit de Leit do hinne üwer die Wiss’ ins Korn gefahr.
