---
Bogennummer: 15050
Ort: Wendelsheim
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Elizabeth & Hugo Herrgen
Anmerkungen: ''
...
WS01	Em Wender fliehen die drockene Bläer en der Luft erum.
WS02	Es hört gleich uff se schneeje, dann werdds Wädr widr bessèr.
WS03	Du Kohle en de Owe, daß die Millich ball ohfängt se koche.
WS04	Der gut, alt Mann es met dem Gaul im Eis enbrochen un ens kalt Wasse g'fall.
WS05	Er es vor vier odr sechs Woche g'schtorwe.
WS06	S'Feier war so häß, die Kuche sein jo unne ganz ohgebrennt.
WS07	Er ißt die Ajer ohne Salz un Peffer.
WS08	Die Fieß dun mer arig weh, eiich glab eiich hon se dorchgelaf.
WS09	Eiich sein bei d'r Fra gewest un honsr g'sat un se sat, se wollts ach ehrer Dochter sahe.
WS10	Eich wills ach net meh widr due.
WS11	Eich schlan dr gleich mid'm Kochleffel hiner die Ohre, du Aff!
WS12	Wo geschte hö, solle mer met dr geh?
WS13	Sein schlechte Zeite,
WS14	Mei lieb Kend, bleib hunne stehe, die böse Gens beißen dich dod.
WS15	Du host heut am menschte geleernt und best brav g'wescht du derfscht eher hemgehe, as die annere.
WS16	D'best noch net groß g'nung, um e Budell Wei auss'trinke. d'muscht erscht noch ordlich wachse un größer werre.
WS17	Geh fort un sah deiner Schweschter, se soll die Kläd'r for awer Mod'r fertig mache, und sauber aus berschte.
WS18	Wann du ehn gekennt hescht, dann wärsch annerscht kumm, un es ded besser um'n schtehe.
WS19	Wer hot mer mei Korb met Flesch g'schtohl?
WS20	Er hot so g'don, aß hense ehn se Dresche bestellt, s'hons abwer selbscht g'don.
WS21	Wem hot'r die neu Geschicht verzeelt?
WS22	M'r muß härt kreische, sunscht verschtet'r uns net.
WS23	M'r sein müd un hon Dorscht.
WS24	Wie mer gestdrobet hem kumm sein, do hon die annere scho em Bett g'lä un hon h'schoof.
WS25	Der Schnee es heint bei uns leihe bleb, awer de Morje es er g'schmolz.
WS26	Hinner unserm Haus schten drei schene Abbelmamecher meèt rode Ebbelcher.
WS27	Können r noch e Ablick uff uns waarde, dann geh mer met och.
WS28	Ehr derfen net so kinnisch eich stelle.
WS29	Unsre Berge sein net so hok, [awere] sein heher.
WS30	Wie vel Pund Worscht un wie vel Pund Brot wollen er hon?
WS31	Eich verschten eich net, ehr missen e bissi härter plauere!
WS32	Hon er keen Sschtückelge weiß Seef uff mein Tisch fun?
WS33	Sei Brudr will sich zwee schene neie heiser en unseren Gaarte baue.
WS34	Deß Wort es em vun Herze gang.
WS35	Deß war recht von Eich, oder so wahrsch recht.
WS36	Was sitzen dort rowe for Völger uff dem Meierge?
WS37	Die Bauere haden fünf Ochse un nei Kih' unzwelf Scheferger vors Dorf broocht, se hanse verkaafe wolle.
WS38	Die Leit sein heit all draus uffm Feld un meehn.
WS39	Geh norez der brau Hund dud der nix.
WS40	Eich sein mit de Leit do hinne über die Wisse ens Korn g'fahr.
