---
Bogennummer: 15180
Ort: Münchwald
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Winter fliehe die trockene Blärrer darch die Luft herum.
WS02	Es heert gleich uff se schneehe, dann werd das Werrer wirre besser.
WS03	Thu Kuhle in de Uwe daß die Milich ball ahn se koche fängt.
WS04	Der gure alte Mann iß met dem Gaul darchs Eis gebroch unn in das kalte Wasser gefall.
WS05	Er iß vor vier ore sechs Woche gestarb.
WS06	Das Feier war zu hees, die Kuche sinn jo unne ganz schwarz gebrennt
WS07	Er ischt die Aier immer ohne Salz und Peffer.
WS08	Die Fis du mer sehr weh, ich glab ich honn se darch gelaf.
WS09	Ich bin bei de Fraa gewescht un honn es ehr gesaad, unn sie saad sie wollt's ag ehrer Dochter sahn.
WS10	Ich will's ag nitt meh wirre dun.
WS11	Ich schlahn dich gleich met dem Kochlöffel um die Ohre du Aff
WS12	Wo gescht du hin, solle mer met der gehn.
WS13	Es sinn schlechte Zeire
WS14	Mei liwes Kind, bleib do unne schtehn, die bese Gens beise dich dood.
WS15	Du hoscht heit de merscht gelernt unn bischt artig gewescht, du därfscht früher hem gehn als die annere.
WS16	Du bischt noch nitt groß genung um e Flasch Wein aussetrinke du muscht erscht noch e Enn wakse unn größer werre
WS17	Geh, sei so gut unn sas deiner Schweschter sie soll die Kleerer for auer Motter fertig nehe unn met de Berscht sauwer mache.
WS18	Hescht du ihn gekennt, dann wersch annerscht komm,unn es det besser um ihn schtehn.
WS19	Wer hot mer mei Karb met Flesch geschtohl
WS20	Er that so als herrese ihn zum dresche beschtellt, sie honn's awer selbscht gedon.
WS21	Wem hot er die neue Geschichte vezihlt
WS22	Man muß laut schraie sunscht veschteht er uns nitt.
WS23	Mer sinn mid unn honn  Darscht
WS24	Als mer geschter Owend zurück kamen, do lage die annere schun se Bett unn ware fescht am schlofe.
WS25	Der Schnee iß die Naachtbei uns leie bleb, awer heit Morje iß er geschmolz
WS26	Hiner unsem Haus schtehn drei schene Epelbeemcher met rore Epelcher
WS27	Kennt deer nitt noch ne Ablickche uff uns waarte dann gehn mer met eich
WS28	Ehr derft nitt so Kinnerreie treiwe.
WS29	Uns Berje sinn nitt so hok, die eiere sinn viel heher.
WS30	Wieviel Pund Warscht unn wieviel Brot wollt der honn.
WS31	Ich verschtehn och nitt, deer mischt e bische härter blaurere.
WS32	Het der ke Schtückche weis Seef for mich uff meim Disch gefunn.
WS33	Sei Brurer will sich zwe schene neie Heiser in eirem Gaarte baue.
WS34	Das Wort kam ihm vun Herze
WS35	Das war recht vun ihne.
WS36	Was sitze d  for Velcher uwe uff dem Meierche
WS37	Die Bauerre harre finnef Ockse und nein Kih unn zwellef Schefcher vor des Darf gebrong die wollte se vekafe.
WS38	Die Leit sinn heit all draus uffem Feld unn mehe
WS39	Geh nore, der braune Hund du der nicks
WS40	Ich bin met de Leit do hinne iwer die Wiß in's Karn gefahr.
