---
Bogennummer: 15288
Ort: Herforst
Sprache: Deutsch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Elizabeth & Hugo Herrgen
Anmerkungen: ''
...
WS01	Amm Wanter flegen de treien durch de Loft erum.
WS02	Et härt gleuch op ze schnien,dan get et Wäder [w]imm besser.
WS03	Do Kohlen ann den Ofen, dat de Mölch bal a fängt ze kochen.
WS04	Dän gooden, alen Maan aß mat döm Pät durch et Eus gebroch, un hen aß an dat kal Waaser gefaal.
WS05	En aß vir vär oder sechs Wochen gestorven.
WS06	Et Feuer wor zo worm, de Kochen se jo innen ganz schwarz gebrannt.
WS07	Hen eßt de Är immer ohne Salz an Päfer.
WS08	De Feß do mer sihr wih, ich glev, ich hon se durchgeloof.
WS09	Ich sen bei der Frau gewäßt und hon ard gesot, un seu hot gesot, se dit ihrer Dochter et son.
WS10	Ech woll et och net me don.
WS11	Ech schlinn dech gleuch mat dem Kochläfel um de Uhren, du Aaf.
WS12	Wuhin gehst de, solle ma mat dar gohn.
WS13	Et senn schlecht Zeuten.
WS14	Meu lef Kand, bleif hei innen stohn, de biß Gäns beußen dich dut.
WS15	Du hos heit am mesten gelehrt un du wors brav, dau dorfs freher hem gohn aß de annern.
WS16	Du baß noch net gruß genog für en Flasch Weun ze trinken, dau moß erscht noch wosen un grußer gen.
WS17	Gih, seu eh su got, un soh dänger Schwöster, seu soll de Kleder für eier Motter fertig nihen un mat der Bescht ofbeschten.
WS18	Hätts dau en kannt! dann wär et anig gangen, un et dit besser om euch ech stohn.
WS19	Wen hot mer meun Korf mat Flesch gestohl?
WS20	En hot eh su gedon, aß häten se hen für ze dresche bestallt; se hon et ewer selver gedon.
WS21	Wem hot en de nei Geschicht erzehlt?
WS22	Ma moß hart schreien, soß varsteht en os net.
WS23	Mir sen met un hon Doscht.
WS24	Wie mer gester Owend zreck kommen, du lugen die anneren schungs amm Bät un waren schon fest am schlofen.
WS25	De Schnie aß dös Nogt beu es leien bliwen, aber de Morgen aß eh geschmolz.
WS26	Hanner esem Haus stinn dreu schinger Äpelbömchen mat ruden Äpelchen.
WS27	Kent der net en Ogenblack op es woden, dan ginn mer mat euch.
WS28	Dir derft net esuen Kannereien dreiwen.
WS29	Es Berg sen net vil hich, eier sen viel hicher.
WS30	Wie viel Pont Worst an wie vil Brut wollt der hon.
WS31	Ech bastihn ech net, der mot en winnig harder schwätzen.
WS32	Hot dar ken Steck weuß Sef fer meuch ob meim Desch fond.
WS33	Seu Broder wöll sich zwai sching nei Heiser an eiarm Goden bauen.
WS34	Dat Wot kum em aus dem Herz
WS35	Dat wor rächt von en.
WS36	Wat sötzen elo vir Vogelcha owen ob da Mauer.
WS37	De Bauarn haten fönf Ochsen, an näng Keh, an zwelef Schäfchen viret Dorf brogt, de wollten se bakofen
WS38	De Leit sen heit al de baußen ob dem Fel en mihen.
WS39	Gih nommen, dän braunen Hond det da neust.
WS40	Ech sen mat dänen Leiden e lo hannen üwer de Wis ant Kohr gefohr.
