---
Bogennummer: 15348
Ort: Schnorbach
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Em Wender fliä die druckene Bliere in dä Luft eremm.
WS02	S'hert gleich uff se schneie, dann werd das Wehrer wirer besser.
WS03	Du Kuhle in de Uwe, dann werd die Melich ball anfange se koche.
WS04	Dä gut ald Mann ess met dem Goul durchs Eis gebroch unn inn das kald Wasser gefall.
WS05	Er ess vor viär ore secks Wuche geschtorew.
WS06	Das Fouer war so häß die Kuche sinn jo unne ganz schwarz verbrannt.
WS07	Er ässt die Aier immer ohne Salz unn Peffer.
WS08	Die Fihs dun mer so weh, eich gläb eich honn se därichgelaf.
WS09	Eich sinn bei der Fra gewäss unn honns ehr gesaht unn sie soht, sie wolls ach ehrer Doochter sahn.
WS10	Eich wills ach net me were dun.
WS11	Eich schlahn der gleich met dem Kochleffel off die Ohre dou Aff.
WS12	Wo gehst dou hin, sulle mer met der [g]ehn.
WS13	Ess sinn schlächte Zeire.
WS14	Mei lieb Kind bleib lo unne schtehn, die bese Gäns die beise deich dod.
WS15	Dou host hout am mähste gelehrt unn best ordlich gewescht dou tärefst frier hämmgehn, ass wie die annere.
WS16	Dou best noch net groß genug for e Flasch Wein aussetrinke dou must noch e bisje wakse unn greßer were.
WS17	Geh sei so gut unn sah deiner Schwester, sie sull die Kläre for eier Mudder fehrtig näe unn met de Berscht souer mache.
WS18	Häst dou enn kunnt! dann würsch annerscht kumm, unn es däd besser um enn schtehn.
WS19	Wer hot mer mei Mann met dem Fleisch gehult?
WS20	Er hott so gedon ass härre sen zum dresche beschtallt, se honns awwer selebß gedon.
WS21	Wem horre die nou Geschicht verziehlt.
WS22	Mer muhs hart schraie, sost verster er us net.
WS23	Mer senn mid unn honn Durschd.
WS24	Wie mer geschtrowed hämm senn kumm, do honn die annere emm Bett gelähn unn ware fest enngeschlof.
WS25	Der Schnee iss die Nacht bei ichs leie blieb, awwer de Morje ess er geschmolz.
WS26	Henner usem Haus stehn drei schene Abbelbäm met rore Abbelcher.
WS27	Kennt der nett e Aueblick wahrte uff uhs da gehmer mett ouch.
WS28	Eich däref so kä Kennerei dreiwe.
WS29	Uhs Berig senn nett so hoch, ouer senn viel hiehger.
WS30	Wie viel Punn Wurscht unn wie viel Brod wellt der honn.
WS31	Eich verschtehn ouch nett, der mihst e bisje härter schwetze.
WS32	Hott der kä Stick weis Säf vor meich uff meinem Dich funn.
WS33	Sei Brurer will sich zw[o]i schene noue Heiser in ourem Garte baue.
WS34	Das Wort k[e]mmt emm vom Herz.
WS35	Das war nett vonn enn.
WS36	Was setzt dou for e Vohl uff die Mouer
WS37	Die Bouere harre finnef Okse unn nein Ki unn zweleff Schoof fores Doref bracht, die honn se welle verkaafe.
WS38	Die Leit senn hout all dros uff dem Fell und mäe.
WS39	Geh dou dä broun Hund dud der neischt.
WS40	Eich senn mett de Leit do hinne üwer die Wies ins Kor gefahr.
