---
Bogennummer: '15402'
Ort: Laubenheim
Gid: 96013
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: 'Der Name des Lehrers lautet J. Werner, geboren in Weisenau, heute Stadtteil
  von Mainz.

  Die Übersetzung geschah durch den Lehrer.'
Erstelldatum: 2024-02-22 15:23:47.166006
Änderungsdatum: 2024-02-22 15:23:47.166006
Satzversion: 1
...
WS1	Im Winder fliehe die truckne Blärre dorch die Luft erum.
WS2	Es hert glei uf z'schneie, dann werd des Werre wir̄e besser <e - ä>.
WS3	Du Kohle in d'Owe, deß die Milch ball z'koche a͡nfängt <eng> {Anm. über dem an- in lat. Schrift}.
WS4	Der gure alte Mann is̄ mit d'm Gaul dorchs Eis gebroche [&] ins kalte Wasser gefalle.
WS5	Ar is̄ vor vier ore sechs Woche geschtorwe.
WS6	Des Feuer war z'has, die Kuche sein jo unne ganz schwarz gebrennt.
WS7	Ar ißt die Aier immer ohne Salz un Peffer.
WS8	Die Fiß duhn mēr so weh, ich glab, ich hunn s' dorch gelafe.
WS9	Ich sain bei d'r Fra gewest un hunn's ehr gesaht un sie saht, sie wollt's ach ehr[ene] Dochder sah[n]
WS10	Ich will's ach nett mi wirre thu͡  . <(Naselaut)>
WS11	Ich schlah derr gleich mit dĕm Kochleffel um die Ohrn, du Aff.
WS12	Wo gehst du hi͡ , solle mer mit der ge͡h. <(Naselaut)>
WS13	Es sain schlechte <-ä> {Anm. über dem -ech-} Zeide <e-ä> {Anm. über dem ei}!
WS14	M[e]i lieb Kind, bleib <-ä> {Anm. über dem -ei-} do un̄e ste͡h, die böse Gäns baiße dich dod.
WS15	Du host heit am merschte gelarnt un bist ardig gewest, du derfst früher nach Haus ge͡h, als die annern.
WS16	Du bist noch nett groß genunk, um e Flasch We͡ih aussetrinke, du mußt erscht noch e Enn wackse un größer wern.
WS17	Geh, sei <-ä> {Anm. über dem -ei} so gut un sah deiner <-ä> {Anm. über dem -ei-} Schwester, sie soll die Klāre for̄ euer Mutter fertig nähe un mit dĕr Berscht ausberschte.
WS18	Häst du ihn gekennt! do wersch <-ä> {Anm. über dem -e-} annerscht kumme un's täd besser um ehn ste͡h. <Naselaut>
WS19	War hot mĕr mĕi Korb mit Flāsch geschtohle?
WS20	Er duht so als härre se ihm {sic!} zum Dresche bestellt, sie hun es awer selbst geth͡a <eng> {Anm. in lat. Schrift über dem -a} <Naselaut>
WS21	Wem hor'r die neue <-ei> {Anm. über dem -eu-} Geschichte verzählt?
WS22	Man muß laut kreische, sunst vestehr'r uns nett.
WS23	Mer sein müd un hun Dorscht.
WS24	Als mer geschtern Obend z<s>erück {hier wurde ein z durch ein s ersetzt - oder umgekehrt} sein kumme, do lage die Annern schun im Bett un warn fescht ingeschlofe.
WS25	Der Schnee iss diese Nācht bai uns leihe gebliewe, awer heit Morjend iss'r geschmolse.
WS26	Hinner unserm Haus ste͡hn drei schöne Äppelbemcher mit rore Äppelcher.
WS27	Könnt d'r nett n̄och an <eng> {Anm. in lat. Schrift über dem an} Ah'blickche uff uns wārde, dann gehe m'r mit eich <-ai>. {Anm. über dem ei-}
WS28	Ehr derft nett solche Kinnereie treiwe.
WS29	Uns'r Berge sein nett so hoch, die eier[n] sein viel höcher.
WS30	Wieviel Pund Worscht un wieviel Pund Brod wollt'r h͡u? <Naselaut>
WS31	Ich vestehn aich nett, ehr müßt e bische lauter schwätze.
WS32	Hätt ēr ka͡n <eng Nsl.> {Anm. über dem -an; eng in lat. Schrift} Stückelche waiß Saf for̄ mich uff maim Tisch gefunne?
WS33	"Sain Brure will sich zwa schöne <-ä> {Anm. über dem -ön-} neue <-i> {Anm. über dem -u-} Haiser baue. {""in eurem Garten"" wurde nicht übersetzt}"
WS34	Daß Wort kimmt ihm vun̄ Harze.
WS35	Daß wār recht vun̄ ihne!
WS36	Waß sitze do forre Vögelcher ow̄e uff'em Meierche?
WS37	Die Bauern hun fünf Ockse un ne͡u Küh un zwelf Schäfercher vor̄ deß Dorf gebracht, die wollte se vêkāfe.
WS38	Die Lait sain hait all drauß uff'em Feld un mäje <-ei> {Anm. über dem -äj-}. <(mëije)>
WS39	Geh nor, d'r braune Hund duht d'r nicks.
WS40	Ich sain mit dene Lait do hinne üwer die Wiss ins Korn gefahre.
