---
Bogennummer: '16084'
Ort: 'Hauptmannsdorf'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	Aïm Wint’r fliecha traïche Blǟtr rĕm.
WS02	S’ hert glei ūf z schnein, dann werts Wātr wiedr besser.
WS03	Tu ok Kohla ai a Ūfa, doß d’ Milch bahle z kocha ofängt.
WS04	Dar gūde āle Mōn is mĕm Pfāre dorchs Eis gebrocha on ei dos kāle Wossr neigestertzt.
WS05	A is ver a vier oder seks Wocha gestorba.
WS06	Dos Feur wōr z stork, die Kucha saïn jō unda ganz schwarz gebrannt.
WS07	A ißt Aier ĕm̅er ohne Sālz on Pfaffr.
WS08	Die Fiße tun mer wieh, ich dächt, ich ho se dorchgeloffa.
WS09	Ich bien bei dr Frau gewast on hos’r gesoït; on se soïte[,] sie wï̄ls ihrer Tochter soïn.
WS10	Ich wīls {Eigentlich ein „i“ mit einem darüberliegenden} āch nĕmme wiedr tun!
WS11	Ich schlō dich glei mĕm Kochlöffl ĕm die Ohrwaschlan; du Offe.
WS12	Wo giestn hīn, sellmĕrn mit dīr giehn?
WS13	S’ sein schlechte Zaïta!
WS14	Mei liebes Kend, blei ok do unda stien, d’ biesa Gänse beißa dich tūt.
WS15	Du host hoïte om mērschta gelănt on bist atǐch gewāst; du derfst frihr haïm giehn, ols wie die andan.
WS16	Du best noch ne gruß genung, em dos’te aine Flŏsche Wein austrinka tätst, du mußt erscht a bisla wachsa on grißr wān.
WS17	Gieh’ ok, bies’ ok a so gūt, on säs ok dāner Schwastr, sie sōl ok die Klaïdr fer eiere Muttr fertich nehn on mit d’r Berschte reine macha.
WS18	Häst’ta du gekannt,! {Eigentlich ein „,“ mit einem darüberliegenden „!“} do wärsch andersch gekomma{,} on ’s täte bessr ema stiehn.
WS19	War hōdn mir a Korb mĭm Flaische gestohla?
WS20	A tōt a su{,} ols wenn’sa zom Drăscha bestellt hätta: sie hōns ober sălbr getōn.
WS21	Wām hōda die noïe Geschechte drzāhlt?
WS22	Ma muß laut prella, soste verstieht a ons nē.
WS23	Mer saïn miede on hon Doscht.
WS24	Wie mĭr {Das „ĭ“ gebessert aus „e“} gestan zoricke kōma, do worn die ăndăn schon aïm Bette on schliefa feste.
WS25	Der Schnie īs bei ons heute ei d’r Nacht liecha geblien, ober heute morcha īs a geschmolza.
WS26	Hinder onserm Hause stiehn drei schiene Äplbämlan mit rūta Äpallan.
WS27	Kennt’dr nē noch en Āchablīeck of ons warta, drnōhrt gien mer mit oï̄ch.
WS28	Ihr dārft nē a su remkentscha!
WS29	Onse Barche saïn nē sehr hūch, oïerne saïn viel hĭcher {Eigentlich ein „i“ mit einem darüberliegenden „ ̆“}.
WS30	Wieviel Pfond Worscht on wieviel Brut wollt’ trn hōn?
WS31	Ich verstieh oïch ne, ihr mißt a bisla lautr rēda!
WS32	Hot’trn nē a Steckla Saïfe fer mīch ŏf mĕm Tĭsche gefunda.
WS33	Saï Brūdr wīl sich zwē schiene noïe Hoïsr ei euerm Gōrta baun.
WS34	Dōs Wort kom’m vom Harze.
WS35	Dōs wōr rĕcht vo dān.
WS36	Wōs setza do fer Vōchalan ūba of dām Moïala.
WS37	Die Pauan hotta fenf Ochsa on noie Kïe on zwelf Schēflan vors Darf gebrōcht, die wulda se verkoïfa.
WS38	Die Loïte saïn hoïte olle daßa ofm Felde ŏn hān.
WS39	Gie, oka, der braune Hund tut’tr nischt.
WS40	Ich bīn mit a Loïta dō hinda īwer die Wiese āïs Korn gefohrn.
