---
Bogennummer: '16088'
Ort: 'Braunau'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	aim wẹntr̥ flīja {Das „j“ gebessert aus „χ“.} dǝ traija blęt̄r̥ ai dr̥ lọft rẹm.
WS02	s hę̄rt glai ūf tsọ šnain. dr̥nōxr̥t wats wātr̥ wīdr̥ bęs̄r̥.
WS03	tū k‘ōla <gip k‘ōla> ai a uva, dǫs de mẹlχ bāle tsọ k‘ọx̄a ǭfęƞt.
WS04	dr̥ gūde āle mǭn īs mẹtm̥ pfāde dǫrχ s ais gebrọx̄a on ais k‘āle wǫs̄r̥ gefǫl̄a.
WS05	a īs fęr fīr ọdr̥ sęks wọx̄a geštǫrba.
WS06	dǭs fair̥ wǭr tso grūs, de k‘ux̄a saini̯ō ọnda gants šwǫrts gebrant.
WS07	hār ẹst de air̥ ẹm̅r̥ ōne sālts on pfaf̄r̥.
WS08	de fis̄e tūn mr̥ wī. iχ glāwe, iχ hǭ se dǫrχgelọf̄a.
WS09	īχ bīn baı {Oder das i-Pünktlein fehlt und es wäre „i“ anzusetzen} dr̥ frau gewāst ọn hǭsr̥ gesę̄t; ọn sī sę̄te, si wīls āx īrr̥ tọxtr̥ sę̄n.
WS10	īχ wīls āx nęm̅e wīdr̥ max̄a.
WS11	iχ šlō diχ glai mẹt̄m̥ k‘ōxlęf̄l̥ ẹm ole ōōn, dū ǫf̄e.
WS12	wū gīste dęn hīn, sẹl̄an mīr mẹt̄r̥ gīn.
WS13	ṣ sain bīse tsaitn̥.
WS14	mai līwes k‘ẹnt, blai dō ọnda štīn. dǝ bīza gęnse baisa diχ tūt.
WS15	du [họst] {oder "hǫst"} haite ọm mę̄ršta gelęrnt ọn bẹst ātiχ gewāst. du tǫršt ēr̥ {Davor ein durchgestrichener, unleserlicher Buchstabe. Vielleicht „e“?} hāmgīn ǫls dǝ andan.
WS16	du bẹst nōx nē grūs genọƞk, ẹmn̥ flǫše wain austsọtrẹƞka. du must ęršt nōx a wėƞk waksa ọn grẹs̄r wān.
WS17	bīs a su gut ọn so sę̄s dainr̥ šwastr̥. de sōl de k‘lādr̥ fęr aire mut̄r̥ fęrtiχ nēn ọn mẹt̄r̥ bęršte rān max̄a.
WS18	hęsta gek‘ant, dō wę̄rš andr̥š gek‘ọm̅a{,} ọn s tēte bęs̄r̥ ǫm̅a štīn.
WS19	 wār hōt mīr męn k‘ǫrp mẹt̄m̥ flāše geštōla?
WS20	a tǭt a su{,} ǫls hęt̄asa tsọm draša beštęlt. de hǭns ǭwr̥ salwr̥ gemaxt.
WS21	wām hōdan {Das „d“ gebessert aus „t“.} de naie gešẹχte dr̥tsēlt?
WS22	ma mūs laut prẹl̄a, <s̶ọ̶n̶s̶t̶ f̶>{durchgestrichen} sọste fr̥štīt a ọns nē.
WS23	mīr sain mīde ọn hǭn dǫršt.
WS24	Wīmr̥ gęstan ts ōms tsọrẹk̄e k‘ǭma, dō lǭʒa dẹ andan šọn aim bęt̄e ọn wǫrn fęste aigešlōfa.
WS25	dr̥ šnī blīp dẹ naxt bai ọns līja. haite mǫrja tǭta šmęltsa.
WS26	hẹndr̥ ọnsm̥ hause hōts drai šīne ęp̄l̥bāme mẹt ruta ap̄al̄an.
WS27	kẹntr̥ nē nōx a k‘wintla ọf̄ ọns wǫrta. dr̥nōxr̥t gīn mr̥ mẹt aiχ.
WS28	īr dęrft nē sẹχte k‘ẹntše dẹƞe max̄a.
WS29	ọnse bęrje sain nē a sū sę̄r hūx. aire sain hẹꭓ̄r̥.
WS30	wīvfl̥ pfọnt wǫršt ọn wīfvl̥ brūt węltr̥ dęn hǭn?
WS31	īχ fr̥štī aiχ nē. īr mist a wẹƞk lautr̥ rēda.
WS32	hǭt̄r̥ dęn nē a štẹĸla waise sāfe fęr mīχ <ọ̶χ̶>{durchgestrichen} ọf męm tẹše gefọnda?
WS33	sai brūdr̥ wīl siχ tswē naie šīne haizr̥ ai aian gǭrta baun.
WS34	dǭs wǭrt k‘ǭm m̥ fọm hęrtse.
WS35	dǭs hǭn sẹ ręχt gemaxt.
WS36	wǭs sẹtsan dō fęr fējalan ūba ọf dām mọiala?
WS37	dẹ pauan hǫt̄a fẹmf ọĸsa ọn nain k‘īe ọn tswęlf šēflan fęrs dǫrf gebrōxt. dī wulda se fr̥k‘āfa.
WS38	dẹ laite sain haite [ǫl̄a] {oder "ǫl̄e"} drausa ọf̄m̥ fęlde ọn mēn.
WS39	gī ọk. dar braune hunt tot̄r̥ ništ.
WS40	īχ bīn mẹtā laita dō hẹnda ī īwr̥ de wīze ais k‘ǫrn gefǭrn.
