---
Bogennummer: '16131'
Ort: 'Barzdorf'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	’M Wenter fliecha de troicha Bläter ei dr Loft rem.
WS02	’S hört glei uf zo schnein, dernochert wert’s Water wieder besser.
WS03	Tut ock Kohle ei a Ufa, doß de Melch bale zo kocha ofängt.
WS04	Da gude ale Mohn is met’m Pfahre dorch’s Eis gebrocha on ei’s kahle Wosser gefolla{.}
WS05	A is fer vier oder sechs Wocha gestorwa.
WS06	’s Feuer wor zu stark, de Kucha sein ju onda ganz schwatz ogebrannt.
WS07	A eßt de Aier emmer ohne Salz on Pfaffer.
WS08	De Füsse tun m’r wieh, ich gläuwe, ich ho se <dorchgeloffa> drbellt.
WS09	Ich bien bei d’r Frau gewast on ho’s’r gesoit; on de soite, de wellt’s ach ihrer Tochter soin.
WS10	Ich wiel’s [a]ch nemme wieder tun!
WS11	Ich schlo dich glei met’m Koklöffel em de Ohrn, du Offe!
WS12	Wu giehst d’n hie{,} söll mern met dir giehn?
WS13	’s sein schlechte Zeita!
WS14	Mei liewes Kend, blei do onda stiehn, de biesa Gänse beißa dich tut!
WS15	Du host heute’m merschta gelannt on best artich gewast, du torscht früer haim giehn wie die andan.
WS16	Du bėst noch ne gruß genung{,} um’n Flosche Wein auszotrenka, du mußt erscht noch wos wachsa on grüsser wahn.
WS17	Gieh, <bl> bies asu gutt on soi deiner Schwaster, de selde de Klaider fer euerne Mutter fertich nähn on mit der Bä<r>schte rain macha.
WS18	Häßt du a gekannt? do wärsch andersch komma{,} on’s tät besser em’a stiehn.
WS19	Wa hot m’r menn Korb met Flā͜isch gestohla?
WS20	A tōt a su, os hätta s’a zom Dräscha bestellt; de hons ower salwer geton.
WS21	Wam hod’a de neue Geschechte derzahlt?
WS22	Ma mūß laut schrein, soste verstieht a’ ons ne.
WS23	Mier sein müde on hon Dorscht.
WS24	Wie mer gestan obns zurecke kōma, do locha de andan schon eim Bette, on worn feste’m schlofa.
WS25	D’r Schnie is diedeche Nacht bei [u]ns liecha geblien, ower heute marcha is a geschmolza.
WS26	Hender ons’m Hause stiehn drei schiene Äpplbäume met ruta Appalan.
WS27	Könntern nee noch a Achableckla of ons watta, dernochert gieh mer mėt euch.
WS28	Ihr tö<r>t ne seche Kendereia treiwa.
WS29	Unse Barche sein ne sehr huch, de euricha sein viel hicher.
WS30	Wiev’l Pfond Worscht on wiev’l Brut wellt‿er hon?
WS31	Ich verstieh ich nee, ihr müßt a beßla lauter sprecha!
WS32	Hott‿ern kā͜i Steckla weiße Sāife fer mich of mem Tesche gefonda?
WS33	Sei Bruder wiel’m zwee schiene neue Hoiser ei euerm Gorta baun.
WS34	’s Wort kom’m vo Haza!
WS35	Dos wor recht von’a!
WS36	Wos setzan do fer Vochalan uwa of dam Mäuala?
WS37	De Pauan hotta femf Ochsa on neun Küe, on zwölf Schäflan fer’s Darf gebrōcht, de wullda se verkäufa!
WS38	De Leute sein heute olle dassa of’m Felde on haan.
WS39	Gieh ock, der braune Hund tutt d’r nischt.
WS40	Ich bien m[i]t’a Leuta do henda üwer de Wiese eis Kann gefohrn.
