---
Bogennummer: '16807'
Ort: 'Saufloß'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	M Wentr fliecha die treucha Bläter ei dr Loft rem.
WS02	S’ härt glei uf zo schnein, dann wat dos Water wieder besser wan.
WS03	Tu ok Kohle ei a Ufa{,} doß die Melch bale zo kocha ofängt.
WS04	Dar gude ahle Mon iß mit dam Pfade darchs Eis gebrocha on ei’s kale Wosser gefolla.
WS05	Har iß vor viern oder sechs Wocha gestarwa.
WS06	Dos Feuer war zo gruß, die Kucha sein ju onda ganz schwaz vrbrannt.
WS07	Har eßt die Aier emmer uhne Salz on Pfaffer.
WS08	Die Füsse tun mr wieh{,} ich gloiwe{,} ich ho se dorchgeloffa.
WS09	Ich bin bei dar Frau gewast on hos’r gesoit <oder geset>; on sie sete, sie wills ihrer Tochter sen.
WS10	Ich will a nemme wieder tun.
WS11	Ich schlo der glei met dam Kochleffel em de Ahrn{,} du Offe.
WS12	Wu giehs’tn hie{,} sell mrn mitte giehn.
WS13	Sein schlechte Zeita.
WS14	Mei liewes Kend{,} blei do onda stiehn, die biesa Gänse beißa dich tut.
WS15	Du host heute’m meista gelant on best artich gewast{,} du därfst frühr hem giehn ols die andan.
WS16	Du best noch ne gruß genung{,} em ene Flosche Wein auszotrenka{,} du mußt erscht noch wos waksa an grißer wan.
WS17	Gieh{,} sei a su gut on soi <se> deiner Schwastr{,} se soll die Kleder fe<j>r eure Mutter fertich nähn on mit dar Berschte rain macha.
WS18	Häst du a gekannt! dann wärsch andrs gekomma{,} on ’s täte[Das „e“ gebessert aus „t“.] besser emma stiehn.
WS19	War hot mir men Karb mim Flesche gestohla.
WS20	Har tut a su{,} ols hätta san zan Drascha bestellt; sie hons ower salwer gemacht.
WS21	Wam hod’a die neue Geschechte drzahlt?
WS22	Ma muß laut schrein{,} sonst vrstieht har ons ne.
WS23	Mer sein müde on hon Darscht.
WS24	Ols mr gestan oms hem koma{,} do locha die andan schon eim Bette on tote fest schlofa.
WS25	Dr Schnie iß die delle Nacht bei ons liecha geblien{,} owr heute marcha iß a geschmolza.
WS26	Hendr onsrm Hause stiehn drei Äppelbäme mit ruta Appalan.
WS27	Kennt’rn ne noch’n klen Achablick of ons wata, dann giehn mr mit euch.
WS28	Ehr därft ne selle Kendreia{Das erste „e“ gebessert aus „i“.} treiwa.
WS29	U Onsre Barche sein ne sehr huch, die euan sein viel hicher.
WS30	Wieviel Pfond Wascht on wievl Brut wellt’rn hon.
WS31	Ich vrstieh euch ne{,} ehr mißt a beßla lautr sprecha.
WS32	Hott’rn ke Stekla weiße Sefe fe<jr> mich of mem Tesche gesahn.
WS33	Sei Brudr will sich zwe schiene neue Häuser ei euan Gata baun.
WS34	Dos Wart kom m vom Haza.
WS35	Dos war recht vo’na.
WS36	Wos setzan do fe<j>r Vöchlan of dam Mäurla?
WS37	Die Bauan hon fenf Ochsa on neun Kühe on zwelf Schaflan fe<j>r dos Darf gebrocht; die wulda se vrkäfa.
WS38	Die Leute sein heut olle draußa of’m Felde on tun mehn.
WS39	Gieh ok{,} dr braune Hind tut dr nischt.
WS40	Ich bin mit dan Leuta do henda üwr die Wiese ei’s Kann gefahrn.
