---
Bogennummer: '16808'
Ort: 'Ritschka'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	M Wenter flicha die troicha Bläter ei dr Loft remm.
WS02	S hört glei uf zu schnein, drnoch wert’s Water wieder besser.
WS03	Tu Kohla ei a Ufa, doß de Melch bále ofängt zu kocha.
WS04	Dar gude ale Mon is mit m Pfade dorchs Eis gebrocha on ai dos kahle Wosser gefolla.
WS05	A is vr vier oder sex Wocha gestorwa.
WS06	Dos Feuer wor zu stark, die Kucha sein ju onda ganz o gebrannt.
WS07	A eßt die Aier immer uhne Sálz on Pfaffer.
WS08	Die Füsse tun mr wih; ich glebe, ich ho se dorchgeloffa.
WS09	Ich bin bei dr Frau gewast on hos’r gesäht; on sie säte, sie wult’s a ihrer Tochter sehn.
WS10	Ich will’s a nemme wieder tun!
WS11	Ich schlo dich glei mit m Kochlöffel em de Ohrn, du Offe!
WS12	Wu giehstn hi, sella mr mit dr gien?
WS13	S sein schlechte Zeita.
WS14	Mai liewes Kend, blei do onda stien, di bießa Gänse beißa dich tut.
WS15	Du host heute m mesta gelarnt on best ortich gewast, du därfst früer haim gien ols d andern.
WS16	Du best noch ne gruß genung, em a Flosche Wein auszutrenka, du mußt erscht noch etwos wochsa on grüsser wan.
WS17	Gi, sei su gutt on seß deiner Schwaster, se sol de Klaider für eure Mutter fertich nähn on mit dr Berschte rain macha{.}
WS18	Hesta gekannt! do wär’s andersch komma{,} on s tät besser em ma stiehn.
WS19	War hot mr men Korb mit m Flaische gestohla?
WS20	A tot su, ols hätta se ihn zum Drascha bestellt, se hon’s ober salber geton.
WS21	Wam hot a die neue Geschichte drzählt.
WS22	Ma muß laut schrein, sonst verstiht a ons ne.
WS23	Mir sein müde on hon Dorscht.
WS24	Ols mr gestarn Obend zerecke kohma, do lócha die andern schun m Bette on worn fest eigeschlófa.
WS25	Dr Schnih is die delle Nocht bei ons liecha geblihn, ober haite Morcha is a geschmolza.
WS26	Hender onserm Hause stien drei schüne Äpelbäme mit ruta Äpalan.
WS27	Könnt r ne noch a Achableckla of ons watta, drnoch gien mr mit euch.
WS28	Ihr derft ne selle Kendereia treiba.
WS29	Onsere Borche sein ne sehr huch; eure sein viel hücher.
WS30	Wivel Pfond Worscht on wievel Brut wellt r hon?
WS31	Ich verstieh euch ne, ihr müßt a besla lauter sprecha.
WS32	Hot r kai Steckla weiße Saife für mich of mem Tesche gefonda.
WS33	Sei Bruder wil sich zwee schüne neue Häuser ei euerm Gorta baun.
WS34	Dos Wort kohm m fo Harza.
WS35	Dos wor récht vona!
WS36	Wos setzan do für Vöchalan duba of dam Mäuerla?
WS37	De Pauern hotta fenf Ochsa on neun Kühe, on zwölf Schäflan für’s Dorf brocht, die wullta se verkefa.
WS38	Die Leute sein heute olle dassa of m Felde on hán.
WS39	Gieh och, dar braune Hund tut dr nischt.
WS40	Ich bin mit da Leuta do henda über die Wiese eis Korn gefórn.
