---
Bogennummer: '16814'
Ort: 'Rokitnitz'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	M Wenter fliecha die treucha Bleter ei dr Lofft remm.
WS02	s härt glei uf zu schnein, drnoch werds Water wieder besser wan.
WS03	Tu ok Kohla eia Ufa, doß die Melch bale ofängt zu kocha.
WS04	Dr gude ale Mon is midm Pfade dorchs Eis gebrocha on eis kale Wosser gefolla.
WS05	A is vir vier oder sechs Wocha gestorwa.
WS06	s Feuer wor zu gruß, die Kucha sänn ju onda ganz schwarz worn.
WS07	A eßt die Aier immer une Sahlz on Pfaffer.
WS08	Die Fisse tunn mr wih; ich denk, ich ho se vuller Blosa.
WS09	Ich bin bei dr Frau gewaast on hosr gesoit; on sie soit, sie wäls ach ihrer Tochter soin.
WS10	Ich wills a nemme wieder macha!
WS11	Ich schlo dr glei a Kochläffel em die Ohrwaschlan, du Offe!
WS12	Wu gihst n hi, sella mern mit dr gihn?
WS13	s sänn schlechte Zeiten!
WS14	Mei liewes Kendla, blei ok do donda stihn, die biesa Gänse beißa dich tut!
WS15	Du host heute om meista gelernt on best artich gewast, du torscht a ehnder haim gihn ols die andern.
WS16	Du best noch ne gruß genunke, doß de terscht a Flosche Wein austrenka, du mußt erscht noch a wink wochsa on grisser wan.
WS17	Gih ok, on bis a su gutt, on sois deiner Schwaster, sie soll die Klaider für eure Mutter fertich nähn on mit dr Bärschte auspotza.
WS18	Häst du a ok gekannt! Dann wärsch andersch komma, on s tet{Das „e“ gebessert aus einem begonnenen „ä“ bzw. „a“.} besser em a stihn.
WS19	War hot mern männ Karb mitm Fleische gestohla?
WS20	A tot a su, ols hätta sa zum Drascha bestellt, sie hons ober salber gemacht.
WS21	Wahm hot an die neue Geschichte derzehlt?
WS22	Ma muß laut päka, sonst verstiht a ons nee.
WS23	Mir senn müde on honn Dorscht.
WS24	Ols mr gestan owens zurecke koma, do locha die andern schon eim Bette on tota fest schlofa.
WS25	Dr Schnie is die delle Nocht bei ons liecha geblien, ower heute marcha is a geschmolza.
WS26	Hender onserm Hause stiehn drei schiene Äppelbäume mit ruta Äpperlan.
WS27	Kenntern nee noch a Wälla off ons warta, drnoch gien mr mit euch.
WS28	Ihr tärt nee sella Kendereia treiba.
WS29	Onse Barche sänn nee sehr huch, eure sänn viel hicher.
WS30	Wievl Pfond Worscht on wievl Brut wälltern hon?
WS31	Ich verstieh euch nee, ihr müßt a besla lauter reda!
WS32	Hotrn kai Stekla Saife für mich off mämm Tesche gefonda?
WS33	Sei Bruder will sich zwai schiene neue Häuser ei euerm Gorta baun.
WS34	Dos delle Wort kohm m vom Hatze!
WS35	Dos wor recht vonah!
WS36	Wos setzan do für Vecherlan uwa offm Mäuerla?
WS37	Die Pauern hotta femf Ochsa on neun Kühe on zwälf Scheflan virsch Darf gebrocht, die wullta se verkäufa.
WS38	Die Leute senn heute dosse offm Felde on tunn haan.
WS39	Gih ok, dr braune Hund tut dr nischt.
WS40	Ich bin mida Leuta do henda iwer die Wiese eis Kann gefohrn.
