---
Bogennummer: '16840'
Ort: 'Wichstadtl'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	Em Wentr fliecha di troicha Bletr ei dr Loft remm.
WS02	s watt glei ufhärn zu schnein, drnocht wärts Watr wiedr bässr.
WS03	Tu Kohla eia Ufa, dōss di Melch bale ōfängt zu kocha.
WS04	Dar gude ale Mōn is midm Pfade dōrchs Eis gebrocha ōn ei dōs eiskale Wōssr gefōlla. <geschtärzt.>
WS05	A is vir vier oder säcks Wocha geschtōrwa.
WS06	S Foir wōr zu schtōrk, <di Hetze wōr zu gruß> di Kucha sein ju onda ganz vrbrannt.
WS07	A esst di Äär emmr uhne Salz ōn Pfaffr.
WS08	Di F Fisse tummr wie, ich teecht, ich hōse ufgeriewa.
WS09	Ich bin bei dr Frau gewast ōn hōsr gesät; ōn si säte, si wällts aa ihrer Tochtr sän.
WS10	Ich wills aa nemme wiedr macha!
WS11	Ich schloodr glei a Kochläffl em di Ōhrn, du Ōffe!
WS12	Wu gieste hin, sellmrn mitr gien?
WS13	S sein halt schlächte Zeita!
WS14	Mei liewes Kendla, blei ōck do honda schtien, di biesa Gänse drbeißa dich.
WS15	Du host hoite em märschta gelernt ōn best ōrtich gewast, du tōrscht ehndr hämgien wie di andarn.
WS16	Du best noch nee gruß genung, em a Flosche Wein auszutrenka, do mußte vōr noch a bessla wōcksa ōn grissr wan.
WS17	Gie ōck, bis asu gutt ōn säß dennr Schwastr, si soll di Klädr fir oire Muttr färtich nehn ōn mit dr Bärschte rän macha.
WS18	Wännda gekannt häst, do wärsch andrsch komma{,} ōn stät bässr emma schtien.
WS19	War hot mrn männ Kōrb mit Fläsch geschtohla?
WS20	A tōt asu, ōls wännsa zum Drascha beschtällt hätta; si hōnns ōwr salwr gemacht.
WS21	Wam hodan di noie Geschichte drzehlt?
WS22	Ma muß laut schrein, sonst vrschtieda ōns nee.
WS23	Mr sein miede ōn hōnn Dōrscht.
WS24	Wiemr gästarn obends zärecke komma sein, do lōcha di andarn schon em Bette ōn hōnn fäste geschlofa.
WS25	Dr Schnie is iwr Nōcht bei ons liecha geblien, ōwr hoite frie isa zrganga.
WS26	Hendr onsem Hause schtien drei schiene Ōpplbäme mit ruta Äpprlan.
WS27	Kenntrn nee noch en Achabliek <a bessla> off ons warta, drnocht gimmr mit oich.
WS28	Ihr tärrt nee asu kendsch sein.
WS29	Onse Barche sein nee sähr huch, oire sein viel hichr.
WS30	Wivl Pfund Wōrscht ōn wivl Brut wälltrn hōn?
WS31	Ich vrschtie oich nee, ihr misst a bessla lautr reda.
WS32	Hōttrn kä Schteckla weiße Säfe fir mich off mämm Tesche gefonda?
WS33	Sei Brudr will sich zwee schiene noie Hoisr ei oirm Gōrta baun.
WS34	Dōs Wōrt kōmem vum Harze!
WS35	Dōs wōr rächt vona.
WS36	Wōs setzan do fir Vechrla uwa off dam Moirla?
WS37	Di Pauarn hōtta femf Ocksa ōn noin Kië ōn zwälf Schefla viersch Dōrf gebrocht, die wulltase {Das „t“ gebessert aus „s“.} vrkäfa.
WS38	Di Loite sein hoite ōlle draußa <dassa> offm Fälde ōn hahn.
WS39	Gie ōck, dr braune Hund tuttr nischt.
WS40	Ich bin mida Loita do henda iwr di Wiese eis Kōrn gefōhrn.
