---
Bogennummer: '16841'
Ort: 'Lichtenau'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	M Wentr fliecha die treucha Bleetr ei dr Loft rem.
WS02	S hǟrt {Das „ǟ“ eigentlich ein „ä“ mit darunterliegendem „ ̄“.} glei uf zo schnein, drnochr werd s Waatr wiedr bessr.
WS03	Tu ock Kohla ei a Ufa, doß di Melch baale zo kocha oofängt.
WS04	Dr gude ale Mōn is miedm Pfaade eis Eis eigebrocha on eis kahle Wosser gefolla.
WS05	A is vr vier odr sechs Wocha gestarba.
WS06	S Feur war zo stark, di Kucha sein ju onda ganz schwarz ogebrannt.
WS07	A eßt di Äer immr uhne Sālz on Pfaffr.
WS08	Di Füsse tun mr wieh; {Der Rest des Satzes nicht ausgeführt.}
WS09	Ich bin bei dr Frau gewāst on hosr gesät; on si sät, si wiels a ihrer Tochtr sän.
WS10	Ich wiels a nemme wiedr tun.
WS11	Ich schloo diech glei mietm Koklöffl em di Ahrn, du Offe!
WS12	Wuhie giehstn, sellmrn mitdr giehn?
WS13	S sein schlechte Zeitn.
WS14	Mei liewes Kend, blei ock do honda stiehn, di biesa Gänse beißa dich tut.
WS15	Du host heute m meista gelernt on best artich gewast, du därfst früer hēm giehn ols di andrn.
WS16	Du best noch ne gruß genung, n Flosche Wein auszutrenka, du mußt erscht noch wochsa on grisser waan.
WS17	Bieß och a su gutt on sä’ß deinr Schwastr, si sool di Klädr fr eure Muttr fertich nähn on mit dr Bärschte rän macha.
WS18	Wenn da gekannt häst, dann wärsch andrsch komma{,} on s tät bessr em a stiehn.
WS19	Waar hōtmr menn Karb mit Fläsch gestohla?
WS20	A tōt a su, os hätta sa zom Drascha bestellt; si hons owr salwr gemacht.
WS21	Waam hodan di neue Geschichte drzeelt?
WS22	Ma muuß laut schrein, sonst vrstieht a ons nee.
WS23	Mr sein müde on honn Darscht.
WS24	Wiewr gestrn Obnds zoröcke kooma, loocha di andrn schonn on toota schloofa.
WS25	Dr Schnie blie üwr didellichte Nocht bei ons liecha, owr heute Marchas is a geschmolza.
WS26	Hendr onsm Hause stiehn drei schiene Äpp[e]lbäme {Oder „Äppe̶lbäme“?} mit ruta Äppallan.
WS27	Könntrn nee noch n Aachabliek off ons watta, dann gimmer miedich.
WS28	Ihr därft ne sella Kendrein treiba.
WS29	Onse Barche sein nee sehr huch, eure sein viel hüchr.
WS30	Wivl Pfund Warscht on wivl Brut wältr ho̅o̅n?
WS31	Ich vrstieh euch nee, ihr mißt a beßla lautr reda.
WS32	Hottrn nee a Steckla weiße Säfe off mem Tesche gefonda.
WS33	Sei Brudr wiel siech zwee schiene neue Häusr ei euerm Garta baun.
WS34	Dos Wart kom’m vu Harza.
WS35	Dos war reecht vona.
WS36	Wos setzan do fr Vöchalan uwa off dam Mäurla?
WS37	Di Bauan hotta femf Ochsa on neun Kühe on zwelf Schoflan viers Darf gebroocht, di wullta se vrkäfa.
WS38	Di Leute sein olle daußa ofm Falde on tun haan.
WS39	Gieh ock, dar braune Hund tutt dr nischt.
WS40	Ich bien mit da Leuta do henda üwr di Wiese eis Karn gefahrn.
