---
Bogennummer: '16846'
Ort: 'Nieder-Lipka'
Sprache: 'Deutsch'
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: 'Masterarbeit LMU München'
Transliterent: 'Felix Fischer'
Anmerkungen: ''
...
WS01	Êm Wêntr fliecha die troicha Blätr ei dr Lôft rêm.
WS02	S hert glei uf zo schnein, donôcht werds Wátr wiedr schi[e]nr {Oder „schinnr“?}.
WS03	Tu ock Kôhla ei a Ufa, doß die Mêlch bále ofängt zo kôcha.
WS04	Dr gude, ále Món is mêd’m Pfáde darchs Eis gebrôcha on is eis kále Wossr gefolla.
WS05	A is var vêr owr sechs Wôcha gestarwa.
WS06	S Foier war zo gruß, die Kucha sein ônda ganz verbrannt.
WS07	A êßt die Ejr uhne Sálz on Pfaffr.
WS08	Die Fisse tun mr wieh; ich denk, ich ho se darchgelôffa.
WS09	Ich bin bei dr Frau gewást on ho sr gesät, on sie säte, sie wullts a êhrer Tôchtr sän.
WS10	Ich wásch wettr nêmme macha.
WS11	Ich schlô dich glei mêt m Kôchleffl êm die Ahrwaschlan, du Offe.
WS12	Wu giehst n hie, sell mon mit dr giehn?
WS13	S sein schlechte Zeita!
WS14	Mei liewes Kênd, blei dô ônda stiehn, die biesa Gänse wann dich drbeißa.
WS15	Du hôst hoite om mêrschta gelernt on bêst artich gewást{,} du konnst êhndr hém giehn ols wie die andan.
WS16	Du bêst nôch nê gruß genung, em a Flosche Wein auszotrênka, du mußt erscht noch a Steckla wochsa on grißr wán.
WS17	Gieh, sei a su gutt on sä’s dennr Schwastr, sie soll die Klädr, fêr eure Muttr fertich nêhn on mêt dr Berschte rên macha.
WS18	Häßt du a gekannt, dô wérsch andrsch gekumma{,} on’s têt bessr emma stiehn.
WS19	War hôt mr a Karb mêt m Fläsch gestôhla?
WS20	A tot su, ols hetta sa zom Drascha bestellt, sie hons obr salwa getôn.
WS21	Wám hôt a die noie Geschichte drzahlt?
WS22	Ma muß laut prêlla, sônst vrstieht a ôns nê.
WS23	Mêr sein miede on hon Dascht.
WS24	Wie mr geston zorêckê kóma, dô lócha die andon schun eim Bette on wan festê eigeschlôfa.
WS25	Dr Schnie is iwr N[o]cht {Oder „Nacht“?} liecha geblien, obr obr hoit Marcha is a zrganga.
WS26	Hêndr ônsom Hause stiehn drei schiene Äpplbäme mêt klenn ruta Äppln.
WS27	Kennt donn nê a Wella ôf ôns watta, mêr giehn dann mêt ich.
WS28	Êhr tert nê sêlle kêndische Sacha treiwa.
WS29	Ônse Barche sein nê sähr huch; die oian sein viel hichr.
WS30	Wievl Pfônd Wascht on wievl Brut wellt donn hón?
WS31	Ich vrstieh oich nê, êhr mißt a bêßla lautr rêda.
WS32	Hott donn nê a Stêckla weiße Säafe fêr mich ôf mem Têsche gefônda?
WS33	Sei Brudr wêll sich zwêê schiene noie Hoisr ei oian Garta baun.
WS34	Dos war recht vo oich!
WS35	Dos dêlle Wort kóm om vom Hazze!
WS36	Wos sêtzan dô fêr Vêchalan uba om <Moiale> Moiala?
WS37	Die Pauan hotta fênf Ôchsa on noin Kieje on zwelf Schôflan vêrs Darf gebrôcht, die wullta sê verkäfa.
WS38	Die Loite sein hoite olle daußa om Falde on hahn.
WS39	Gieh ock, da braune Hund tutt dr nischt.
WS40	Ich bin mit a Loita drhênda iewr die Wiese eis Karn gefahn.
