---
Bogennummer: '17166'
Ort: 'Otročín '
Gid: 545054
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2026-04-12 11:47:34.145036
Änderungsdatum: 2026-04-14 17:47:16.966029
Satzversion: 1
...
WS1	In Wintă fläign de trucknă Blādlă in dă Luft um.
WS2	's häöat glei<ae> ăf zie <(zăn)> schnei<ae>a, ôffă <(dônn)> wiad's Wedă wieda bessă.
WS3	Tôu Kuhln in Aafn, daß d' Mīlch bōl zin <(zun)> kochn ua<n>fongt.
WS4	Dă gôut<(e)> ôlt<(e)> Mu<n>a<n> is mit'n Pfā durchs E<ee>is brochn und ins kolt Wôssă gfôlln
WS5	Es is voă väia oda segsWochn gstārm.
WS6	's feu<ee>a woa z stork, d Ko͡uchn san jo untn gonz schworz vabrennt.
WS7	Eä ißt d Oea ohna Sōlz und Pfeffă.
WS8	D' fäiß to͡un mă wäeh; i<(ch)> glau<ar>, i<(ch)> ho f' durchgeloffn.
WS9	I<(ch)> bin bă dă frao gwest und ho aras gsogt; und sie ho͡ot gsagt, sie wellăt's a ihră Tochtă sogn
WS10	I<(ch)> will's a nimmă wiedă so͡u<n>.
WS11	I<(ch)> schloch de glei<ne> mitn Kulöffl üba Oovvaschla, du O͡ff!
WS12	Wo͡o gäehst zo͡u, solln ma mit dia gäih<n>.
WS13	S san schlechte Zei<ae><(d)>n.
WS14	Mä läis Kind <(Kint)>, blei<ae> dôo untn stäi<e>h, de bäesn Gäns bei<ae>ßn de tôot.
WS15	Du hôst he<ae>u<n>t am mei<ae>stn glarnt, und bist ortle gwest, du därfst fräiha huam gä<e>i<e>h wäi de onan. 
WS16	Du bist nu niat gro͡oß g<(e)>nouch, a flosche Wa<e>n<e> as ztrink'n, du mo͡ußt zäearscht nu a weng wogsn und gräeßer wean.
WS17	Gäeh, sa sua gout und soch dei<ee>na Schwesta, sie sollat d. Klo͡eda füa enka Mo͡uda firte nāhn und mit da Bürschte ra<e>e<e> mahn.
WS18	häest'n du kennt! donn <(o͡ffa)> wa's onrscht kumma und's tat bessa um ihn s<sch>tä<e>i<e>h.
WS19	Wän ho͡ot mie mei<ae>n Korb mit'n flei<ae>sch g<sch>stuhln?
WS20	Ea ho͡ot sua to<e>u<a>, as wäi wenns ihn z'm <(zun)> dreschn b<sch>stellt häen, sie homs owa selwa tou<n>.
