---
Bogennummer: '17968'
Ort: Topportz (Toporec)
Gid: 545764
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Heinz Müller
Erstelldatum: 2025-02-13 20:31:10.537745
Änderungsdatum: 2025-03-13 16:44:21.942080
Satzversion: 1
...
WS1	Ën Wënter flieg'n die traig'n Bläter ën der Loft rëm.
WS2	S wet glaich ofhern zů schnei'n, dann kimmt ander Wāter
WS3	Tů Käůlen ën Äůb'n, doß die Melich bold onhebt zů koch'n.
WS4	D´r gute olte Monn ës důrchs Ais gebroch'n ůnt ës ëns kolte Wosser gefoll'n 
WS5	Vor vier oder sechs Woch'n ës er gestorb'n 
WS6	S´ Fojer wor zů stork, die Kůch'n sain ůnar gonz schworz gebriet
WS7	Dr ëßt die Ājer <(immer)> fort ohne Solz ůnt Tfaffer.
WS8	"Die Fiß tůn mer wēj̱ {Die Klammern wurden durchgestrichen, der Buchstabe ""j"" unterstrichen}, ich gläůb, ich ho se {Einfügezeichen}{<důrch> wurde durchgestrichen} ofgeläůf'n. {Einfügezeichen: <(gonz)>}"
WS9	Ich wor bai dr Frā ůnt hō ër {das Wort <Ir> wurde durchgestrichen} gesogt ůnt sie hot gesogt, sie wëts schunt ihrer Tochter sōg'n. <(äůch)> 
WS10	Ich <(wëlls äůch)> wars {hochgestellt} nëch mejer tun. {die Silbe <er> des  Wortes <mejer> wurde nachträglich eingefügt}
WS11	Glaich ga ich dr ëjns mëd'n Kochlaffel {das Wort <an> wurde durchgestrichen} iber die Ohrn dů Off dů!
WS12	Wů gajhst hin, soll ber mët <(gejn)>? kůmm?
WS13	'S sain schlajchte Zait'n.
WS14	Mai liebes Kënd, bleib hie ůnar stajhn, die bäjsn Gans, bāißn dich täůdt.
WS15	Du host fart on mejsten gelehrt ůnt best ārtich gewast, dů konnst {das Wort <ënter> wurde durchgestrichen} [ëjer] eheim gejhn, wie die ondern
WS16	Dů bëst noch nëch grůß genůg ům e Flosch Wain aůszutrënken, dů můßt noch [eher] erscht {hochgestellt} ewos woksen ůnt grëßer {das Wort [?] wurde durchgestrichen} wardn.
WS17	"Gejh, sai esäů gut ůnt sogs deiner Schwaster, die soll die Kläjdr vor aire Mutter fertich nejn ůnt met der Birscht rein mochn <(obbirschten)> {unter dem Wortsilbe ""ob"" in der Klammer steht die alternative Wortsilbe <aůs>. Also: ""ausbirschten""}"
WS18	Häst nen gekonnt, dann wärs ondrst kum ůnt s wollt bassr ům nen stajhn. <(mecht nen basser gejn)> 
WS19	War hot main Korb mët Fläjsch gestäůhlen.
WS20	Dr tit ësäů, ës wenn se nen hëtten zus Draschn bestollt, die hons obr salber {Einfügezeichen} gemocht. <(allejn)>  
WS21	Wan hot dr die noje Geschicht drzäijhlt
WS22	Me muß laut kraisch'n, esäů <(sonst)> verstejt er uns nëch.
WS23	Bir sain mied ůnt hōn e Durscht
WS24	Wie ber gastrn ze Äůbend sain zůrëck kůmm, däů hōn schunt olle geschläůfn ůnt geschnorcht
WS25	Dr Schnej ës ën dr Nocht bai ůns liegengeblieb'n, obr hait ën dr Frie ës er <(geschmolzn)> zergong.
WS26	 Henner ůnsern Haus stäjn drai schëjne Appelbäüm mit räůden Applchn.
WS27	Wort doch noch e Blit of ůns <([kunt] horren) dann kůmm ber äůch mët.
WS28	Nëch traib doch sëtte Tommhaitn <(Kändrain)>
WS29	Unsre Bārich sain nëch ësäu hoch, aire sain hëcher <(grëßer)>
WS30	Wifl Wurscht ůnt wifl Bräüt well dr hōn <hobn> <(Tfond)> 
WS31	Ich verstej Eůch nëch ihr mußt a bëschn lautr <(scharfer)> rejdn <(drzajln>)
WS32	Hodr nëch ë bëschen waiße Säjf vor mich of main Tësch gefonn?
WS33	Sain Brudr wellsich zwai schäjne noie Haiser ën euren Gort'n baun.
WS34	Die Rejd ës nen gonz von Harzen kumm.
WS35	Dos wor rajcht von Euch.
WS36	Wos sëtzen dos v[e]r Väügelch'n, äübn of'n Mäůerche'n
WS37	Die Pauer hon fënf Oksn ůnt nain Kieh ůnt zwelf Schäfrch'n vors Dorf gebrocht, die hon se gewollt verkeifn.
WS38	Die Leut sain heut olle of'n Fald ůnt mäjn <(Fald=dertauß)>.
WS39	Gej nont, der braůne Hund, tit dr nischt
WS40	{1. Satz:} Ich wor mëdn Leutn <Laitn>, däü henner iber  dr Wies Korn schnaidn {Einfügung von <ge>}gong. {Satz 2 alternativ zum 1. Satz:} Ich sai medn, Laitn henner raůs iber die Wies ëns Korn <([Schaden] mochen)>. {Die darunter geschriebenen Satzteile sind alternativ einzufügen hinter dem Wort <Wies>:} <näüs Korn (ëns) [Korn holn]>
