---
Bogennummer: '17990'
Ort: Leibitz (Ľubica)
Gid: 547198
Transliterationsprojekt: e0903261-3aeb-499d-9404-1d95c2c3c3f2
Transliterent: Heinz Müller
Erstelldatum: 2026-02-07 21:56:09.754314
Änderungsdatum: 2026-02-10 20:46:50.336545
Satzversion: 1
...
WS1	ẹn Vẹntr̥ flīgn̥ di trǫegn Blę̄tr̥ ẹn dr̥ Loft rẹm.
WS2	s vęt glǫeχ ofhẹrn̥ tsu stībn̥  <(šnęi tsu faln)> , dan vęt s Vę̄tr̥ vīdr̥ bẹsr̥ zǫen.
WS3	lẹg ōn, das di Mẹliχ balt koxt.  <(tu kę́uln en ę́ubm, ... >
WS4	dr̥ gute ǫlte Mǫn  <(gutə oltə Mǫn)> ẹs mẹdn Ros ẹngebroxn̥ unt ẹs ẹns kaltə Vǫsr̥ gəfaln.
WS5	dr̥ ẹs far fīr ōdr̥ zẹks Voχn gəštoərbm̥.
WS6	"s Fǫer vōr tsu štark (s hot zẹ̄r gẹlndiχ gbrīt <gebrīt>), {der Buchstabe ""e"" im Wort <gebrīt> wurde durchgestrichen} di Kuxn̥ zǫen untn̥ gants ferbrīt."
WS7	dr̥ ẹst di Ǫe[e]r imr̥ (fǫrt) ōne Salts unt Tfefr̥.
WS8	di Fis tu/mər vę́i, iχ denk, iχ hō zə ofgərībm.
WS9	"iχ vōr bǫem Vǫep unt hō s ər gəzōkt; unt di hǫt gəzōkt, di hǫts ę́nx <ę́nχ>{das Sonderzeichen ""χ"" wurde durchgestrichen und durch den oberhalb stehenden Buchstaben ""x"" ersetzt}  dr̥ Toxtr̥ gəvolt zōgn̥ <(di vę́ts ęnχ dr̥ Toxtr̥ zōgn.)>."
WS10	iχ vę̄ s nẹχ męi tūn!
WS11	"du Af du, iχ gę̄ dr̥ e pōər mẹdn̥ Koxlęfl̥ <Koχlęf> {das Sonderzeichen ""χ"" wurde durchgestrichen und durch den oberhalb stehenden Buchstaben ""x"" ersetzt} ibr̥ di ōrn."
WS12	vū gę́ist du hin, zol bər mẹtr̥ gę́in? <(mẹt dir)>.
WS13	s zǫen šlẹ̄χtə tsǫetn̥
WS14	Kẹnd, blǫep hī štę́in untn̥, di bę́izn̥ Gęnts dr̥bǫesn diχ
WS15	du hǫst hǫet s mę́iste gəlẹ̄rt unt vōrst prāf, du dęrfst friər əhę́im gę́in vi di ǫndr̥n.
WS16	"du ḅest nax <naχ> {das Sonderzeichen ""χ"" im Wort <naχ> wurde durchgestrichen und durch den Buchstaben ""x"" ersetzt} nẹχ grūs gənuk, das te Flǫš Vǫen austrẹnkst, du must nax e griml vōksn̥ unt gręsr̥ vẹrn̥."
WS17	gę́i zōk dǫenr̥ Švestr̥, di zol <zol> {das Wort <zol> wurde durchgestrichen} di Klę́idr̥ far ǫere Mutr̥ fertiχ nẹ̄n unt aus birštn̥.
WS18	hęst nęn gəkant! s vẹ̄r andr̥š gəvordn̥ unt s mẹχt nən hǫet bęsr̥ gę́in.
WS19	vę̄r ho̥t mǫen Karb flę́iš gəštęuln̥?
WS20	dr̥ hǫt zęu gətę́un, als vęn ze nęn hętn̥ ofgənum tsu drešn̥; di hōn s obr̥ zelbr̥ <(zelbr)> gəmaxt. {das Wort <(zelbr)> wurde durchgestrichen}
WS21	Vę̄n hǫt ər di nǫee Gəšiχt dr̥tsę́ilt?
WS22	du must krǫešn, zonst fr̥štę́it dr̥ unts nẹχ.
WS23	bir zǫen mīt, unt duršteriχ.
WS24	"vi br̥ gęstern tzę́ubn̥ts {eigentlich: ""tsę́ubnts""} tsurẹk gəkum zǫen, vōr̥n di ǫndrn šunt ẹn Bętęrn unt hōn fest gəšlę́ufn̥."
WS25	"dr̥ Šnę́i ẹs hẹnt līgn gəblībm {das Einfügezeichen vor den Worten ""bǫe unts"" bedeutet, dass diese Worte hinter dem Wort ""hẹnt"" eingefügt werden sollen} bǫe unts, obr̥ ẹn dr frī ęsr̥ <veg> {das Wort <veg> wurde durchgestrichen} vęk gətaut."
WS26	"hẹndr̥ unzr̥n Haus štę́in drǫe šę́inə Ępl̥bę́im mẹt rę́udn̥ Ępl̥χə {der Buchstabe ""n̥"" im ursprünglichen Wort <Ępl̥χn̥.> wurde durchgestrichen und durch das Sonderzeichen ""ə"" ersetzt}"
WS27	"kandr̥ nẹχ nax ən Ę́ugn̥blẹk of unts vōrtn̥, dan <dann> {das zweite ""n"" im ursprünglichen Wort <dann> wurde durchgestrichen} gę́ibr̥ mẹt ǫeχ."
WS28	nẹx maxt zẹtę Tomhǫetn̥ (<Kẹndərǫen>).
WS29	unzəre Bęrg zǫen nẹχ zẹ̄r hux (<huχ>) , ǫere zǫen fil hiχr̥.
WS30	vifl̥ Font Brę́ut unt Vūršt <vl> {die Buchstabenkombination <vl> wurde durchgestrichen} vẹldr̥ hōn?
WS31	iχ fr̥štęi ǫex nẹχ, ɪr {ir?} mist lautr̥ rę́idn̥.
WS32	"hōdr̥ nẹχ far miχ ofn̥ Teš ę Štẹkl̥χə vǫesə Zę́if <Sę́if> {der Großbuchstabe ""S"" im ursprünglichen Wort <Sę́if> wurde durchgestrichen und durch den Großbuchstaben ""Z"" ersetzt} gəfon?"
WS33	sǫen Brūdr̥ vel ziχ ẹn oern̥ Gortn̥ tsvǫe šę́inə Hǫezr̥ baun.
WS34	dōs Vart ẹs nən fan Hęrtsn̥ gəkum.
WS35	dōs vōr ręχt fan nən.
WS36	vōs zẹtsn dę́u far Fę́igl̥χə ę́ubm ovm Mo̧erχə?
WS37	"di Pauern hōn fẹnf Oksn̥, nǫen Kī unt tsvẹlf <tsvẹf> {das Wort <tsvẹf> wurde durchgestrichen} Šę́uf fars Darf gəbrōxt, di hōn zə <ze> {der Buchstabe ""e"" im ursprünglichen Wort <ze> wurde durchgestrichen und durch das Sonderzeichen ""ə"" ersetzt} gəvolt fr̥kę́ifn."
WS38	"di Lǫet zǫen hǫet ǫlə <ǫlle> {das ursprüngliche Wort <olle> wurde durchgestrichen und durch das darüberstehende Wort ""olə"" ersetzt} drausn̥ ovn <of> {der Buchstabe ""o"" mit halb angefügtem ""f"" in der Buchstabenkombination <of> wurde durchgestrichen} Felt unt mẹ̄n."
