---
Bogennummer: '21297'
Ort: Sievershausen
Gid: 112412
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Hans-Ulrich Henheik (Uetze)
Anmerkungen: '»Text Recognition powered by transkribus.ai« <https://www.transkribus.org/de/kurrentschrift-uebersetzen>

  • Ich nutze dieses Tool, auch wenn der automatisch erkannte Text eine Überarbeitung
  dringend erforderlich macht. Denn die KI transkribiert den Text nicht nur, sondern
  interpretiert ihn zudem zumindest teilweise vom Hochdeutschen aus ‒ und zwar umso
  mehr, je undeutlicher das Schriftbild ist. Für mich bedeutet es trotzdem eine Zeitersparnis,
  wenn ich nicht nur die „s-“ durch „ſ-“ und „u“ durch „ŭ“ vorab en bloc ersetze,
  sondern auch ‚Standardfehler‘ (wie z.B. „nun“ für „ŭnn“ und „mich“ für „nich“) im
  gesamten Text korrigiere, bevor ich die einzelnen Sätze übertrage.

  • Für diesen Ort ist besonders zu beachten das „Plattdeutsche Wörterbuch des Kirchspiels
  Sievershausen“ (Celle 1960) von Franz Wrede. Der Autor hat von 1925 bis 1949 auch
  zahlreiche plattdeutsche Geschichten veröffentlicht, eine Auswahl ist im Sammelband
  „Twischen Bronswiek un Hannower“ (Peine 1982) auf den Seiten 403-421 neu abgedruckt.
  Auch wenn der Wortschatz und die in der Einleitung beschriebene Aussprache für alle
  Orte des Kirchspiels gelten soll (also auch für die Dörfer Arpke, Dollbergen, Oelerse,
  Röhrse und Schwüblingsen, sowie die Wohnplätze Ambostel, Landwehr [bei Vöhrum] und
  Röddenser Busch), erwähnt er (einzig) für Sievershausen eine Abweichung:

  »Die Wörter biten (beißen), mine (meine), dine (deine), sine (seine) ... = mnd.
  î, spricht Sievershausen mit einem kaum merklich vorgeschlagenen kurzen e aus …«

  Diese Aussprache ist im Wenkerbogen als „ä͡i̲“ (und z.T. als „ä͡i“ oder „äi“) wiedergegeben,
  während die Bögen der nördlich gelegenen Orte an gleicher Stelle stets „ie“, „ih“
  oder „i“ zeigen.'
Erstelldatum: 2026-03-27 13:31:29.106736
Änderungsdatum: 2026-03-27 15:18:53.487762
Satzversion: 1
...
WS1	In Winter fleiget den drögen Bläe in der Lŭft herŭmme.
WS2	Et hört glieks ŭp taŭ ſ[ch]nien {„-ch-“ gestrichen}, denn ward dä Widderŭnge wedder bäter.
WS3	Daŭ Kohlen in den Oben, da[t]t {„-ſ-“ korrigiert zu „-t-“} d[ä] Mälk balle anfängt taŭ koken.
WS4	Dä gŭe ohle Man[n] i[ſt] {„-ſt“ korrigiert zu „-ss“ oder „-ſs“} mit dem Päre d[ö]hrt Ihs e⸗broken ŭn̄ in dat kohle Water e⸗fallen.
WS5	Hei iſs vorr veir oder ſeſs Wochen e⸗ſtorbʼ[e]n {„-e-“ gestrichen}.
WS6	Dat Füer waſs taŭ heit, dä Kaŭken ſint ja ŭnnen ganz ſwartt⁀e⸗brennt.
WS7	Hei itt dä Eier immer ohne Solt ŭn Pepper.
WS8	Dä Feŭte daŭet mick ganz weih, ich glöwe, ich hebbe⸗ſe dör e⸗lopen.
WS9	Ick bin bi dä Frŭe e⸗weſen ŭn̄ hebbe et [ö]hr e⸗ſegt, ŭn̄ ſe ſäe, ſei wollʼet ook öhre Dochter ſeggen.
WS10	Ich willʼt ook nich mehr wihr daŭn!
WS11	Ick ſlae dick gliek mitʼn Kooklöppel ŭmme dä Ohren, dŭ Ape!
WS12	Wo gahſt dŭ henn, ſch[üw]⸗wi mit dick gahn?
WS13	Et ſint ſlechte Tä͡ien.
WS14	Mien leiwe Kind, bliew hier ŭnnen ſtahn, dä (böſen) Gäŭſe biet’t dick doot!
WS15	Dŭ haſt hüte am mehrſten e⸗lehrt ŭnn biß artig e⸗weſen, dŭ dröffſt freŭer nah Hŭŭs gahn as dä andern
WS16	Dŭ biſt noch nich grot genaŭg, ŭm eine Flaſche Wien ŭt taŭ drinken, dŭ m[o]ßt eerſt nochʼn Enne waſſen ŭn grötter weeren.
WS17	Gah henn, weeß ſaŭ gŭt ŭnn ſegg diener Sweſter, ſe ſchöll dä Kleer förr jŭe Mŭdder fertig n[e]ien ŭn̄[d] {„-d“ gestrichen} mitʼr [d] {gestrichen} Böſte raine maken.
WS18	Herrſt dŭ öhne kennt, dann wärret anders e⸗kōmen ŭnn’t ſtünne bäter ŭm öhne.
