---
Bogennummer: '21491'
Ort: Almena
Gid: 102658
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Erstelldatum: 2022-06-03 17:34:24.245307
Änderungsdatum: 2022-06-28 13:15:40.771409
...
WS1	Jn’n Winter fläuget däu dräugen Bleer dür däu Luft herüm̄e.
WS2	Oett häuert glüik upp tèu ſchnui’n <(ſchnidd’n)> {ſchnidd’n in Klammern über ſchnui’n geschrieben}, denn wärdt datt Wedder wier better.
WS3	Déu Köhle in’n Ohm’m, datt däu Mälke baule an tèu kooken fenget.
WS4	Däu jèue äule Mann eß mit’n Peer dürt Ueis brooken, unn int kä̀ule Waater fal’l
WS5	Häu eß vör veuer är ſeß Wieken ſtorm'm <ſchſtorm’m>. {<ſchſ> sch durchgestichen}.
WS6	Datt Fur waß tèu häut, däu Kèuken ſind jä̀u un̄er jans ſchwarrt bren̄t.
WS7	Häu ätt däu Eier jüm̄er ohne Sault unn Pöpper.
WS8	Däu Foite dèot müi ſeu weu, eck läuwe, eck häwweſſe dürlä̀upen
WS9	Eck ſinn büi der Frum’m weſen unn häwwe ött ür ſä[g]t <ſächt> {<g> überschrieben für <ch>}, unn ſäu ſee, ſäu wollt ock ür Dochter ſeggen.
WS10	Eck willt ock nich maier wier dèun!
WS11	Eck ſchloo düi glüik mit’n Kookleppel ümme däu Aewwern, diu Ape!
WS12	Wo jei’ſte henn, ſü <ſúü>{<ú> durchgestrichen} we mett düi john?
WS13	Ött ſind ſchlächte Tüin!
WS14	Müin läuwe Kind, blüff hür unner ſtohn, däu bäuſen Jäuſe büit düi däu[t]. {über das Blatt hinaus geschrieben}
WS15	Diu häſt vandage am meiſten lehrt un biſt ornlik weſen, diu drafſt äuher no Hiuſe john osse däu An̄ern.
WS16	"Diu biſt nä̀u nich jrä̀ut <grä̀ut> {<j> steht über <g> als Korrektur}  jeneug <geneug> {<j> steht über <g> als Korrektur} , üm̄e äune Flaske Wüin teu drinken, diu moßt äus nä̀un En̄e wassen. (grö[tter]) {verschmiert, unleserlich an Rand geschrieben; ""und ... werden"" fehlt}"
WS17	Jonk, ſüi ſäu jäut un ſägg düiner Süßter, ſäu soll däu Kleier för juwwe Mutter ferg neien un met der Bößten rein maken.
WS18	Heſt diu ühne kennt, denn wörd annerſte kuhm’m, un ött hedde bedder üm̄e ühne ſtohn.
WS19	Wäu hät müi müin'n Kourf met Flä̀usk stohl’l?
WS20	Häu däu ſeu, osse hen’ſe ühne teun Dasken beſtellt; ſäu hät’t äwwer ſüm̄ſt dohn.
WS21	Wenne hätt häu däu nüi Geſchichte vatellt?
WS22	Äune mott hadde ſchrüin <(bölken)>, ſüß verſteihte us nich.
WS23	Wüi ſind moi un hätt Doſt.
WS24	Oſſe wüi giſter Romde trügge käum'm, dä̀u läugen däu An̄ern oll tèu Bedde un wörn wiſſe inſchlopen.
WS25	Däu Schnäu <Schäu> {Schäu n eingefügt} es düſſe Nacht büi us liggen bliem’m, äwwer vör Mäurgen eß häu ſchmolten.
WS26	Achter iuſen Hiuſe ſtoht dreu ſchöne Appelbäume mit rä̀un Aeppelkens.
WS27	Kühnge nich nä̀u äun’n Aeumblick ub us liwwern, denn jo wüi met juck.
WS28	Jüi drühwet nich ſöcke Kinnerrüin drüim’m.
WS29	J̀uſe Berge ſind nich ſeu häuch, juwwe ſind viel häuger.
WS30	Woviel Pund Woſt un woviel Brä̀ud wi jüi häm’m.
WS31	Eck verſtoh juck nich, jüi müht’n biet'n hätter kürn.
WS32	Hä jüi nen Stück witte Seip’m för {<ö> steht über f[?]r als Korrektur} müi ub müinen Diske fun’n?
WS33	Süin Brewwer well ſick twäu ſchöne Huiſer in jum’m Gorne bum’[m] {m unleserlich an den Rand geschrieben, eventuell n}.
WS34	Dat Wewweͣrt {<a> über <e> geschrieben, Korrektur?} kam̄ ühne van Härtn <(Hart’n)>.{Variante darunter geschrieben}
WS35	Dat was recht van ühne.
WS36	"Wat ſidt do för Vügelkens bom’m ub der Muiern? {Oder auch ""Muirn"", wenn e als durchgesrichen interpretiert wird.}"
WS37	Däu Biwwern hätt füif Oſſen un niejen Käuh un twälf Schöpkens för dat Därp brocht, däu woll’n ſäu verkä̀upen.
WS38	Däu Lui ſind van Dage olle biut’n up’n Feile un mei’t.
WS39	Jounk man, däu briune Rüh doit düi nickes.
WS40	Eck ſin met den Luin do bom’m <(achter)> äwwer däu Wieſe in’t Käwwern fohrt.
