---
Bogennummer: '22411'
Ort: Garlipp
Gid: 124570
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Gustavo Reinhardt
Erstelldatum: 2024-12-19 02:46:50.049321
Änderungsdatum: 2024-12-19 02:46:50.049321
Satzversion: 1
...
WS1	In’n Winter flegen de drögen Bläger dörch de Luft rü̆m.
WS2	’t hürt gliek up to ſneien, dänn w[ä]t det Wäger wärrer bätter.
WS3	Dō Ka͡olen <(das a wie engl all)> in’n Ōwen <(ebenso)>, dät de Melk ball an to ka͡oken <(ebenso)> fängt.
WS4	De gōg’ oll’ Man̄ is met det Pärd dörch’t Īs bra͡oken <([cf. vorhin])> ŭn’ in dät kŏll Wōter <(wie all)> fallen.
WS5	He is vö̆ viēr ōrer ſö̆s Wochen ſtorwen.
WS6	Dä̆t Füer wăs tō heet, dē Kōken sind jō unn’n janz swătt brä̆nn’t.
WS7	Hē ĭtt dē Eier ü̆mmer ōn’ <(all)> Sŏlt <(wie all)> ŭn Pǟper.
WS8	Dē Fȫt’ dōhn mei wēh, ĭck lȫw’, ick hēbb’s dö̆rchlōpen.
WS9	Ick bĭn bei de Frau wĕſt ŭn hebb’t ȫr <(Laut zwischen ä u. ö)> ſä̆gt ŭn sē sǟ, sē woll’t ōk ör <(wie vorhin)> Dochter sä̆gn <(wie in. lat. mag͟nus)>.
WS10	Ick will’t ōk nich wä̆rrer dohn!
WS11	Ick sla͡o <(wie d. engl. all)> dei gliek mĕt’n Ka͡oklaͤ̄pel ü̆m’t Ūhr’n, du A͡op’ <(wie all)>!
WS12	Wō geist’ n hĕn, sö̆lln wei mĕt dei ja͡on?
WS13	’t sind slecht Tieten!
WS14	Mien leew Kind, bliew hier unn’n sta͡͞on, dē ŏll jȫhs’ bieten dei dōt.
WS15	Du haͤ̆st hǖt’ n meĭsten liert un bist a͡ortig west, du daͤrfst froͤ̄er na͡o <(kurz)> Hȗs ja͡͞on as de aͤ̆nneͬn <(das r wird fast verschluckt)>.
WS16	Du bist nŏ nich jrōt nōch, uͤ̆m ’n Bŭttel Wien ūt to drinken, du müst erst noch ’n Enn’ wăssen un groͤtter waͤ̄’n <(dunkles breites ae)>.
WS17	Ja͡͞o, waͤ̄s’ so jōt un saͤ̆ck dien swester, sē soll de kleerer voͤ̆ jū mutter fä̆ttig nǟ<(dunkel)>j’n un met de Boͤ̆st rein ma͡͞ok’n.
WS18	Hāst du ’n kennt! daͤ̆nn wier’t ä̆nnes ka͡͞om, un ’t stuͤ̆nn better met aͤ̆m.
WS19	Wö̆cker hä̆t mei mienen korf met fleesch sta͡͞oln?
WS20	He dǟ’ sō, ăs hā’n sē ä̆m to’t dö̆schen bestellt; sē hä̆m’t ȫwer <(ö lang u. dunkel) (wie d. u in church, much, etc.)> sülwent da͡͞on.
WS21	Wö̆ckern hä̆t he de nei’ Geſchicht vetellt?
WS22	Ēen mütt lūt schreien <(ei wie in der Neumark ei gesprochen wird?)>, sü̆ss vesteiht hē uns nich.
WS23	Wei sind mö’j <(l mouillé)> un hä̆m’ Dö̆st.
WS24	As wei jistern a͡͞owend trü̆ck keemen, da͡͞o leegen de ä̆nnern ăll to bett un wieren fast insla͡͞open.
WS25	De snee is dü̈s’ͤ nacht bei uns lĭgn <(guttural)> blǟwen, ȫwer <(wie d. engl. much, nur lang )> hǖt morren is he smulten.
WS26	Hinner unsern hūs sta͞on dree schön’ Appelbȫm’ met rōj <(mouillé)> Äppelkens.
WS27	Kö̆nn’n jē nich noch ’n Ōgenblick ŭp uns tȫwen, dä̆nn ja͡͞on wei ōk met jū.
WS28	Jē dä̆rwen nich sö̃nn’ Kinnereien driewen <(Wörtlich übersetzt; wird hier ganz anders ausgedrückt)>.
WS29	Uns’ Berg’ sind nich hellesch hoch, jū sind vȫl <(dunkel wie in church)> hȫjer. <(Sehr lässt sich nicht wörtlich übersetzen).>
WS30	Wovȫl <(dunkel)> Pund Wŏſt un wovȫl Brod will’n jē hä̆mm?
WS31	Ick vö̆ſta͡͞oh jū nich, je müten ’n bitschen lūter snacken.
WS32	Hä̆mm’ je ̄keen stückschen witt seep vö̆ mei up mienen Disch funn’n?
WS33	Sien Brōrer will sick twee schȫn’ nei’ Hǖser in jūen ja͡͞orn bau’n <([?] au, sondern dunkler)>.
WS34	Dä̆t wūrd kăm ĕm văn hä̆tten!
WS35	Dä̆t wăs recht văn jū!
WS36	Wăt sitten da͡͞o vö̆ klein vāgels up de klein mū-er? <(die Diminutivform ist hier fast ungebräuchlich)>
WS37	Dē Bū-ĕrn hā-ĕn fief ossen un nǟj’n kö’j <([son] mouillé)> un twö̆lf klein scha͡͞op vö̆ dĕt dö̆rp brŏcht’, dē woll’n ’s vekȫpen.
WS38	De Lǖ’ sind hǖt all’ būten ŭp’t Feld un mǟj ͤn <(Schwa mobile)>.
WS39	Ja͡͞o mĕn, dē brūn Hund deit dei nist.
WS40	Ick bin met de Lü’ da͡͞o hinn’n ö̆ber’t wisch <(d. bekannte dunkle ö)> in’t Ka͡͞orn fǖhrt.
