---
Bogennummer: 22799
Ort: Lüchow
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: '{Die Buchstaben in Klammern wurden in der Übersetzung durchgestrichen}'
...
WS01	In Winder fleg’n de drög‘n  Blärer in de Luft herrüm.
WS02	Dat hört gliks up to ßnien, denn wart dat Wärer werrer bäder.
WS03	Do Kahl’n in de Aben, dat de Melk bald an to ka<(r)>ken fangt.
WS04	De god ol Mann is mit dat Perd dörch dat Is bra<(r)>ken un in dat koll Wader fall’n.
WS05	He is vör ver orer söß Wochen störm.
WS06	Dat Für wör to het, de Ko<(c)>ken sünt ja un’n ganz twart brennt.
WS07	He itt de Eier ümmer ahn Solt un Päper.
WS08	De Föt dön mir sehr weh, ik glöf, ik hef jem dörf lopen.
WS09	Ick bin bi de Fru west, un heff erh dat segt, un se säh, se woll dat ok ehr Dochter seg’n.
WS10	Ick will dat ock nich mehr wedder dohn.
WS11	Ick slag dir mit de Ka<(r)>kläbel um de Oh’n, du Ap!
WS12	Wu geisst Du hen, söll’n mir mit dir gahn?
WS13	Et sünd slecht Tid’n!
WS14	Min lef Kind, blif hier un,n stahn, de bösen Gös bid’n die todt.
WS15	Du hast hüt am meisten lehrt un, bist artig west, du dörfst früher na Hus gahn als de annern.
WS16	Du bist noch nich grot genug, um en Flasch Wien uttodrinken, de müßt erst noch en
WS17	Geh, sie so got un säg dien Szwester, se süll de Kleder vör ju Mudder fardig neihn un mit de Bürst rein makn.
WS18	Hartst Du em kennt! denn wär dat anners kam, un dat har bäter üm em stahn.
WS19	Wer hat mi mien Korf mit Flesch stahl’n?
WS20	He dä so als harrn se em to do dürschen bestellt; se ham’n dat aber sülm dahn.
WS21	Wer hat he de nie Geschicht vertallt?
WS22	Man müt lut schrien sünst versteit he uns nich.
WS23	Wir sünt möd un hem’n Dürst.
WS24	Als wir gistern Abend trüg kömen, da leng’n de annern al in Bett un wörn fest in Szlab
WS25	Dat Sznee is hüt Nacht bi uns ling’n blieben, aber  hüt Morgen is he tzmulten.
WS26	Hinner uns Hus stahn dre schön Abbelbiemk’n mit rood Abbelk’n.
WS27	Kön’n ji nih noch en Ogenblick üb üns töben, denn gahn wir ju.
WS28	Ji dörm nich sön Kinerriwn drib’m.
WS29	Uns Barg’n sint nich sehr hoch, ju sünt völ höger.
WS30	Wuvöl Pund Worst un wuvöl Brod will’n ji ham’n?
WS31	Ick verstah ju nich, ji müt’n bitschen luter sprecken.
WS32	Hem’n ji ken Stück witt Seep für mie up mien Disch fun’n.
WS33	Sin Brorer will sick twe schön nie Hüser in ju Gardn bu’n.
WS34	Dat Wort köm em von Harzen!
WS35	Dat wär recht von ju.
WS36	Wat sit’n da für Vögelck’n up de Mur?
WS37	De Buren hann fief Ossen un neg’n Köh un twölf Schöbckn vör dar Dörp bröcht. De woln se verköpen.
WS38	De Lüdt sünt hüt arl but’n up dat Feld un meihn.
WS39	Gah nur, de brun Hund deiht die nix.
WS40	Ik bin mit de Lüdt da hin’n öber de Wisch in dat Korn föhrt.
