---
Bogennummer: 23455
Ort: Coesfeld
Sprache: Deutsch
Bogentyp: NMD_1880
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Victoria Schaub
Anmerkungen: ''
...
WS01	In de Winter fleigt de drögen Blädder dör de Luft.
WS02	Et hört glieck upp te schneien, dann weddat Wedder weer better.
WS03	Doh Kollen in den Obben, dat de Melk boll an te kocken fänk.
WS04	De olle Mann is met dat Ped dört Is brocken un is in dat kolle Water fallen.
WS05	He is vör veer öder seß Weck storben.
WS06	Dat Für was te heht, de Koken bünt ja unnern ganz schwatt brannt.
WS07	He ett de Eier ümmers ohne Solt un Pepper.
WS08	De Föte doht mi weh, ick gleiw, ick hew se dörlaupen.
WS09	Ick bünn bi de Frau weßt un hew et <ü/>öhr seggt, un se sag, se wull et auk ichrer Dochter seggen.
WS10	Ick will et auck nich mehr dohn.
WS11	Ick schl[o]h di gliek met den Kocklöppel üm de Ohren, du Ap.
WS12	Wo geihs du hen? söll wi met di gohn?
WS13	Et bünt schlechde Tieden.
WS14	Mien leiwe Kind, bliew hier unnern stohn, de bösen Gänse biedt di daudt.
WS15	Du heß van Dage em meisten lehrt, un büs adig weßt, Du dafs vröher noh Hus hen gohn as de Annern.
WS16	Du büs noch nich graut nog, du moß erst noch en Ende wassen un grötter wäden.
WS17	Goh, si so gud un segg Dien Süster, se söll de Kleeder för juhe Moder feddig neihen un met den Bössel rein maken.
WS18	Häds du en kannt! dann wör et anners kummen un et dei better üm em stohn.
WS19	We het mi den Korf met Fleß stollen?
WS20	He dei so, as hädden se em tom dösken bestellt; se hewt et ower söllwst dohn.
WS21	Wem het he de nigge Geschichte verthelt?
WS22	Man mott hadde schreihn, süß versteiht he us nich.
WS23	Wi bünt möde un hewt Dost.
WS24	As wi gissen Oben trügge kammen, do lagen de Annern all ind Bedde un wassen fest ant schlopen.
WS25	De Schnee is düsse Nacht bi uns liggen blebben, appat van Morgen is he schmolten.
WS26	Aechter usse Hus stoht drei schöne Appelbäumkes met raude Aeppelkes.
WS27	Könn ih nich noch een Augenblicksken up us wochten, dann goh wi met ju.
WS28	Use Berge bünt nich sehr hauge, de juhen bünt vull höchter.
WS29	Ih döft nich socke Kinderien drieben!
WS30	Wu v[u]ll Pund Wost will ih hebben?
WS31	Ick verstoh ju nich, ih mödt enn bedtken hädder sprecken.
WS32	Hew ih kin Stücksken Seep up mienen Disk funnen?
WS33	Sien Brohr will sick twee schöne nigge Hüser in juhen Goden bauen.
WS34	Dat Woht kam em von Hetten.
WS35	Was dat recht van ju.
WS36	Wat bünt dat vör Vögel do bobben up dat Müerken.
WS37	De Buern hadden fief Ossen un neggen Köh un twölf Schöpkes vör dat Dorp bracht, de wullen se verkaupen.
WS38	De Lüde bünt van Dage alle buten upd’ Feld un meiht.
