---
Bogennummer: 23507
Ort: Weseke
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Philipp Spang
Anmerkungen: ''
...
WS01	In'n Winter fleget de dröge Blah dör de Luft herüm.
WS02	Et heit glik up te schneÿen, dan wöt das Wär wär bäter.
WS03	Doh Kollen in de Oefen dat de Melk bolle an te kokken fönk.
WS04	De gede olde Mann is met dat Peird dör't Ihs br[ou]ken un in det kolde? Water fallen
WS05	He is von ver [???] säs Wäken stourwen.
WS06	Dat För was te het, de Koken sünd jo under gans schwot vörbrannt.
WS07	He ät de Eyrer altied one Salt un Päper.
WS08	De Föte doht mi weh, ik glöwe, ik häbbe se dör lopen.
WS09	Ik bün bi de Frou west un häbe et [ul] er sägt, un se säh se wollt ok äre Togter säggen.
WS10	Ik will et ok nich mär wär don.
WS11	Ik schlo di glik met den Kokläppel üm de Oren, du Ape.
WS12	Wo gehs du hen, söl mi met di gon?
WS13	Et sünt schlegte Tydn.
WS14	Min lewes Kind, bleiv her under stohn, de bisen Gaise biten di dot
WS15	Du häs wan Dage dat meste leit, un büs adig wäst, du dröfs ar na Hus gohn, as de anern
WS16	Du büs noch nich grot gnug, um en Fläske Win ut te drinken. Du mus eist nog en Ende wassen und gröter weiden.
WS17	Ge, wässe so got un sagge din Süster, se söl de Kleer för uh Moder feidig naihen un met de Bossel rein maken.
WS18	Häddest du em kent, dan wäs et anders kommen un et stün bäter üm öm.
WS19	Wäl häm mir minen Korf met Flees awstouilen.
WS20	Hä dä so, as hädden se äm tod dosken bestält; se häbt et apät sälwst dohn.
WS21	Wäl häw he de neuie Geschigte wötält?
WS22	Man mut lat schreien, süs vösteht he uns nig.
WS23	Wi sünt möh un häbt Douist.
WS24	As wi gistan [?]owend trügge kommen, do lägen de Annan hal egt Bädd un wassen ant schlopen.
WS25	De Snee is wan Nagd bi uns liggen bliwen, mär wanne Morgen is he smolten.
WS26	Agter us Hus stot dre moye Appelbömkes met rode Äppelkes.
WS27	Kön ih nich nohene Ogenblicksken up us wagten, dan goh wi met uh.
WS28	Ih dröft nich sökke Kindereijen driwen.
WS29	Uche Bärge sünt nich [g]ais hoge, de unen sünd füll höger.
WS30	Wovul Punt Woste un wovul Brot wil ih häbben?
WS31	Ik vöstoh uh nich, ih müdt en bätken müyker spräken
WS32	Häbb ih gin Stüksken witte Seepe fö mi up minen Disk funnen?
WS33	Sin Bror wil sik twe schöne neÿe Hüser in un Goude bouen.
WS34	Dat Wouit k[w]omt äm van Hetten
WS35	Dat was regt von uh.
WS36	Wat sittet dor för Vöggelkes buwen up dat Moerken.
WS37	De buan häwwet fif Ossen un neggen Küÿe un twalf Schöpkes vör dat Dörf bragt, de wilt se vökopen
WS38	De Löh sünd van Dage alle te buten upt Land un maiht.
WS39	Goh män, den brunen Hund dot di niks
WS40	Ik bün met den Löh do ägten öwer de Wiske int Koun fouit.
