---
Bogennummer: '23813'
Ort: Monheim am Rhein
Gid: 135095
Transliterationsprojekt: Citizen Science Projekt
Transliterent: RGB
Erstelldatum: 2026-03-16 12:31:37.984200
Änderungsdatum: 2026-03-16 12:31:37.984200
Satzversion: 1
...
WS1	Em Wengter flegen de drügge Blader durch de Loot erömm.
WS2	Et höt glich op ze schneien, da wöt et Wedder widder besser.{schneien mit Trema über dem i; möt mit Makron über dem ö} {Bogen über dem a in Da}
WS3	Dunn Kollen in de Ovven, dat de Milch baal an ze koche fängk.
WS4	De joode aale Mann es met dem Päd durch et Is gebrochen un en dat kaale Wasser gefallen. {Is mit Makron auf dem I}
WS5	Hä es vör vehr udder sechs Wechen gestorven.
WS6	Et Föör wor ze heeß, de Koochen sind jo ungen ganz schwaz gebrahnt.
WS7	Hä iß de Eier immer ohne Salz un Peffer. {ohne mit Makron auf dem o}
WS8	De Föß du mer ärg wih, ech glöv, ech hann se durchgeloofen. {Föß mit Makron über dem ö, o nach dem ö durchgestrichen} {Verbindungsbogen zwischen du_mer}
WS9	Ech bönn bei der Frau gewäß' un hann et ehr gesäht, un se säht, se wöhl et och erer Doter sagen. {Markron über ä (gewäß'), ö (wöhl), o (och), o (Doter)} {Trema über i (bei)}
WS10	Ech well et och nit mi widder dunn.
WS11	Ech schlonn dech glich met dem Kochl[ä]ffel ömm de Ohren, du Aap.
WS12	Wo ges de hin, sulle mer met der jonn? {Verbindungsbogen zwischen ges_de}
WS13	Et sind schläte Zicken! {Makron über dem ä in schläte}
WS14	Mi lev Kenk, bliev hie ungen stonn, de freche Gä[u]s bießen dech dut. {Makron über dem u in dut} {Unsicher: könnte auch ein n sein, aber ein u-Bogen darüber}
WS15	Du häß hück et miez geleert un bös adig gewäs, du darfs fröhder no Hus <(heem)> gonn als de angeren. {Makron über ä in gewäs und über u in Hus} {Bogen über ö in bös}
WS16	Du böß noch nit gruß genuch, ömm en Fläsch Wing uszedrenken, du muß esch noch en Eng wahsen un grütter wäden. {Bogen über ö bei böß} {Verbingungsbogen bei ömm_en}
WS17	Gank, böß su got un sag dinger Schwester <(örrem Weet)>, se soll de Kleder för ör Mutter fädig niehen un met der Bösch reen maachen. {Makron über ö in Bösch}
WS18	Häts d' en gekahnt! Da wör et angersch kummen, un et ditt besser ömm en stonn. {Bogen über a in Da}
WS19	Wä hätt mer minge Korf met Fleesch gestollen?
WS20	Hä ditt e su, als hätten s' enn zem dreschen bestahlt; se hant et ävver sälfs gedonn. {Verbindungsbogen zwischen e_su und s'_enn}
WS21	Wämm hätt e de nöje Geschicht verzahlt? {Verbindungsbogen zwischen hätt_e}
WS22	Me[r]r muß hatt schreien, söß versteht e us nit. {Zweites r bei Mer u.U. nachträglich ~ steht zu nah am nächsten Wort ~ eingefügt zur Genauigkeit?} {Trema über i bei schneien} {Bogen über i bei nit}
WS23	Mer sind möd un hant Doosch.
WS24	Wie mer gester Ovend widder koomen, do logen de angeren alt em Bett un woren faß am schloofen.
WS25	D[e] Schnei es dis' Nät bei us ligge blewwen, äwwer hück Morgen es he geschmolzen. {Trema über i bei Schnei und bei}
WS26	Henger ussem Huus stonnt drei schöne Appelbömcher met rude Äppelcher. {Trema über i bei drei} {Bogen über e in met}
WS27	Künd er nit noch en Oogeblekche op us waden, da go<(o wie in offen)>mer met üch. {Verbindungsbogen zwischen Künd_er}{Verbindungsbogen von go bis mer um die Anmerkung herum} 
WS28	Er dürft nit e sunn Kengerreihen driefen. {Trema über i in Kengerreihen}
WS29	Us Bärg sind nit ärg huh, de öhr sind vill hüder. {Makron über dem ü bei hüder}
WS30	Wivill Ponk Woosch un wivill Brud wellt er hann?
WS31	Ech verstonn öch nit, Er mütt e besgen häder kallen.
WS32	Hat er ke Stöck wiße Seef förr mech op mingem Dösch fongen?
WS33	Singe Broder well sech zwei schöne Hüser en örrem Gaden bouen. {(o) steht unter o in bouen und sieht aus wie eine Verdeutlichung}
WS34	Dat Woot kohm em vamm Hätzen.
WS35	Dat wor räht van 'nen. {Verbindungsbogen zwischen van_'nen}
WS36	Watt setzen do förr Vülcher ovven op dem Mörchen.
WS37	De Boren hatten fönf Ohsen un nüng Köh un zwölf Schöfcher vör et Dörp brähd, die wohlen se verkofen. {Makron über o in Boren und verkofen und ö in Schöfcher}
WS38	De Lück sind hück all doför op dem Feil un hauen.
WS39	Gank ä[ke]sch, de bronge Honk deht der nücks.
WS40	Ech bönn met de Lücken <(weich)> do hengen üwwer et Graß en et Koon <(offener)> [g]efahren. {Anmerkungen im Text stehen unter den Wörtern beziehen sich wohl auf die Aussprache von k und o} {Bogen über e in met}
