---
Bogennummer: '24176'
Ort: Balve
Gid: 102649
Transliterationsprojekt: SiN
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	Im Winter flaiget de droigen Blahr düer de Luft rümme.
WS2	Et hört gleik op te schniggen, dann wärt dat Wier weier biätter.
WS3	Dau Kuahlen in dian Uafen, dat de Miälke bolle an te kuaken fänget.
WS4	Dai gurre olle Mann es met diäm Piärre düert Eis bruaken un in dat kolle Water fallen.
WS5	Hai es füär vair odder säs Wiäken stuawen.
WS6	Dat Fuiär was te häit, de Kauken seit jo unnen gans schwat brant.
WS7	Hai ietet de Äjer liuter ohne Solt un Piäpper.
WS8	De Faite daut mi harre wäi, ik loiwe, ik hewwe se düar läupen.
WS9	Ik sei bei der Fau wiäsen un hewwe et iär sagt un sai sagte, sai wöllt ok iärer Dochter seggen.
WS10	Ik wellt ok nit weier daun.
WS11	Ik schlo di gleik met me Kuakeliepel ümme de Ohren, diu Ape.
WS12	Bo gäis diu henne, so fei met di gohn?
WS13	Et sünd schlechte Teyen.
WS14	Mein laiwe Kind, blief hei unnen stohn, dai boisen Goise beitet di däut.
WS15	Diu hiäs fan Dage et Maiste lohrt un bi s atig wiäsen, diu drawwes ähr no Hius gohn erre dai Andern.
WS16	Diu bis no nit gräut gnaug, ümme en Flaske Wein iuttedrinken, diu maß äis nah en Enne wassen un grötter wären.
WS17	Goh, sei säu gut uns egge deinem Süster, se söll de Klaier füär uge Mutter ferrig näggen un met der Büäste reine maken.
WS18	Härres diu ianne kannt! Dann wör et anders kuemen, un et deh biäter ümmer iänne stohn.
WS19	Bai hiät mi meinen Kuarf met Fläis stuahlen?
WS20	Hai deh säu, erre härren se iäne taum diäsken bestallt, se herret ower selwer dohn.
WS21	Biäme hiät hai dai nigge Geschichte vertalt?
WS22	Me mat harre schriggen, süs verstäite us nit.
WS23	Fei sint maie un het Duast.
WS24	Bo fei gistern Owend terügge kamen, do lagten dai Anderm all te Berre un wören fest am schlopen.
WS25	De Schnäi es düse Nacht bei us leggen bliewen, ower fan Muarren es hai schmulten.
WS26	Achter usem Huse stot drai schoine Appelboimkes met räuen Äppelkes.
WS27	Konn ich nit noch en Augenblicksken op us wachten, dann goh fei met uch.
WS28	Ehi drüwet nit säu Kinnerreien dreiwen.
WS29	Use Biärge seit nit sähr häuge, de uggen sint viel höchter.
WS30	Biuviel Pund Wuast un biuviel Bräut well ehi hewwen?
WS31	Ik veestoh uch nit, ehi müttet en bitken hädder kuiern.
WS32	Hew ih nit en Stücksken witte Säipe füär mei op me Diske funnen?
WS33	Seien Bräuer well sik twäi schoine nigge Huiser in uchem Gohren buggen.
WS34	Dat Woet kam me van Hiärten.
WS35	Dat was rächt van iäne.
WS36	Bat sittet do füär  Fügelkes häuge op diäm Muierken?
WS37	Dai Biuern harren feif Ossen un niegen Kögge un twiälf Schöpkes füär dat Duarp bracht, dai wollen se verkäupen.
WS38	De Luie sint van Dage alle biuten op me Felle un mägget.
WS39	Goh men, dai briune Ruie dait di niks.
WS40	Ik sin met diän Luien do äggen üäwer de Wiese int Koren foiert.

