---
Bogennummer: 24380
Ort: Bergfreiheit
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Jn Wender fliegen de tregen Blädder derch de Loft rem.
WS02	Es heert gleich uffe ze schneien, denn werd das Wetter wedder besser.
WS03	Du Kohlen en den Owen, daß de Melch balle an ze kochen fengt.
WS04	Der gudde ale Mann eß meden Gaule derchs Eis gebrochen un eß ins kalte Wasser gefallen.
WS05	Hä eß ver vier oder sächs Wochen gestorben.
WS06	Das Feier war ze häß, de Kuchchen senn jo ungen ganz schwarz gebrannt. 
WS07	Hä eßt de Eier immer ohne salz un Peffer.
WS08	De Fisse duhn mer sehr weh, ech glab, ich hanze derchgelafen.
WS09	Ech benn bei der Fraa gewä un honzer gesaat, un se saat, se wills a ährer Dochter saan.
WS10	Ech wells ah net meh wedder duhn.
WS11	Ech schla dech gleich meden Kocheleffel em de Ohren, du Affe!
WS12	Leo gehst de hen, summer medder gehen?
WS13	Es senn schlächte Zeiden!
WS14	Mei liewes Kend, bleib hieungen stehn, die beßen Gense beißen dech dod.
WS15	Du host heite an merschden gelärnt, un best ardeg gewä, du derfst frier häm gehn wie de Angeren.
WS16	Du best noch net groß genung, em ne Flasche Wein auszedränken, Dü mußt erst noch ä Enge wassen, un gresser wären.
WS17	Geh, sei so gudd un sprech dei schwestern, se sell de Kläder fer eure Mutter ferdeg nehn un met der Berste rähne machen.
WS18	Häddest du'n gekannt! denn wers angert kummen, un es deht besser emm'n stehn.
WS19	Wär hot mer mein Korb met Fläsch gestohlen?
WS20	Hä doht so, als hedden zen zenn Dreschen bestallt, se honz äwwer salwer gedahn.
WS21	Wenn hodde die neie Geschichte verzahlt?
WS22	Mer muß laude rufen, sest versteht hä uns net.
WS23	Merr senn miede un hon dorst.
WS24	Wie mer gästorwent zereck komen, do logen de Angeren schond ze Bette un waren feste an schlofen.
WS25	Der schnei eß dedde Nacht bei uns leggen geblewen, äwer heit Mergen edde geschmulzen.
WS26	Hinger unsen Hause stehen drei schene Oebbelbämercher mit roden Oebbelcher.
WS27	Kunder net noch ä Agenblickche uf uns warden, denn gehmer mit eich.
WS28	Deer derft net sulche Kennereien treiben.
WS29	Unze Bärge sen net sehr hoch, die eiren senn vell hecher. <(auch sein)>
WS30	Wie vell Pund Worst un wie vell Brod wollder hon?
WS31	Ech versteh eich net, d'r mut ä wink lauder sprächen.
WS32	Hodder kä steckche weiße säfe ver mech uf mein Desche gefungen?
WS33	sei Bruder well sech zwä hebsche neine Heiser en eiren Garden bauen.
WS34	Das Wort komen von Herzen!
WS35	Das war rächt vonnen!
WS36	Was sitzen do fer Vegelcher owen uf den Meierche?
WS37	Die Bauern hadden finf Ossen un nein Kiwwe un zwelf schefercher ver's Dorf gebracht, die wullenzn verkafen.
WS38	Die Leide sen heite alle drauße uf'n Fälle un mehn.
WS39	Geh ocker, der braune Hund diter nex
WS40	Ech benn met den Leiden do hingen ewer de Wesse ens Korn gefahren.
