---
Bogennummer: 24853
Ort: Orferode
Sprache: Deutsch
Bogentyp: 1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Katrin Kuhmichel
Anmerkungen: ''
...
WS01	Imme Winter fliegen d' drüjjen Blädder dörj d' Luft henne wedder.
WS02	's herrd glich uff z'schnijjen, dann werd das Wedder wedder enger.
WS03	Mach Kollen in den Uwen, daß d' Melch bahle anfänged z'kochen.
WS04	Der gude ahle Mann es med d'm Jüle dörjs Iis gebroch'n un in dos kahle Wasser gefull'n.
WS05	hä is värr vier or sächs Woch'n g'storwen.
WS06	Das Fir war z'häis, d'Kuch'n sinn jo ungen jäns schwarz g'brannt.
WS07	hä ißt d' Eier <(Egger)> immir ohne Sahlz un Fäffer.
WS08	D'Füße dunn meh sehre weh, ich gläiwe, ich ha se dörj g'läif'n.
WS09	Ich bänn bi d'r Frei g'wähn unn ha 's är g'said, unn se saide, se wulle's ährm Maijen sain.
WS10	Ich wäll 's nit me wedder dun.
WS11	Ich schloh dich glich med'm Kochläff'l ümme d' Uhr'n, du Affe.
WS12	Wu gest d'henn, sunn me med De gieh?
WS13	Es sinn schlächde Zide.
WS14	Mein liewes Kink, blibb hie ungen stieh, d schlächten Jänse bissen Dich duht.
WS15	Du hest hiede amme mäisten g'lärnt, un bist gud gewähn, du därfst früher häime gih' as d'Ängern.
WS16	Du bist noch nit gruß g'nuk, ümme 'ne Flaschen Wien üsz'drinken, Du mußt ert noch en Sticke wassen un gresser wär'n.
WS17	Gieh, sick s'gud un' säi Dirr Schwester, se sulle d'Kläid'r färr üre Mudder wäide nieh un'mäd d'r Berschten räine mach'n.
WS18	Wenn Du enn g'kannd häddest! dann wer's änger kumme, un es stinge besser ümme enn.
WS19	Wer hädd meh min Korb mäd Fläisch gestohl'n?
WS20	he dadd so, as ob se en zume Dreschen bestahlt hüdden, se hunn es awer selb'r g'donn.
WS21	Wäma hädd hä d'neuwe G'schichten verzaalt?
WS22	Me muß harte beeken, süst verstedd he uns nitt.
WS23	Me sinn müde un hunn Dorscht.
WS24	A's meh gest'r Owed z'rück kamen, hunn d'Ängern schund imme Bedde g'lain un worr'n fest ing'schlof'n.
WS25	Der Schnee es disse Naacht bi uns leine g'blewwen, aber dissen Margen is he geschmolzen.
WS26	hinger üns'm hüse stenn dräi schiene Äbbelstämmerch'n mit rud'n Äbbelerch'n.
WS27	Kunnd de nit noch enn Äuiwenblickch'n woord'n, dann genn me med üch.
WS28	De derft nit salche Kingeräi'n driewen.
WS29	Unse Berge sinn nit sihre hoch, üre sin vele hächer.
WS30	Wievele Fünge Worscht un wievele Brod wuht de ha?
WS31	Ich verstieh üch nit, de mutt en bischen härter schwatze.
WS32	hut de käin Stickchen wisse Säifen fer mich uff mimme Dische gefung'n?
WS33	Sinn Bruder well sich zwäi schiene neuwe hisser in ürem Gohrten bäuwen.
WS34	Das Wort kam emme vun Herzen.
WS35	Das wor räächt vun enn.
WS36	Was sitz'n da fer Veuilchen uwen uff d'm Mürchen?
WS37	D'Büren hunn fünf Ossen un' niehn Küwe un zwölf Schäferchen ver das Derf gebroocht, die wunn se verkäufen.
WS38	D'Lüde sin hiede alle drussen uff'me Felle un miehn.
WS39	Gieh nurt, d'r bruün Hünk tidd de nischt.
WS40	Ich benn med'n Lüden do hingen äwwer d'Wesen ins Korn gefahr'n.
