---
Bogennummer: '25643'
Ort: Grossenmarpe
Gid: 103004
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Erstelldatum: 2022-06-19 09:47:20.112390
Änderungsdatum: 2022-06-19 09:47:20.112390
...
WS1	Jnn'n Winter fleu'et dä dreuen Bleea dühr dä Luft herüm̄e.
WS2	Aet hoat <(engl. wa̱ther)> chlück up teo ßnüjjen <ßnüggen> {gg durch jj überschrieben}, den̄ wärd dat Wädder wedder bedda.
WS3	Deo Köhle in den Ob'm, dat da Mälke baule an teo kohken fänget.
WS4	Dä cheo aule Keeal eß met den P[er]a {Tinte verschmiert} dührt Uei's brocken un in dat kaule Waata fallen.
WS5	Heui eß für väer eoda ſeß Wecken ſtoab'n.
WS6	Dat Fua waß teo heu't, dä Keoken ſind joa <(engl. wa̱ther)> un̄er ganz ſchwart bren̄t {bren̄t an ziwschen Zeile 6 und 7 geschrieben}.
WS7	Heui ätt dä Euja jüm̄er eohne Soalt <(engl. wa̱ther) un Pöpper.
WS8	Dä Foiter deoht müi düht weuih, eck läube, eck häbbe, ſä dührlaub'n.
WS9	"Eck ſin büi der Fribb'n weſen un häbbet öa ſäggt un ſä ſeh, ſä wollt {""auch"" fehlt} öä Dochter ſeujjen."
WS10	Eck willt auk nich ma'i wier deon.
WS11	Eck ſchloh dui chlück met den Kookeleppel üm̄e dä Au'rn, diu Aape.
WS12	Wo cheu'ſt diu hen, ſö wü'i met düi chohn
WS13	Et ſind ſchlechte Tü'in.
WS14	Müin leuiwe Kind, bluiv hüa unna ſtohn, dä beuiſen Cheuſe büit {ab hier zwischen Satz 14 und 13 geschrieben} düi daut.
WS15	Diu häſt van Da am meiſten lehrt un biſt oach weeſen, diu draffſt ä[er] {unleserlich geschrieben. Vielleicht auch: äuer. Bogen für ein u fehlt allerdings.} na Hius chon, oſä da annern.
WS16	Diu biſt nau nich chraut cheneoch üm̄e euine Flaske Wüin iut teo drinken, diu moſt euiaſt naun Enne waſſen un chrotter we[e]an {Das ist Wort ist unleserlich an den Rand geschrieben und als wee-an getrennt.}.
WS17	Choank <(engl wa̱ther)> ſui ſeo cheot, un ſäig düiner Süſter, ſä ſoll dä Kleia fö'a jibbe Mamm'm fäarg naijjen un met da Böſten {ab hier zwischen die Zeilen geschrieben} reuijjen maken.
WS18	Heeaſt diu änne ken̄t, denn wöat annſter kommen, un ät deue bätter üm̄e änne ſtohn.
WS19	Wer hätt mui muinen Koaw mit Fleueske ſtohlen?
WS20	Heui deue ſeo, os hedden ſe änne teon Desken beſtellt, ſeui hätt't öiber ſüm̄s dohn.
WS21	Wenne hätt hä dä nüijjen Geſchichte verthellt?
WS22	Eune mot wiſſe ſchrüijjen, ſüß verſteuit hä euine nich.
WS23	Wüi ſind moi und hät Doſt.
WS24	"Oas <(engl. wa̱ther)> wüi chiſtern Obend trüijje keuimen, doa leuijjen dä annern oll up'n Bedde un wörn faſt a[m] {Könnte auch ""ann"" sein}. Das Papier ist hier etwas beschädigt} {ab hier zwischen die Zeilen geschrieben} Sloope[n] {Papier beschädigt, nur ein Bigen des ""n"" zu erkenne.}"
WS25	"Dä Schneui eß vergang'n Nacht büi uß lüijjen blieben, äbba van Moan eße ſchmo[l]ten. {eng an den Rand geschrieben. ""l"" nicht ganz lesbar}"
WS26	Achter iuſen Hiuſe ſtoht dreui ſchöne Appelbäume mit rauen Appeln.
WS27	Könn jui nich naun lütken Aujenblick up uß toiwen, dann choh wui mit juk.
WS28	Jui drüwet nich ſöcke Kinnerrüijen drüiben.
WS29	"Juſe berge ſind nich ganz hauch, jibbe ſind vel hö̱̱ichta <(franz. sappear)> {gemeint ist wohl ""sappeur""}"
WS30	Wo vel Pund Woſt un wo vel Braut wij je häbben?
WS31	Eck verſto jück nich, jü müt'n un bedden wiſſer küa'n.
WS32	Hä jüi nich'en Stück witte Saipen füia müi up mü'nn Diske fu'nn?
WS33	Süin Breoa will ſik tweu nühhe ſchöne Huiſer in jibben Choan bibben.
WS34	Dat Woat kam̄ ünne van Herten.
WS35	Dat waß recht van önne.
WS36	Wat ſitt't doa foia Vüjelkens boben up den Muiaken?
WS37	"Dä Biuan hadden fuif Oſſend {""und"" fehlt} nijen Koijje, twöialf <(frz. sappeur)> Schöpkens föia dat Doiarp broacht <(engl. wather)>, dä woll'n ſä verkaup'n."
WS38	Dä Lui ſind van Da alle up'm Feile un maijjet.
WS39	Choank <(engl. wather)> man, dä briune Rüe doit dui nicks.
WS40	Eck ſinn mit den Luin doa achta oiaba <(frz. vapuer)> dä Wieſe int Kauan foijat.
