---
Bogennummer: '25645'
Ort: Barntrup
Gid: 104135
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Erstelldatum: 2022-06-05 12:59:59.785346
Änderungsdatum: 2022-06-29 07:48:20.191531
...
WS1	Jn’n Winter fleuget d’ dreugen Ble’r dür d’ Luft herümer.
WS2	Et heu’rt glu͡ik up tä-͡u ſchniggen, denn werd dat Wädder wedder <weder> {erstes d durchgestrichen? Satz 10: wedder} bätter.
WS3	Dä͡-u Köhle in’n Oben, dat deu Melke baule an tä-͡u koken fenkt.
WS4	Deu gä͡-ue aule Mann is mi’n <mit’n> {<t> durchgestrichen} Peere dür’t Uis broken un in’t kaule Water fallen.
WS5	Heu es för veu’r oder ſeß Wecken ſtorben.
WS6	"Dat F͡uir <Fü’r> {durchgestrichen; Fu͡ir darübergeschrieben} was tä͡-u heut, deu Kä͡-uken ſind ja unner ganz ſch[v]art {Möglicherweise zuerst ""ſwart"", dann ""h"" eingefügt, wobei der erste Bogen des ""w"" zum ""c"" umfunktioniert wurde, sodass nur ""v"" übrigbleibt} brennt."
WS7	Heu at deu Egger jümmer ohne Solt un Pöpper.
WS8	Deu Feute dä͡-ut mui düget weuh, ek läube, ek häbbe ſe dürlaupen.
WS9	Ek ſin bu͡i der Fruggen weſen un häbbet ühr ſäggt, un ſeu ſe’e, ſeu wollt auk [ü]hr’ {ä, ü ö?} Dochter ſeggen.
WS10	Ek will’t auk nich mei’r wedder dä͡-un.
WS11	Ek ſlo’e dui glu͡ik mi’n <mit’n> {t durchgestrichen} Kokelöppel ümme deu Auren, di͡u Ape!
WS12	Wo geuſ’t di͡u hen, ſöllt wui mi du͡i gohn?
WS13	Et ſind ſlechte Tu͡’in.
WS14	Mu͡in leubet Kind, bluif huier <hier> {u über hier geschrieben mit Ding zum einfügen zw. h und i> unner ſtohn, deu beuſen Gäuſe bu’it dui daud.
WS15	Diu häſt huite am beſten lehrt un biſt o’rig weſen, diu drafſt freu’er nau Hiuſe gohn. oſe d’ Annern.
WS16	Di͡u biſt nau nich graut genä͡-ug, ümme eune Flaske Wu͡in iuttä͡-udrinken, diu moßt eurst nau’n Enne waſſen un grötter we’rn.
WS17	Go, ſui ſä͡-u gä͡-ut un ſegge duiner Sweſter, ſeu ſolle deu Klei’r för ühre Modder fer’ig näggen un met’r Böſten reggen maken.
WS18	Heddest’n kannt! Denn wö’rt anners kumen un et deue better üm enne ſtohn.
WS19	Wer hät mui meuinen Korf met Fleusk ſtohlen.
WS20	Heu däu ſä͡-u, oſe heren se enne tä͡-un Desken beſtellt; ſeu häd et öbber ſülmſt dohn.
WS21	Wenne häd heu d’ nigge Geschichte vertellt?
WS22	Man mot hadde ſchriggen, ſüß verſteut heu us nich.
WS23	Wui ſind meuhe un häd Doſt.
WS24	Oſe wui giſtern Obend t’rügge käumen, do leugen <laggen> { a durchgestrichen, eu darübergeschrieben} d'Annern oll in’n Bedder un wör’n wiſſe <fast> { fast durchgestrichen, wiſſe darüber geschrieben} am Slopen.
WS25	Deu Sneu is düſſe Nacht bui us liggen blieben, öbber huite Morg'n is’e ſmolten.
WS26	"Hinner i͡uſen Hiuſe ſtoht dreu Appelbäumkens mi rauen Äppelken {""schöne"" fehlt}."
WS27	Könn’ je nich nau’n bett’n up us täuben, denn ſä͡-u goh wui mi juch. {ſä͡-u eingefügt}
WS28	Jui drüwet nich ſöcke Kinnerigge druiben.
WS29	J-͡uſe <J͡'uſe> <Juſe> {mehrfach korrigiert. Zuerst J'͡uſe durchgestrichen. Darüber Juſe geschrieben, auch durchgestrichen. Neben Juſe steht nicht durchgestrichen J͡-uſe, d.h. wohl die endgültige Form} Berge ſind nich beſonners hauch, jugge ſind vell höchter.
WS30	Wovel <Woviel> {i durchgestrichen} Pund Woſt un wovell Braud will jui hebben?
WS31	Ek verſtohe juch nich, jui möt’t’n betten hadder spreken <(küṟen)>.
WS32	Hä’jui keun Stücksken witte Seipen för mui up muinen <muinem> {letzter Bogen Bogen durchgestrichem, m zu n> Diske funnen?
WS33	Suin Brä-͡ur will ſick tweu ſcheune nigge Huiſer in juggen Goren buggen.
WS34	Dat Wä-͡urt kamm enne van Herten.
WS35	Dat was recht van ühr.
WS36	Wat sit’t do för Vügelkens boben up der Mu͡iren?
WS37	Deu Bi͡urn hadden fuif Oſſen un niegen Kögge un twölf Schöpken vör dat Dörp brocht, deu wolln ſeu verkaupen.
WS38	D’ Lüe ſind huite <(van Dage)> olle bi͡uten up’n Felle un mägget.
WS39	Goh man, deu bri͡une Hund däut dui nicks.
WS40	Ek ſin mi den Lui’en do hinner öbber d’ Wieſe in’t Baurn fäu’ert.
