---
Bogennummer: 25979
Ort: Leubsdorf
Sprache: Deutsch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Philipp Spang
Anmerkungen: ''
...
WS01	Em Wenter flege die dreu Blädder dorch d'Lof eröm.
WS02	't hürd gleich opp z'schnie'e, dann wid datt Wedder widder besser.
WS03	Doh Kolle enn d'Owe, datt die Melch bal an z'koche fängt.
WS04	Dä jode ale Mann eß medd dem Päd durchett Eis jebroche unn [ens] dat kale Wasser jefalle.
WS05	Hä eß für veer udder sechs Woche jestorwe.
WS06	Datt Feuer wor z'heiß, d'Koche senn jo janz schwatz jebrannt.
WS07	Hä eß d'Eier emmer ohne Salz onn Päfer.
WS08	D'Föß don m'r arg wih, ech gläuf ech hann se durchgelofe.
WS09	Ech sein bei dar Frau gewäst onn hanneret gesot on sei sod, se woll'et och ihre Dogter son.
WS10	Esch well'et och nett mer widder don.
WS11	Ech schlon dech jleich met dem Kochlöffel öm d'Ure, dau Aff.
WS12	Bo jeiste hen, solle m'r mett d'r jon?
WS13	Ett sein schlägde Zeide.
WS14	Mei lew Kend, bleiw ho onne stohn, de büse Jänse beiße dech dud.
WS15	Dau häß hück am meiste jeliert on beß adig jewähst.
WS16	Dau beß noch nedd jruß genog, öm'en Flasch Weng z'drenke, dau mooß irsch noch e End' waaße onn jrüßer wäre.
WS17	Jank, sei'eso jod, onn soh deiner Schwester, se soll die Kleider für euer Moder färdig nähe onn mett Bürsch rein maache.
WS18	Hättsten jekannt dann wäred annersch gekomme onn et dät besser ommn'n stohn.
WS19	Wä hattmer menge Korf medd Feisch jestolle?
WS20	Hä dat esu, aß hätten s'en zom dresche bestalld; s'hannes awer selwer gedohn.
WS21	Bem hätt er die neue Geschicht verzelt?
WS22	Mi mos hadd schreie, suß vesteit hä us nedd.
WS23	Mi sein möd onnn hann Duhrsch.
WS24	Bit m'r jester Owend z'röck keme, du logen dih Andern schun z Bett onn wore fast am schlofe.
WS25	D'Schnie eß duß Nagt bie uß leie bliwe; awer hück morje eß e jeschmolze
WS26	Henneg usem Haus stohn drei schune Appelböumsche medd rude Äppelche.
WS27	Konnd'r nedd noch ä Augebleckche off uß wohde', dann john' m'r medd üch.
WS28	Ihr dörft nett su'n Kenderei dreiwe.
WS29	Us Berg sen nedd arg huh; die eure senn vill hühder
WS30	Bivill Pond Wursch on bivill Brud wellt'r hann?
WS31	Ech verstohn üch nedd, ihr moßd' beßche' harder spräche.
WS32	Hett'r kei Stöckche weiße Seif för mech off meinem Desch gefonne?
WS33	Sei Broder well sech zwei schüne neue Häuser enn ürem Jade baue.
WS34	Datt Woot kom'm vom Häzze.
WS35	Datt wohr räg von üch.
WS36	Batt setze do für Vügelche owe off dem Mäuerche?
WS37	Di Baure hatte fönf Ochse onn nöng Köh onn zwölef Schöfche für datt Dorf gebragt, die wollten se verkaufe.
WS38	Di Löck senn hück all druß off dem Feld onn mäe.
WS39	Jank nur'sch, da brunge Hond deit'er nöx.
WS40	Ech sein mett d'Lock do henne üwwer d'Wise ennet Kon jefahre.
