---
Bogennummer: 26480
Ort: Dillenburg
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Victoria Schaub
Anmerkungen: ''
...
WS01	Em Wender fleije de trockene Blährer durch de Luft rim.
WS02	Es herrt gleich off ze schneie, dahn werds Werrer werre besser.
WS03	Dou Kohle en Ohwe, doß de Milch bahl ohn ze koche fängt.
WS04	Der goure ahle Mann iß merrem Gaul durchs Ais gebroche onn enns kalde Wasser gefalle.
WS05	E iß vier veir owwer sechs Woche gestorwe.
WS06	Es Feuer woar ze hahß, de Kuche sain jo onne ganz schworz gebrennt.
WS07	E ißt de Ahjer immer ohne Salz onn Peffer.
WS08	De Foiß doun mer suh wieh, aich glaawe, aich hohn se durchgelaufe.
WS09	Aich sain bei der Fraa gewest onn hohns er gesaht, onn se saht, se wollts aach ihrer Dochder sahn.
WS10	Aich wills aach net mieh werre doun.
WS11	Aich schlohn dich glaich merrem Kochleffel henner de Uhrn, dau Aff!
WS12	Wuh gißde hihn, selle mer medder giehn?
WS13	Es sain schlegte Zeire!
WS14	Mein leiwes Kend, bleib hei onne stiehn, de bieße Gens beiße dich duhd.
WS15	De hoßt heud om meiste gelernd onn seist ohrdig gewest, de derfst freuer hahm gien, weih de Annern.
WS16	De seist noch net gruhs genunk, imm e Flasch Wein auszudrenke, du mußd erschd noh e End wohse onn grießer werrn.
WS17	Gieh, sei suh goud, onn sah deiner Schwesder, se selld de Klahrer fehr euer Modder ferdig näh’n, onn med der Berschd rahn mahe.
WS18	Hedds dau em gekennt! Dahn wärsch annerschd komme, onns dehd besser immen stiehn.
WS19	Wär hodd mer mein Korb met Flaasch gestohle?
WS20	E doaht suh, als härresenn zom Dresche beschdelld; se hohns owwer selbsd gedoahn.
WS21	Wem horre de neue Geschichd verzählt?
WS22	Mer muß laud kreische, sonsd verschdirre uhns ned.
WS23	Mer sain moid onn hohn Durschd.
WS24	Wie mer gest Owend zerick kohme, doh loge de Annern schon zu Bedd onn wohrn fest ohm Schloofe.
WS25	Der Schnie is die Nochd bei uhns leihe gebliwwe, owwer heut Morje erre geschmolze.
WS26	Henner uhnsem Haus schdiehn drei schiene Ebbelbähmcher med ruhre Ebbelcher.
WS27	Kennd er net nohe Aacheblickche off uhns worde, dahn giehn mer med euch.
WS28	Er derffd ned suh Kennereie dreiwe.
WS29	Uhns Berje sain ned sehr huck, de euern sain vill hicker.
WS30	Weivill Pond Wurschd onn weivill Bruhd wollder hohn.
WS31	Aich verstieh euch ned, er mißd e wink laurer spreche.
WS32	Hott er kahn Stickelche weiße Saaf fehr maich off meine Disch gefonne?
WS33	Sein Brourer will sich zwa schiene neue Heußer en euerm Goarte baue.
WS34	Dos Word kohmem vohn Herze.
WS35	Dos woahr rechd vonen.
WS36	Woß sitze doh viehr Viehelcher ohewe off dem Mäuerche.
WS37	De Bauern harre finf Ochse onn neun Koih onn zwölf Schäfcher versch Dorf bebrochd, die wollde se verkaafe.
WS38	De Leu sein heud all draus offem Feld onn mehe.
WS39	Gieh nur, der braune Hond douhd der naut.
WS40	Aich sein medde Leu doh henne iwwer de Wies enns Korn gefohrn.
