---
Bogennummer: 26676
Ort: Offdilln
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Wender flieh de treue Blarer in der Luft rim.
WS02	Et hiert gleich off ze schneie, da wird det Werer wirrer besser.
WS03	Deuk Kohl'n i de Owe, dat de Melch bal u ze koche finget.
WS04	Der gowre ale Mann aßbet dem Paard durch det Eis gebroche on i det kahle Wasser gefalle.
WS05	Er eß ver vejer ower seß Woche gestorwe.
WS06	Det Fauer wor ze has, de Kuche sei onne ganz schworz gebrannt.
WS07	Er eßt dej Ejer immer ohne Salz on Päffer.
WS08	De Feuße dow mir immer wih, äch glawe, äch ho mer se durch gelafe.
WS09	Ech sei bei der Fra gewest on ho et er gesat, on sie sa, se wel et ach er'm Madche sa.
WS10	Ech will et ach net wirrer dow!
WS11	Ech schlo dech gleich bet dem Kochlöffel an de Ohr'n, dau Affe!
WS12	Wu gihst dau hi, sou mir bet dir gih?
WS13	Et sei schlechte Zeire.
WS14	Mei lejb Kend, bleb hej unne sti, de bäse Gänse beiße dech dut.
WS15	Dau hoßt hau am merscht gelort, un best ordlich gewest, dau derfest freujer hamgih wej de Annere.
WS16	Dau best nach net gruß genunk, um en Flosche Wei aus ze trenke, dau mißt irscht noche Ende wose un grißer wer'n.
WS17	Gih, seck su gowt un sak deier Schwäster, sei sel dej Klarer auer Mamme fertig näh on bet der Berschte rah mache.
WS18	Hättest dau ih' gekannt! da wär et annersch komme, on et hätte besser um ihn gestanne.
WS19	Wer hot mir mein Korb bet Flasch gestohle?
WS20	Er däh su, als hätten se ih' zum drosche bestahlt; se hon et ower selber gedo.
WS21	Wem hot er dej naue Geschichte verzahlt?
WS22	Mer miß hart blarre, soßt verstitt er enjs net.
WS23	Mir sei meuj on ho Durscht.
WS24	Wej mir gestern Owend zerücke kome, dow loge dej annere schu im Bette un ware fest om schlofe.
WS25	Der Schnej eß bei uns de Nagt leie bläwe, ower de Morje erre geschmolze.
WS26	hinner eum Haus sti drei Äbelbamercher bet ruhre Äbelcher.
WS27	Konnt er nit noch en  Agebleck off uns warte, da gih mir bet och.
WS28	Ihr derft net su Kennereie treiwe.
WS29	Oj Berj sei net su hujk, au sei viel hijer.
WS30	Wej vil Pound Wurscht und wej vil Brud woll ihr hoh?
WS31	Ech verstih och nit, ihr mißte bische härter schwätze.
WS32	Hor ihr ka Stecke weiße Safe fer mich off mein Dusch fonne?
WS33	Sei Brower will sech zwa schiene naue Häuser i au'n Garte baue.
WS34	Dat Wort kom em vom Herze.
WS35	Dat wor recht vo och!
WS36	Wat setze do fer Vigelcher owe off dem Mäuerche?
WS37	Dej Bauern hoh fef Ochse on neu Keuh on zwelf Schofe ver det Dorf bracht, dej woln dej verkafe.
WS38	De Leu sei hau all dause off em Feld on mäh.
WS39	Gih nur, der braune Hund dowt der naut.
WS40	Ech sei bet dej Leu do henne üwer die Wies it Korn gefohrn.
