---
Bogennummer: 27273
Ort: Dietesheim
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Em Wender flaije die trockene Blerre dorch die Loft erim.
WS02	S hiat gleich uff se schneie, dann wädds Werre wirre besser.
WS03	Doh Kuhle en deOwe, daß die Melch bahl ahfängt se koche.
WS04	Die goure ahle Mann öß mett dem Gaul dorch de Eis gebroche , un ens kahle Wasser gefalle.
WS05	Er öß vor väer oare sechs Wuche gestorwe.
WS06	S Feuer war su haas, die Kaache sann jo unne ganz schwarz gebrannt.
WS07	Er eßt die Aijer immer ohne Salz un Peffer.
WS08	Die Fuiß doh mer su wih, ich glaab, ich hun se dorchgelaafe.
WS09	Ich sann ba derre Frah gewest un hunser gesaht, und säi hot gesaht, se wolls aach ihrer Dochter sah.
WS10	Ich wolls āch nett wirre doh.
WS11	Ich haage der gleich mett dem Kochlöffel im di Uhre, du Aff!
WS12	Wu gihste hin solle merr mett der gih?
WS13	Es sann schlehchte Zeire.
WS14	Ma läib Kind, blei häi unne stih, da biase Gans beiße dich duht.
WS15	Dou host heut ommehrschte gelernt un best oadlich gewehst, de derfst freuer haam als di Annen.
WS16	Dou best noch nett gruß genuak, um e Flasch Wein aussetrinke, dou mußt ehrscht noch wachse un grisser wehrn.
WS17	Gih , sa su gout un saa danner Schwester, se soll die Klare forr euer Motter fertig nähe un mett de Berschte sauber mache.
WS18	Häst dou en gekennt, dann wehrsch anerscht kumma, un es thät besser immen stih.
WS19	Wer hott merr en Korb mett Flāsch gestohle.
WS20	Es thot su, als harre sen zom dresche bestellt; se huns ower selbst gedoh.
WS21	Wem horre die neu Geschichte verzehlt.
WS22	Me muß laut greische, sunst verstiere uns nett.
WS23	Me sann meud un hun dorscht.
WS24	Wemer gestrowend sereck san kumme, do hune di Annere schun em Bett geleje un worn fest engeschlofe.
WS25	De Schnih eß dä Nohcht bei uns leihe gebleiwe, owwer heid Morge esser geschmolze.
WS26	Henner ensem Haus stihn drei Schiene Äbbelbehmecher mett ruhre Äbbelcher.
WS27	Kinnter nett noch en Agebleck uff uns woothe, dann gih mer mett euch.
WS28	Ihr derft su kaa Kinnereie treiwe.
WS29	Unser Berg san nett su huhch, euer sann viel hiecher.
WS30	Wä viel Pund Worscht un wä viel Brud wollter hu?
WS31	Ich vestihn euch nett, ihrmüßt a bissi lauter schwätze.
WS32	Hetter ka Steckelche weiß Saafe forr mich uff mam Tösch gefunne?
WS33	Sa Broure woll sich zwaa schiene neue Häuser en euen Garthe baue.
WS34	Das Wort kam ihm vum Herze.
WS35	Des wor rehcht vun euch!
WS36	Wos setze do forr Vichel owe uff dem Mäuerche?
WS37	Di Bauere harre fünf Ochse un neun Keu un zwölf Hemmelcher vorr des Dorf gebrohcht, se wollte se verkaafe.
WS38	Di Leut sann heut all drauß uffem Feld un mäje.
WS39	Gih norr, dä brau Hund dohd der nicks.
WS40	Ich sann mett dene Leut do henne üwer die Wisse ens Korn gefohrn.
