---
Bogennummer: 27275
Ort: Kesselstadt
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Katrin Kuhmichel
Anmerkungen: ''
...
WS01	Im Winter fläie diäi därre </trocknen> Bletter in d’r Luft e’rim
WS02	’S härt gleich uff ze schneie, hernochend werd’s Wetter widder schän
WS03	Schägg Kuhle inde Ofe, daß die Milich bal onfengt z’ koche
WS04	D’r goaut al Mann is mit saim Gaul uff’m Ais aingebroche un in des kal Wasser e’ nei gefalle
WS05	Vor väir odder sechs Woche is’r gestorwe
WS06	D’s Feuer woar z’häß, däi Koauche sain d’r joa unne ganz schwoarz v’rbrennt
WS07	Er eßt däi Aier immer uhne Salz un Peffer
WS08	Die Feuß duh m’r sehr wieh, ich glub, ich hoabse doarchgelafe
WS09	Ich sai bei d’r Frau g’wese, un hoab’s’r g’soagt, un säi hot gesoagt, sie wollts ach ihrer Docht’r soage
WS10	Ich wills ach nett mehr widdr duhe
WS11	Ich hag d’r gleich mit d’m Kochläffel uff die Ohrn, doau Aff
WS12	Wu giehst d’r dann hin, solle m’r mit d’r giehe?
WS13	’S sain schlechte Zaite
WS14	Main läib Kind, blaib häi unne stieh’n, sunst beiße dich däi bise Gäns dudt
WS15	Doau host heut dain Sach’ oam beste g’kennt, woarst g’schickt g’wese, deßhalb därfste ach freuher ham giehe als die Annern
WS16	Doau best noch nett gruß g’nunk, daß de an Butell Wain an lan trinke kannst, doau mußt erst noch e wing woachse un grüßer wern
WS17	Gieh’n, sein so goaut un soag dainer Schwester, säi sellt däi Klader fir euer Mutter fertig nehe un mit d’r Berst sauwer mache
WS18	Wann de g’kannt häst, wärsch ganz annerscht kumme un’s deht besser um’n stieh’n
WS19	Wer hot m’r nur main Korb mit d’m Fläsch gestohle?
WS20	Er doauht su, als hättes’n zum Dresche bestellt; säi hoawes oawer selber g’dohn
WS21	Wem hot’r dann däi neu G’schicht erzehlt?
WS22	M’r muß ganz laut kraische, sunst v’rstieht’r am nett
WS23	M’r sain meud un hoawe Dorscht
WS24	Wäi m’r d’r gestern Owend z’rick g’komme sain, do hoawwe däi Annern schon im Bett g’lege un hoawwe fest g’schlofe
WS25	D’r Schnie is heint Noacht bai uns laie g’bliwwe, heut Morgend is’r oawwer widder g’schmolze
WS26	Hinner uns’rm Haus stiehn drei schine Äggelbämchen mit ruthe Äggelcher
WS27	Wann’r noch’n Ageblick uff uns woarte wollt, s’e giehn m’r ach mit euch
WS28	Ihr därft su kann Kinnerai treiwe
WS29	Uns’r Berg sain goar nett huch, eu’r sain viel hecher
WS30	Wäiv’l Pund Woarscht und wäiv’l (Pund) Brud wollt’r hoawwe
WS31	Ich v’rstieh’n euch nett, ihr mißt’e bische lauter babbele
WS32	Hoabt’r kan Stickhe weiß Saf (fir mich) uff maim Disch gefunne?
WS33	Sain Broauder will sich zwa schine neue Häuser in euerm Goarde baue
WS34	Des Woart is’m aus’m Herze kumme
WS35	Des woar recht vun ihne
WS36	Woas sitze dann do owe fir Viggelche uff dem Mäuerche?
WS37	Däi Bauern hatte finef Ochse un noin Keuh un zwelef Schof vor’s Doarf gebracht un hatte se v’rkafe wolle
WS38	Däi Leut sain heut all draus uff d’r Wisse un mähe
WS39	Gieh’n nur (foart), der braun Hund doauht d’r nix
WS40	Ich sain mit de Leut do hinne über die Wiss ins Koarn gefoahre
