---
Bogennummer: 27313
Ort: Lohrhaupten
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Winter fliehe die trockene Bleder durch die Luft rüm.
WS02	Es hört gleich uf z' schneie, dann wird des Wetter wieder besser.
WS03	Do Koll in d' Ofe, daß die Melich bal o z' koche fängt.
WS04	Der gute ale Mann es mit d'm Pferd durch's Eis gebroche ann i'ns kal Wasser gefalle.
WS05	Er es vür vier ewer sechs Woche gestorbe.
WS06	Das Feuher wor z' has, die Kuche sei jo unne ganz schworz gebrannt.
WS07	Er ißt die Ajer ümmer ohne Sahlz ann Peffer.
WS08	Die Füß' do mir sehr weh, 'aich glaub, 'aich ho se durchgelafe.
WS09	Aich be ba dr Frah gewese ann hos er ges#t, ann sie sogte, sie wollte es ach ihre Dochter soge.
WS10	Aich will's ach nett meh wieder do!
WS11	Aich schloh Dich gleich met d'm Kochleffel üm die Ohre, Du Aff!
WS12	Wo gehst du hi, solle mer met der geh'?
WS13	Es sei schlechte Zeite!
WS14	Ma liewes Kind, blei hier unne steh', die böse Gäns beiße daich todt.
WS15	Du host heute am maste gelernt ann best artig gewese, Du derfst früher nach Haus geh' als die Annern.
WS16	Du best noch nett groß genunk, üm a Flasche' Wei auszetrinke, Du mußt erscht noch a En wosse ann grösser wern.
WS17	Geh, sa' sogut ann sog Deire Schwester, sie soll die Klader für euer Motter fertig nähe ann mit d' Bürschte ra mache.
WS18	Häste ihn gekannt! Dann wersch anneschter gekumme, ann es dät besser üm n steh'.
WS19	Wer hot mir man Koarb mit Flasch gestohle?
WS20	Er düt so, als hätte sen zum dresche bestellt; sie hons ewer selber getho.
WS21	Wem hot er die neu Geschichte' erzählt?
WS22	Mer muß laut schreie, sünst versteht er uns nett.
WS23	Mir sei müd ann hon Durscht.
WS24	Als mer gester Owet zuräk kome, do loge die Annern scho z' Bett ann woar'n fest om schloffe.
WS25	D'r Schnee es die Nocht ba uns laige gebliebe, ewer heut Morge es r geschmolze.
WS26	Hinner unsem Haus stenn drei schöne Äpelbämmchen met rothe Äpelchen.
WS27	Kunnt r nett noch a Ageblickche of uns worte, dann geh mer met euch.
WS28	Ihr derft nett solche Kinnerei treiwe.
WS29	Ans Berg sei nett sehr hoch, die euern sei vill höcher.
WS30	Wie vill Pund Wurscht ann wie vill Brod wollt r ho?
WS31	Aich versteh euch nett, ihr mußt a bische lauter spreche.
WS32	Hot ihr ka Stückche weiß' Saffe für mich uf meiem Diesch g'funne?
WS33	Sa Bruder well sich zwa schöne Häuser in eurem Garte baue.
WS34	Des Wort kom ihm von Herze.
WS35	Des wor recht vo ihne!
WS36	Wos setze do für Vögelche owe uf d'm Mäuerche?
WS37	Die Bauer hatte fünef Osse ann neu Küh' ann zwelef Schöffche[?] vür's Dorf gebracht, die wollte se verkafe.
WS38	Die Leut sa heut all dauße uf m Feld ann mähe.
WS39	Geh nur, der braune Hund düt Dir niks.
WS40	Aich bin met de Leute do hinne über die Wiese in's Korn gefor'n.
