---
Bogennummer: '27387'
Ort: Seulberg
Gid: 96640
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Erstelldatum: 2023-12-20 17:02:32.572384
Änderungsdatum: 2023-12-21 08:51:40.564085
Satzversion: 1
...
WS1	Irm Wirnter fläihe die troackene Blerrer dorch die Loft errim.
WS2	's hirt gleich uff se schneie, dann wirds Wärrer wirrer besser {unleserliches Wort ausgestrichen}.
WS3	Dou Koahle irn de Owe, doaß {a nachträglich hinzugefügt} die Melch bahl ohn se koache fenkt.
WS4	Der g͡oure ahle Mannn irs mir⁀m Fährt dorch's Eis gebro͡ache unn e͡arns kahle Wasser gefalle.
WS5	He irs fir väier oawer sechs Woche gestoarwe.
WS6	Dirß Fauer woar zou haaß, däi Kouche sein joa onne ganz schworz gebrennt.
WS7	He eäßt die Aier immer ouhrne Saalz enn Perffer.
WS8	Die Feuß douhn mer siehr wieh, aich glaawe <glaabe> {b ausgestrichen und durch w ersetzt}, aich hunn se durchgelaafe.
WS9	Aich seihn bei der Frah gewerst, enn hunns ihr gesaht, enn säi saht, säi wollt's aach ihrer Doachter sahn.
WS10	Aich will's aach näit mieh wirrer daun.
WS11	Aich hage daich gleich mirt derm Koachläffel im die Ohrn, dau Aff'.
WS12	Wu gihste hihn, soalle mer mirter giehn?
WS13	's seihn schlähchte Zeire.
WS14	Meihn läib Kirnd, bleib häi onne stiehn, die bieße Gens beiß[e] {schwer lesbarer Buchstabe nachträglich eingefügt} deich soarnst [d]uht.
WS15	Dou host heut ohm miehste gelernt, enn birst oartig gewärst, de dirfst freuer hahm giehn wäi die annern.
WS16	Dou birst noach näit gruß genunk, im ahn Flasch Weihn aus-se-drinke, dou mußt irscht noach ahn Enn woachse enn grihßer wern.
WS17	Gieh, sei su gout enn sah iwwer deihn Schwerster, säi sollt die Klahrer dihr daihn Moatter firtig nehwe, enn mirt de Borscht sauwer mache.
WS18	Häst dou en gekennt, doh wirsch annerscht gekomme enn es deht besser immen stihn.
WS19	Wer hott mer meihn Korb mirt Flahsch gestouhrle?
WS20	He doaht su, als härre sen <best> {ausgestrichen} zaum Dräsche bestellt, säi hunns oawer serlbst gedohn.
WS21	Wirm hoatt <h??tt> {teilweise unleserliches Wort ausgestrichen} er die neu Geschicht vezehlt?
WS22	Man muß laut greische, sournst verstiht er uhns näit.
WS23	M'er seihn meud enn hunn Durscht.
WS24	Als mer gersten Owend sereck kohme , do lä̱ihe die Annern schunt em Bätt enn woahrn fest ohm Schlohfe.
WS25	De Schnie irs däih Noacht bei uhns läịhe <leie> {ausgestrichen} geblerwe, oawer heut Moarje irßer geschmolze.
WS26	Hinner uhm Haus stihn drei schiene Äbbelbemercher mirt ruhre Äbbelcher.
WS27	Koannt ihr näit noch ahn Agebleack uff uhns woarte, dann gihn mer mirt euch.
WS28	Ihr dirft näit solche Kinnereie dreiwe.
WS29	Uhnser Bärje seih'n mäit sihr huch, die eure seihn vill hicher.
WS30	Wäi vill Poand Wourscht enn wäi vill Bruhd wollt ihr hunn?
WS31	Aich verstih'n euch näit, ihr mißt e bissi laurer schwätze.
WS32	Hoatt ihr kahn Steckelche weiß Saafe fihr maich uff meim Desch gefoanne?
WS33	Seih'n Brôurer will sich zwa schihne Häuser irn euern Goarte baue.
WS34	Dirß Wort kohm'em vohn Herze.
WS35	Doas woar rähcht von euch!
WS36	Woas seatze doh fihr Viggelcher owe uff dirm Mäuerche?
WS37	Die Bauern harre finf Ochse enn neu'n Keuh, enn zwelf Schefercher fihr deß Dorf gebrohcht, däi wollde se verkaafe.
WS38	Die Leut sei'n heut all' draus uff'm Feärld enn mehwe.
WS39	Gih' nuhr, de'r brauhne Hoand dauht'r nix.
WS40	Aich seih'n mirt de Leut do he͡ärne iwer die Wisse ern's Koarn gefoahrn <gef??hrn> {Wort ausgestrichen}.
