---
Bogennummer: 27435
Ort: Altwiedermus
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Stephanie Leser
Anmerkungen: ''
...
WS01	Eam Weander fläjn däi troacken Blerrer ean d Loaft errim.
WS02	S' hirt gleich uff ze schneie, do werd des Werrer wirrer besser.
WS03	Doau Koahle ean de Ouwe, daß die Melch bahl o fängt se koache.
WS04	De goaure ahle Mann eas met d'm Gaul dourch's Eis gebroache earn eans Wasser gefalle.
WS05	He eas vir fäier ouwer sechs Wuche gestoarbe.
WS06	D's Fauer wuar zoau häs, die Koauche sei joa oanne ganz schwoarz gebrennt.
WS07	He eaßt die Aier immer ohne Saalz ean Peaffer.
WS08	Die Feuß do mir wie, aich glawe, aich huse durch gelafe.
WS09	Aich sei bei d'r Fraa geweart ean huser gesaht, ean säi hot gesaht, säi deht es aach ihrer Doachter soa wolle.
WS10	Aich will's aach näit mie do.
WS11	Aich schloaun d'r glaich met d'm Koachläffel hinner die Ohrn, dau Aff!
WS12	Wuh gist de dann hi, soalle mir met dir dih?
WS13	S sei schläschte Zaire!
WS14	Mai läib Kearnd, blaib häi ounne stih, die bise Ganz baise dich soanst duht.
WS15	Doau host ohm mieste gelernt ean bearst broav gewerst, doau dirfst fräuer ham gih als die annern.
WS16	Doau bearst noach näit gruß genunk, oa Flasche Wai auszetrinke, doau mußt irscht noach oa bissi woahse earn grisser wern.
WS17	Gih, sai so goaut earn sah dainer Schwearster, sai soll die Klahrer für auh Moutter firtig nehe earn met de Birschte sauwer mache.
WS18	Häst d'n gekannt! Do wearsch annerscht komme, earn es daht besser im'n stih.
WS19	Wer hot m'r main Koarb met Flahsch gestohle?
WS20	He doaht su, als härres'n zoaum dresche bestellt; so hunß oaber sealbst gedoh.
WS21	Wem horre die nau Geschichte vezehlt?
WS22	Mer muß laut kraische, sonst verstirrer us näit.
WS23	Mir sai mäud ean hu<(n)> Durscht.
WS24	Wäi m'r gersten Awend serreck kohme, do loage die annern schunt eam Bett ean woare fest ahm schlofe.
WS25	De Schnie eas heint Noacht bei us leie bleawe, oawer haut morje eas e geschmolze.
WS26	Hinner ußem Haus stih drei schine Äbbelbehmercher met ruhre Äbbelcher.
WS27	Konnt dr näit noach e Aagebleckche uf us woarte, dann gih mir meroach.
WS28	Ihr dirft so kah<(n)> Keannerain traiwe.
WS29	As Berje sai näit huch, au sai vill hihcher.
WS30	Wäi vill Poaind Wou<(r)>scht ean wäi vill Bruhd wollt d'r hu?
WS31	Aich vestih auch näit, ihr mußt e bissi laurer schwätze.
WS32	Hot dr kah Steckelche weiß Saafe fir maich uf main Tesch gefounne?
WS33	Dein Broaurer will zwa schine naue Häuser ean auem Goade baun.
WS34	D's Woat kohm'm voh herze.
WS35	Doas woar rescht von'm!
WS36	Woas setze do fir Vigelcher obe uf'm Mäuerche?
WS37	Die Bauern harre finf Ochse ean noi<(n)> Keuh ean zwelf Scheferger vir's Doaff gebroacht, däi wollte se vekaafe.
WS38	Die Leut sai haut all draus uff'm Feald ean meje.
WS39	Gih nur fort, de broaun honnd doaut'r nix.
WS40	Aich sei met de Leut do heanne üwer die Wisse eans Koarn gefoahn.
