---
Bogennummer: 27507
Ort: Kratzenbach
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Em Went’r fleia di drockena Blärra en d’r Loft ’rimm.
WS02	s härt gleich off sa schneia, da werd ’s Werra werra bess’r.
WS03	Dou Kohla en ’d Owa, daß die Melch bahl so kocha a’fängt.
WS04	D’r gout ahlt Mann eß met d’m Gaul ens Wass’r g’brocha un en ’s kahlt Wass’r g’falla.
WS05	r eß vor vier ower sechs Wocha g’storwa.
WS06	Des Foier wor sa haaß, die Koucha sein jo unna ganz schwoarz g’brennt.
WS07	r ißt die Eier immer ohne Saalz un Peff’r.
WS08	Die Foiß doun m’r goar wieh, ich glawa, ich hun sa dorch g’laafe.
WS09	Ich sein bei d’r Frah g’west en huns’r g’saht, en sa saht, sa wellt’s aach ihr’m Mad’ga saan.
WS10	Ich wills aach nit mi werra dou.
WS11	Ich schlaan dich gleich met d’m Kochleffel im die Urn, dou Aff.
WS12	Wu gihst’d hi, sunn m’r met d’r gih?
WS13	s sein schleechta Zeira.
WS14	Mei le-ib Kend, bleib hei unna stih, di biese Gääs beißa dich dut.
WS15	Dou host hoit om mista g’lernt un best ortig g’west, dou därfst ich’r (eher) ham gih aß di Annern
WS16	Dou best noch nit gruß g’nunk, im a Flasch Wei aus sa trinka. Dou mußt erscht noch a Bischa wochsa un greßer wer.
WS17	Gih, sei su gout un sa deiner Schwester, sa sellt di Klaare fer oier Mott’r fertig näha un met d’r Berscht sauw’r macha. 
WS18	Hest’n kennt! da wer’s annersch kumma un ’s det bess’r im ’n stih. 
WS19	Wer hot m’r mein Korb met Flaasch g’stohla?
WS20	r dot su, aß herre s’ ’n zum Drescha b’stellt; sa hunn’s ow’r selbst g’toh.
WS21	Wem hot ’r di noi G’schicht ’rzehlt?
WS22	M’r muß hoart kreischa, sost v’rstiht ’r us nitt.
WS23	M’r sein moid un hun Dorscht.
WS24	Wei m’r gest’n, sa=rick koma, do loaga di Annern scho em Bett un woarn fest ohm schlofa.
WS25	D’r Schni eß di Noocht bei uß leia g’bliwwa, aw’r hoit eß a g’schmolsa.
WS26	Henn’r uss’m Haus stihn drei schiena Äbbelbähm’rch’r met rura Äbbelch’r.
WS27	Kunnt ’r nit noch a Aagablickcha off uß woarta, dah gihn m’r merr och. 
WS28	Ihr darft nitt su Kinnereia treiwa.
WS29	Uß Berja sein nit su huch, d’oier sein vill hiher
WS30	Wei fill Pund Worscht en weifill Brud wollt ’r huh?
WS31	Ich v’rstihn oich nitt, ihr mißt a bischa härter schwetza.
WS32	Hott’r ka Stickcha weiß Saaf fer mich off mei’m Disch g’funna?
WS33	Sei Boura will sich zwa schiena noia Hois’r en oir’m Gorta baua.
WS34	Dos Woart kom ’m vo Herza.
WS35	Dos woar reegt von ’n.
WS36	Woas setza do fer Fichelch’r owa off dem Moïrcha?
WS37	Di Bauern harra fünf Oosa en noi Koih en zwelf Schef’rch’r fer d’s Dorf g’brogt, dei wollte sa v’rkaafa.
WS38	Di Loit sein hoit all drauß off’m Feld en mäja.
WS39	Gih noar, d’r brau Hund dout d’r niks.
WS40	Jch sein met’d’Loit do henna iwwer d’Wissa ens Korn g’fohrn.
