---
Bogennummer: 27547
Ort: Ober-Florstadt
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Eam Weanter fläije die troackene Blearrer ean de Lofft erimm.
WS02	's hihrt gleich uff se schneie, dann weard d's Wearrer wirrer bässer.
WS03	Dhou Kohn ean de Ohwe, daß die Melch bahl oh<(n)> se koache fängt.
WS04	D'r goure ahle Mann eas met d'm Pferd durch's Eis g'broache ean ean d's kahle Wasser gefann
WS05	'r eas für vaier oawwer sechs Woche gestorwe.
WS06	D's Fauer woar se haas, die Kuche sei<(n)> joa onne ganz schwoarz gebrennt.
WS07	Er eaßt die Ahier emmer uhne Sahlz ean Peaffer.
WS08	Die Feuiß thou<(n)> m'r sihr wih, aich glaawe, aich hun se durchg'laafe.
WS09	Aich sei<(n)> bei d'r Fraa g'weast ean hun 's er gesaat, ean säi saat, säi wollt's aach ihrer Doachter saa<(n)>
WS10	Aich will 's aach näit mih'wirrer thou<(n)>.
WS11	Aich haache d'r gleich meat d'm Koachläffel im die Uhrn dou Aff'!
WS12	Wu gihste hi<(n)>, sonn m'r meat D'r gih<(n)>?
WS13	's sai<(n)> schläägte Zeire!
WS14	Mai<(n)> läib Keannd, bleib' häi oanne stih<(n)>, däi bihse Gai<(n)>s baiße Daich duht.
WS15	Dou host haut ohm me<(n)>ste g'lernt ean beast oartig g'weast, dou dürfst freuiher nooch Heus gih<(n)> als die Annern.
WS16	Dou beast noach näit gruß g'nunk, im ea<(n)> Flesche Wie<(n)> aussetrinke, dou mußt ihescht noach e' Enn woahse ean grüsser wearrn.
WS17	Gih sei so gout ean sa' dai<(n)>er Schweaster, se soll die Klaarer für au Motter firtig nehe ean meat d'r Bürschte rah<(n)> mache.
WS18	Häst Dou 'n gekennt! dann wärsch annerscht gekomme, ean 's deht bässer im 'n stih<(n)>.
WS19	Wer hott mir mein'n Koarb met Flaasch gestohn?
WS20	Er doaht so, als härre s<(e)>'n zoum Dräsche bestellt; säi hunn's oawwer sealbst gedoh<(n)>
WS21	Wem horr 'r die nau Geschichte erzehlt?
WS22	M'r muß laut schreie, sost verstihr 'r uh<(n)>s näit.
WS23	M'r sei<(n)> meud ean hunn Dorscht.
WS24	Als m'r geastern Owed sereck kohme, do lähje die Annern schunt eam Bett ean woarn fest ohm Schloffe.
WS25	D'r Schnih eas deasse Noahcht bei uh<(n)>s laije gebleawwe, oawwer haut Moarje eas 'r geschmolze.
WS26	Hinner uh<(n)>sem Haus stih<(n)> drei schihne Äbbelbehmercher meat ruhre Äbbelchen.
WS27	Konnt 'r näit noach 'n Aagebleackche uff uh<(n)>s woarte, dann gih<(n)> m'r meat auch.
WS28	Ihr dürft näit solche Keannereie treiwe.
WS29	Uh<(n)>s Berje sei<(n)> näit sihr huch, auer sei<(n)> väil hiecher.
WS30	Wäi väil Pond Wurscht ean wäi väil Brud wollt 'r hu<(n)>.
WS31	Aich verstih<(n)> auch näit, ihr mußt e' bessi laurer spreache.
WS32	Hott 'r kah<(n)> Steckelche weiß Saafe uff mei'm Desch gefonne.
WS33	Sei<(n)> Brourer will sich zwaa schihne naue Häuiser ean auem Goatte baue.
WS34	D's Woart kohm 'm voh<(n)> Herze!
WS35	D's woar räägt voh<(n)> ihm!
WS36	Woas seatze do für Vichelcher owe uff d'm Mäuerche?
WS37	Die Bauern haare fünef Ochse ean neu<(n)> Keuih ean zwölf Schefchen vür d's Doarf gebroacht, däi wollte se v'rkaafe.
WS38	Die Leuit sei<(n)> haut all drauß uff d'm Feald ean mehe.
WS39	Gih nur, d'r braune Hond douht d'r naut.
WS40	Aich sei<(n)> met d' Leuit do hirne üwwer die Wisse eans Koarn gefoahrn
