---
Bogennummer: 27576
Ort: Vonhausen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Eam Weand'r fläie die troaikene Blerrer durch die Lofft erimm.
WS02	's hiert gleich uff se schneire, dann wärrds Wärrer wirrer besser.
WS03	Dou Koahle eann de owe, daß die Melch bal se koache ongengt
WS04	D'r goure ahle Mann eas merr'm Gaul durchs Eis gebroache eann eans kahlt Wasser gefalle
WS05	E eas für väier oawwer sechs Woche g'stoarwe
WS06	D's Fauer woar zoa haaß, die Kouche sainj joa oanne ganz schwoatz gebrennt
WS07	E eßt die Ajer immer ohne Saalz eann Päeffr.
WS08	Die Fäuiß dou mrr goarsche wieh, aich glaawe, aich hunn se durchg'laafe.
WS09	Aich sainj bei dr Fraah g'w[ä]ast eann huhesr gesaat, eann se saat, se wöl[t]s ihrer Tochter sahn.
WS10	Aich will[t]s aach näit mihe wirrer doun
WS11	Aich schloan dr gleich mett'm Koachläffel imm die Ohn, dou Aff.
WS12	Wuh gihste hihn, sollmer mett dr gihn
WS13	's sainj schlägte Zaire
WS14	Maing laib Keand, bleib häi onne stihn, die biese Gens beiße dich duht
WS15	De hoast haut de mihest g'lernt, eann beast broav g'waäst, de dirfst freujer ham gihn wäi die annen
WS16	De beast noach näit grus g'nunk im e Botäll Wainj aus se trinke de mußt erscht noach e Enn woase eann grisser wärrn.
WS17	Gih sei su gout eann sah dainger Schwäaster se sellt die Klaarer für ihr Moattr firtig nehe eann meat d'r Birschte sauwer mache.
WS18	Hästen g'kennt se wirsch annerscht woann, eann 's deht bessr imm'n stihn.
WS19	Wer hoatt  mr mein Koarb mett Floasch g'stoahle
WS20	E däat als härrese zoum Dräsche bestellt, se hunns oawwr s[i?]elbst g'dohn.
WS21	Wem horre däi nau G'schichte verzahlt.
WS22	Mr muß laut kreische sonst verstirre amm näit
WS23	Mr sainj meuit eann huhn dorscht
WS24	Wäi mr gaäst deowet ham sainj komme do loage die annen schunnt eam Bett eann woann fest eann I'schloofe
WS25	De Schnieh eas Haint laije g'bliwwe oawwr de Moarge easse g'schmoalse
WS26	Hinnr uhns'm Haus stihn drei schiene Appelbemerchen meat ruhre Äppelchen
WS27	Kennt dr näit noach e bessi woatte nog gihn mr merroch
WS28	'r dirft suh kahn Keannrbosse mache
WS29	Uhns Beark sainj näit su hug wäi au
WS30	Wäivl Pond Worscht eann wäivl Brut wollt'r huhn.
WS31	Ich verstihn och näit ihr mußt wink läuirer schwätze.
WS32	Hoat'r näit e Steiklche weiß Soefe uff meim Desch g'fonne
WS33	Sainj Brour'r will sich zwoa schine naue Häuser eann auem Goate baue
WS34	's Woatt kohm'm vom Herze
WS35	Doas woar rägt vohnoch
WS36	Woas setze do fihr Vichlchen uffm Mäuerche.
WS37	Däi Bauern harre finef Ochse ean neuj Käuj eann zwölef Scheferchen firs Doarf g'broagt, däi wolltese vekaafe.
WS38	Die Leuit sainj haut all drauß uff'm Feald eann mehe
WS39	Gihn nur, dr braune Hond dout dr nix
WS40	Ich sainj mett d'Leut do heanne [ü]wwr die Wisse eanns Koann gefoan.
