---
Bogennummer: '27598'
Ort: Salmünster
Gid: 97154
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2026-03-12 15:48:16.821729
Änderungsdatum: 2026-03-12 15:53:48.438000
Satzversion: 1
...
WS1	Im Wenter fliege die trockene Bleter durch die Luft erem.
WS2	E's hert gläich uf ze schnie, do wierds Wäeder wieder annescht.
WS3	Do Koll in Ofe, daß die Mellich bahl ohfängt z' koche.
WS4	Der gut ahl Mann is mit'em Gaul ins Eis g'broche onn is ins kahl Wasser g'falle.
WS5	Hä is fier vier, äwder sechs Woche g'starwe.
WS6	's Faier war z häeß die Kuche seu jo onne ganz schwoaz g'brannt.
WS7	Hä eßt die Ajer immer ohne Saals onn Päffer.
WS8	Die Fiß do mir so weh ich gläeb ich ho mesche durchgalafe.
WS9	Ich seu bei d'r Fra g'waäst onn hos'r g'säeht, onn sie hott g'säeht sie wollt's aach ihrem Maedchen soah.
WS10	Ich well's ach net meh wieder do
