---
Bogennummer: 27605
Ort: Hohenzell
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: <[o mit Bogen oben] ist der Mittellaut zwischen a und o. - Das eingeklamerte
  r <(r)> wird nicht gesprochen, übt aber seine Wirkung auf den vorhergeh. Vok. aus.
  - [ä mit Bogen oben] ist das breite, unreine ä - <(n)> nicht gesprochen soll das Nasale
  bezeichnen, z. B. da<(n)> = dann, denn, ganz gesprochen wie das franz. dans. Einige
  Wendgun hier ungebräuchlich; z. B. groß genug, um, auch Worte wie „artig“. Hohenzell,
  am 27.12.79 J. Heilmann, Lehrer>
...
WS01	’m Winder fliege die dr[o mit Bogen oben]ikene Bleerer durch die/in der Luft erüm.
WS02	Es heiert gleich auf ze schneie, n[o mit Bogen oben]chdanned wü<(r)>d des Wäre wiere besser.
WS03	Dhu Koll in de Owe, däß <(gäß)> die Mellich ball o<(n)>fängt ze k[o mit Bogen oben]che.
WS04	Der gut ahl Mann iß mit dem Gaul <(Pärd)> durchs Eis gebr[o mit Bogen oben]he on iß ins kall Wasser gefalle.
WS05	He iß für vier äwer sechs Woche gesturwe.
WS06	Des Feuer w[o mit Bogen oben]r ze h[ä mit Bogen oben]ß, die Kuchche sein j[o mit Bogen oben] onne ganz schw[o mit Bogen oben]z gebront.
WS07	He eßt die Eier ömmer ohne Salz on ohne Peffer.
WS08	Die Füß dhum mer s[ä mit Bogen oben]r weh, ich gl[ä mit Bogen oben]b, ich hon se durch gelaffe.
WS09	Ich sein bei der Fraa gewäst on hon’s er ges[ä mit Bogen oben]t, on sie s[ä mit Bogen oben]t, sie wödds ihre Dochder s[ä mit Bogen oben].
WS10	Ich well’s aach nie<(r)>t meh wirre dhu!
WS11	Ich schl[ä mit Bogen oben]nn dich gleich mit dem K[o mit Bogen oben]chläffel öm die U<(r)>n, du Aff!
WS12	Bu gehst de da<(n)> hi<(n)>, solle mer midder geh?
WS13	Es sein schlechte Zeire!
WS14	Mei<(n)> lieb Kend, bleib honne stenn, die böße Gäns beiße dich dodt!
WS15	Du h[o mit Bogen oben]ß om Meenste gelernd on wißst br[o mit Bogen oben]v gewäst, du dü<(r)>fst eh<(n)> h[ä mit Bogen oben]m geh, äß die Annern.
WS16	Du wist noch ni<(r)>t groß genunk, öm e Flasche Wei<(n)> auszedrenke, du mußt e<(r)>scht noch e Enn woaß, on größer w[ä mit Bogen oben]r.
WS17	Geh, sei so gut un s[ä mit Bogen oben] deiner Schwester, sie södd die Kl[ä mit Bogen oben]rer für euer Modder fe<(r)>tig näh on mit de Bü<(r)>scht <(r[ä mit Bogen oben]in)> sauwer mach.
WS18	Häst de’n gekannt, d[o mit Bogen oben] w[ä mit Bogen oben]<(r)>sch anneschder komme on es <(hins)> stön besser öm en.
WS19	Bär hot mer mein Kurb mit Fl[ä mit Bogen oben]sch geschdohle?
WS20	He dh[o mit Bogen oben]d so, äß häre s’en zum dresche beschdallt; sie honns äwer selwer<(scht)> gedho<(n)>
WS21	em h[o mit Bogen oben]t er die neu Geschichte verzallt?
WS22	Mer muß laut kreisch <(schrei)>, sünst verschdeht er ons nie<(r)>t.
WS23	Mir sein müd on hon Du<(r)>scht.
WS24	Bie <(als)> mer nächts [O mit Bogen oben]wed zerück kome, do l[o mit Bogen oben]ge die Anne<(r)>n scho<(n)> im Bett on woarn fest om Schl[o mit Bogen oben]ffe.
WS25	Der Schnee ist die N[o mit Bogen oben]chr bei ons leige gebliewe, äwer heut Murje iß er geschmolze.
WS26	Henner onsem Haus schdenn drei schöne Äbbelbämerje mit rore Äbbelerrje.
WS27	Kannt ihr nie<(r)>t nochen Aagebliek gewoa<(r)>t, n[o mit Bogen oben]ch gemmer mit auch.
WS28	Ihr dü<(r)>ft nie<(r)>t so Kennerei dreib.
WS29	Ons B[ä mit Bogen oben]rg sein nie<(r)>t s[ä  mit Bogen oben]r hoch, euer sein vill höcher.
WS30	Biewel Pond Wue<(r)>scht on biewel Brod wodder h[o mit Bogen oben]?
WS31	Ich verschdehn euch nie<(r)>t, ihr mußt eh besje <(wenk)> lauder schwatz.
WS32	Hodder k[ä mit Bogen oben] Schdöckelje weiß S[ä mit Bogen oben]ffe für mich of meim Dösch gefonne?
WS33	Sein Brurer well sich zw[ä mit Bogen oben] schöne neue Häuser in euem Goa<(r)>te bau.
WS34	D[o mit Bogen oben]s Wu<(r)>t kom em vo<(n)> H[ä mit Bogen oben]<(r)>ze!
WS35	D[o mit Bogen oben]s w[o mit Bogen oben]r rächt von Ihne!
WS36	Bos setze do für Vögelerje owe of dem Mäuerje?
WS37	Die Bauer hon fönef U<(r)>sse on neu<(n)> Küh on zwelef Sch[ö mit Bogen oben]ffje für des Durf gebr[o mit Bogen oben]cht, die woddese verkaff.
WS38	Die Leut siee heut all dauß ofem Feld on mähe.
WS39	Geh nur hi<(n)>, der brau<(n)> Hond dhudd der nie<(r)>st.
WS40	Ich sein mit de Leut dohenne üwer die Wiese ins Ku<(r)>n gef[o mit Bogen oben]h<(r)>n.
