---
Bogennummer: 27703
Ort: Wisselsheim
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Eam Weander fläije di troackne Blerer dorch di Loft erim.
WS02	Eß hirt gleich uff s'e schneie, dann werd dess Werrer wirrer besser.
WS03	Douh Kouhle en de Owe, doas die Melch bahl o se koache fengt.
WS04	De goure ahle Mann eaß merem Gaul dourchs Eis geabrouche ean ens kahl Wasser gefann.
WS05	Eah eeß fie veijr ouwer sechs Woche gestourwe.
WS06	D's Fauer woar se hahß, di Kugge seih joa onne ganz schwoaz gbrennt.
WS07	Eah eßt di Aijer immer ohne Saalz ean Peaffer.
WS08	Di Feuß doauh mer sihr wih,  aich glawe, aich hun, se dorchgelaafe.
WS09	Aich seih bei  de Frah geweast ean hun her gesaat, ean ser hott gesaat, se wellds aach ihrer Doachter saah.
WS10	Aich wills aach nehid mih wirrer douh.
WS11	Aich schloahe daich gloich met dem Koachleffel im di Uarn, dou Aff!
WS12	Wu giste de hi, solle mer met dr gih?
WS13	S'ei schlägte Zeire!
WS14	Mei läib Keand, bleib hei onne stih, di biese Geins beiße daich dud.
WS15	Dou host haut ohm mohste g'lernt ean behst oartig g'ewäst, dou derfst froiher hahm gih als die Annern.
WS16	Dou beast noach neid gruß genunk, im e Flasch Weihn aus setrinke, dou mußt ihrst noach e Enn Woase ean grisser wern.
WS17	Gih, sei se  gout, ean sah deiner Schweaster, se sollt di Klarer fir auh Motter fehrtig newe ean met dr Boschte rah mache.
WS18	Häst dou en gekennt! dann wehrsch anescht gekomme, ean es deht besser im-men stih.
WS19	Wer hot mer mein Koarb met Flasch gestohn?
WS20	Eh deat sa, als härresen zaum dresche bestellt,se huns ower sealbst gedoh.
WS21	Wehm horre di nau Geschicht vrzehlt?
WS22	Mah muß laut kreische, sonst vrstiht r uhs neid.
WS23	Mir sei moid ean hun Doast.
WS24	Als mer geastern Owend serek kome, do läje di Annern schund se Bett ean woarn fest em schloafe.
WS25	Dr Schnie eß deß Noacht bei us laije geblewwe, oawer haut Moaje eß - r geschmolze.
WS26	Hinner usem Haus stih drei schiene Aebbelbemerchen met rure Aebbelchen.
WS27	Konnt ihr neid noach ean Aagebleackche uf uhs woarte, dann gih mer met auch.
WS28	Ihr deaft neid so<(lche)> Keannereie dreiwe.
WS29	Uhs Bearge seih neid sihr huch, auer seih vill hiher.
WS30	Weivill Ponth Woascht ean weivill Brud wollt ihr hu?
WS31	Aich vrstih auch neid, ihr mußt e beassi lauter schwätze.
WS32	Hott ihr kah Steckelche weiß Saafe für meich üff meim Desch gefonne?
WS33	Sein Brourer will sich zwa schiene naue Häuser ean auerm Goate baue.
WS34	Doas Woard kohm am vom Herze!
WS35	Doas woar rä͡gt voh ihm!
WS36	Woas setze do für Vigelchen owe uff d'n Mäuerche?
WS37	Di Bauern harre fünf Ochse ean neuh Keuh ean zwelf Scheferchen firs Doarf gebrogt, däi wollte se vrkaafe.
WS38	Di Leut seih haut all draus uff d'm Feald ean mewe.
WS39	Gih nur, dr brauhn hond doaut dr nicks.
WS40	Aich seih met de Leut do henne üwer di Wisse eans Koarn gefoarn.
