---
Bogennummer: 27704
Ort: Friedberg
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Miriam Schlicht
Anmerkungen: ''
...
WS01	Eam Weanter fläihe die trockene Blerrer dorch die Loft herim.
WS02	'S hirt gleich uf z' ſchneie, dann wird's Wearrer wirrer gout.
WS03	Douh Kuohle ean d'Owe, daaß di Melch bahl o ze koche fängt.
WS04	D' goaure ahle Mann eas mir'm Gaul eans Eis g'broache und eans kahle Waſſer g'falle.
WS05	'r eaß vor väier oreo ſechs Woche g'ſtoarbe.
WS06	D's Feuer woar zou haaß, däi Kouche ſei jo unne ganz ſchwoarz gebrennt.
WS07	Er eaßt däi Aier uhne Sahlz en Peffer.
WS08	Di Foiß doun m'r ſu wih, ich glabe ich hun ſe dorchgelaafe.
WS09	Aich ſeih bei d'Fraa g'weaſt ean hun ſer g'ſaht ean ſi ſäht, ſäi wills aach ihrer Tochter ſah.
WS10	Aich wills aach nix mi wirrer dou.
WS11	Aich haage d'r gleich mir'm Kouchleffel hinner di Uhrn, dou Aff.
WS12	Wu giehſte hi, ſolle m'r meat d'r gih?
WS13	'd ſeih ſchleegte Zaire.
WS14	Meih läibes Keand, bleib häi ſtih, däi bihſe Gens beiße dich dut.
WS15	Dou hoſt heut ohm mehrſte g'lernt ean beaſt broaf g'weaſt, dou därfſt froiher hamgih, als di Annern.
WS16	Dou beaſt noch näit gruß gennuk, um a Flaſch Wie ausſetrinke, dou mußt noch e biſſi woachſe un griſſer wea?n.
WS17	Gih, ſei ſu gout ean ſah's deiner Schweaſter, ſ'ſoll die Klahre? für unſer Moutter fertig nebe ean mit der Borſcht ſauber mache.
WS18	Häſt dou'n gekennt! do wär's annerſt komme, ean es deht beſſer im'n ſtih.
WS19	Wen hot m'r mein Koarb meat Flahſch g'ſtohle?
WS20	Er hot ſ'gedoh, als härre ſen zoum Dreſche b'ſtellt; ſ'huns aaber ſelbſt gedoh.
WS21	Wem horrer di neu Geſchichte r'zehlt?
WS22	Ma muß laut kreiſche, ſonſt verſteht er uns net.
WS23	Mir ſein moit un hun Dorſt.
WS24	Als m'r geſtern Owend zurückkohme, do hun di Annern ſchunt eam Bett g'läin un woarn feſt m ſchlofe.
WS25	D'Schnih eas heint Naacht bei uns leie gebliwe, ower heut Morgend es 'r g'ſchmolze.
WS26	Hinner unſerm Haus ſtih drei ſchiene Äppelbämcher meat rure Äppelcher.
WS27	Kennt'r näit noch n Ageblick uf uns waarte, dann gih m'r meat euch.
WS28	Ihr derft ſu kah Kinnereie treibe.
WS29	Unſer Berk is net ſu huhch, euer ſei viel hieher.
WS30	Wai viel Pund Worſcht ean wai viel Pund Brud wallt ihr hu?
WS31	Ich verſtih euch näit, ihr müßt e biſſi laurer ſchwätze.
WS32	Hot r ka Steckelche weiß Saafe für mich uf meim Tiſch gefunne?
WS33	Sein [Broärer] will ſich zwa ſchine neue Häuſer ean euren Gaarte baue.
WS34	D's Woart kahm'm von Herze.
WS35	Doas woar recht vo Euch.
WS36	Waas ſitze dou für Vichelcher owe uf'm Mäuerche?
WS37	Die Bauern hun fünf Ochſe ean neu Käih ean zwölf Schäfercher fur's Dorf gebrocht, däi wolle ſ'verkaafe.
WS38	Däi Leut ſei heut all draus uff 'm Feld ean mähe.
WS39	Gih nur, d'r berune Hund dout d'r nix.
WS40	Ich bin mit d'Leut do hinne üwer däi Wiſſe ean's Korn gefoahrn.
