---
Bogennummer: 27749
Ort: Burgbracht
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Katrin Kuhmichel
Anmerkungen: ''
...
WS01	Im Weander fläige die trockle Bleeder in de Loft ’rimm
WS02	’S hört gleich uff se schnaije, nochd’r wird’s Weader wieder besser
WS03	Mach’s Fauer, daß die Mealch kocht
WS04	Der goaut aal Mann iß meat deam Gaul ins Eis gebroche onn ins kaal Wasser gefalle
WS05	Er iß fir väijer oawer sechs Woche gestorwe
WS06	’S Fauer woar so heaß, die Koauche seinh joa onne ganz schwoaz gebrannt
WS07	Er ißt die Eier immer ohne Saalz onn Peaffer
WS08	Die Feuß douh mer <(ganz)> wieh, ich gloawe, ich honh se durchgelaafe
WS09	Eich seinh bei d’r Fraa geweast onn honh’s’r gesaat, onn sie saat, sie wott’s aach ihrn Dochter sanh
WS10	Ich will’s aach nait wieder donh!
WS11	Ich haage d’r gleich de Kochlöffel uff die Uhen, du Aff!
WS12	Wu geast du danh hinh, sonn m’r meat d’r ginh?
WS13	’S ’einh schlechte Zeire!
WS14	Meinh läib Keand, bleib häi onne stinnh, sust beiße dich däi bise Gäns dut
WS15	Doau hoast haut de mennst gelernt onn wist broav geweast, doau de<(r)>ffst freuher hemm gienh, wäi die annen
WS16	Doau wist noch näit gruß genunk, doau kannst noch koinh Flasche Weinh getrinke, doau mußt erscht noch e’ wink woahse onn grisser wern
WS17	Sei so goaut onn gienh hinh onn sag<(k)>’s deiner Schweaster, sie soll die Kloader fir auer Motter ferdig nähe onn meat d’r Bürschte sawer mache
WS18	Hest doau en gekannt, do wär’sch annerscht worn onn es stänn besser meat em
WS19	Wer hoat mear mein Korb meat dem Floasch gestohle?
WS20	Er dät, als hätte s’en zomm Dresche bestallt, sie honh’s oawer selwer gedonh
WS21	Weamm hoat er die nau Geschichte vezehlt?
WS22	Me muß laut schräije, sust hört er’s näit
WS23	Mear seinh meud onn honh Durscht
WS24	Wäi m<(e)>r nächt’s Owends hemm kome, do loag<(k)>e die annern schon eam Bett onn schläife fest
WS25	Der Schnieh iß bei uns die Noacht laije gebliewe, oaber de<(a)>r Morge iß er weg<(k)>gegange
WS26	Hinnig unserm Haus stiehn <(oawer)> drei schine Äggellbähm meat ruhre Äggelchen
WS27	Kannt ihr nait noch en Aag<(ch)>eblick uff uns gewoadde, nochd’r gieh mer meat och
WS28	Ihr derft koinh Keannerei so mache
WS29	Uns Berg’ seinh nait so huch, au’ seinh vill hicher
WS30	Wäiviel Pund Wurscht onn Brut wollt’ r honh?
WS31	Eich verstienh och näit, ihr mußt äbbes lauder schwaze
WS32	Hoat er näit <(fir meich)> e’ Steackelche weiß Seaffe uff meim Deasch gefonne?
WS33	Seinh Broauder will sich zwoai schine naue Häuser in au’en Goadde baue
WS34	Deas Wort kom ihm vom Herz
WS35	Doas woar recht vonh’ em!
WS36	Woas sitze do owe fir Vigelchen uff deam Mäuerche?
WS37	Die Bauern honh finef Ochse onn neunh Keuh onn zwölef Lämmer fir doas Dorf gebroacht, däi wotte s’e vekeaffe
WS38	Die Leut seinh haut all’ dauß imm Feald onn mähe
WS39	Gienh nur, der braunh Hund doaut d’r naut
WS40	Eich seinh meat de’ Leut’ do heanne iwe<(r)> die Wiese ins Korn gefoahn
