---
Bogennummer: 27765
Ort: Ulmbach
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Wenter fli=en die trockene Blä=er dorch die Luft ärem.
WS02	Es heit gleich auf z’schneie, nog würd des Wäer wier besser.
WS03	Donn Koll in de Owe, eß die Melich ball o’ z’koche fängt.
WS04	Der gut’ al’ Mann iß mi’m Gaul dorchs Eis gebroche on is kall Wasser gefalle
WS05	Hä iß für vier äwer sechs Woche gesturwe.
WS06	s Feuer woar zu hoas’, die Kuche seijo onne gaanz schwoarz g’brannt.
WS07	Hä eßt die Eier ömmer ohne Saalz on Peffer.
WS08	De Füss’ damm’r sähr weh, ich glab’, ich honnse durchgelaffe.
WS09	Jch sei bei dr Fra gewest on honser gesäät, on sie sätt, sie wöts ihrer Tochter sa.
WS10	Jch well’s a niet meh wi-er do.
WS11	Jch schlann d’r gleich mi’m Kochlöffel öm die Orrn, Du Aff!
WS12	Bu gehste hi, sommer mitd’r geh?
WS13	Es sein schlechte Zeire!
WS14	Mei lieb’ Kend, bleib do onne steh’, die böse Gäns beiße dich todt.
WS15	Du host heut’ om menste gelernt, on bist oartig gewäst, Du dörfst früher hamm geh eß die Annen.
WS16	Du wist nog nätt groß genunk öm a Flasch Wei auszetrenke, Du mußt escht nog a Enn woaß on grösser wern.
WS17	Geh, sei so gut on sans Deiner Schwester, sie sollt die Kloar für eure Motter fe’ttig näh’ on mitd’r Bürschte sauber mache.
WS18	Häst Du ihn g’kannt! dann wärsch annerscht g’komme, on es dät besser ömmen steh’.
WS19	Bär hot m’r mein Korb mit Floasch g’stohle?
WS20	Hä dätt so, eß häte sie ihn zum Dresche bestallt; sie hons ewer selber g’doh’.
WS21	Bemm hore da die näue G’schichte d’zahlt.
WS22	Mrr muß laut schreie, sönst verschtehre ons nihet.
WS23	Mir sei müd’ on hon Dorscht.
WS24	Bis m’rr nät’s Owed’s z’röck kome, do loge die Annen so z’ Bett’ on woarn fest am schloffe.
WS25	Der Schnee is heint die Noat bei ons leige g’bliewe, äwer de Morge ise g’schmolze.
WS26	Henner onsem Haus stenn drei schönne Äppelbamerje mit rore Äppellerje.
WS27	Kann d’r nihet nog ä Ageblickche off ons woate, noch gemer mit euch.
WS28	Jhr döfft nihet so Kennerei treiwe.
WS29	Ons Berg sei nihet z’hoch, euer sei viel höcher.
WS30	Biwel Pond Worscht on biwel Pond Brod wotter da ho?
WS31	Eich verstenn euch nihet, ihr mußt e besche läuter schwatze.
WS32	Hotd’r ka Stöckelje weiß Soaffe für mich off meim Dösch g’fonne?
WS33	Sei Bruer well sich zwoa schönne neue Häuser i euem Goatte bau’.
WS34	Dos Woat komem vo Herze!
WS35	Dos woar recht vo Euch.
WS36	Bos setze do för Vögellerje owe off dem Mäuerje?
WS37	Die Bauer hare fünnef Oasse on neun Küh on zwölf Schäfferje fürs Durf g’broat, die woatte se verkaff
WS38	Die Leut sein heut all dauß om Feld on mähe.
WS39	Geh nur, der brau Hond thu d’r niäst.
WS40	Jch sei mit de Leut do henne üwer die Wiese is Koorn ge’fann.
