---
Bogennummer: 27821
Ort: Philippstein
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Jm Wenter fleje die trockene Blärrer in dr Luft herim.
WS02	Es hört gleich off ze schneje, da wird ds Werrer wirrer besser.
WS03	Dou Kohle in da Owe, deß die Melch bahl ou sa koche fingt.
WS04	Dr gaure ahle Mann es met dem Gaul dorchs Eis gebroche un en des kalte Wasser gefalle.
WS05	Er es für veir ’ohr sechs Wuche gestorwe.
WS06	Das Fauer wor se haß, die Kauche sei jo unne ganz schworz gebrennt.
WS07	Er ißt die Ajer immer uhne Salz en Peffer..
WS08	Die Feuß tau mer so wih, ich glawe, eich hu se dorch g’lafe.
WS09	Aich sei bei d’r Fra g’west en hus ihr g’sat un sie saht, se wels ach ihrer Dochter sahn
WS10	Aich will’s ach neit mer wirrer dou.
WS11	Aich schlou d’r gleich met d’m Kochläffel um die Ohrn dou Aff.
WS12	Wu gihst dou hi, son wir met dir gihn?
WS13	S’sein schlächte Zeire.
WS14	Mei lewes Kend, bleiw hej ounne stih, dej biese Ges beiße deich dut.
WS15	Dou host haut a maste gelernt un seist ortig gewest, dou derfst frojer ham gih wej di annern.
WS16	Dou seist noch net gruß genunk, im ah Flasch Wei aussetrinke. dou mußt irscht noch a Enn wohse, en grißer wern.
WS17	Gih sei so gout, en sah deiner Schwäster, se soll die Klahrer für au Motter firtig nehe, en met d’r Bärscht sauwer mache. 
WS18	Häst dou ihn gekannt, da wirs annerscht gekomme un es thät besser immn stih. 
WS19	Wer hot mir mein Korb met Flasch gestohle.
WS20	Er däat su, als härre sej ihn zaum Dresche bestellt, se hous awer selbst gedau
WS21	Wem hot he die naue Geschichte erzählt.
WS22	Mr muß laut kreische, soust verstiht er us nit.
WS23	Mir sei meud, en hou Dorscht.
WS24	Als mir gestern Owend serick kome, do lage de annere schon em Bett un worn fest am schlofe.
WS25	D’r Schnej es des Nocht bei us lein gebliewn, ower haut Morje es er gschmolze.
WS26	Henner usem Haus stih drei schine Appelbämerchen met ruhre Äppelcher. 
WS27	Konnt ihr nit noch an Ageblickche of us worte, da gih mir met auch. 
WS28	Jhr derft nit solche Kinnerreien treiwe.
WS29	Us Berje sei nit sehr huk, die auern sei vill hicher.
WS30	Wej vill  Pund Worscht en wej vill Brut wollt ihr hou?
WS31	Eich verstih och nit, ihr mußt a Bische laurer schwäze.
WS32	Hot ihr ka Stick weiß Saf für maich off meim Disch gefounne?
WS33	Sei Braurer will sich zwa schine naue Häuser en aum Gorte baue.
WS34	Doas Wort kom ihm vom Herze.
WS35	Doas wor rägt von ihne.
WS36	Woas sätze do fir Vögelche owe ouf d’m Mäuerche?
WS37	Die Bauern hou 5 Ochsn un 9 Käuh on 12 Schäfercher für das Dorf gebrogt gebrogt, daj wolle sé ver=kaafe.
WS38	Die Leut sei haut all drauß ouff dem Feld en mähe.
WS39	Gih nur, der brau Hund dout dir naut.
WS40	Eich sei met den Leut do henne üwer di Wiß ens Korn g’fohrn. 
