---
Bogennummer: 27846
Ort: Holzheim
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Sabine Krause
Anmerkungen: ''
...
WS01	Im Wirnde floge die traokene Blirer dorch die Loft erim.
WS02	'S hört gleich of se schneie, dann wird des Werrer wirrer besser.
WS03	Dou Kounn enn de Owe, däß die Milch bal oan se kache fingt.
WS04	Dr geure ale Mann es mit dem Geul dorch's Eis gebraoche enn enn des kahlt Wesser gefenn.
WS05	Er eß vor vier awer sicks Woche gestareben.
WS06	Da Fauer woar se haß, die Kuche sei ja onne ganz schwoaz gebraht.
WS07	Er ißt die Aier immer ohne Saal onn Päffer.
WS08	Die Fäus du mer sehr wih, ich glawe, ich hei se dorchgelaae.
WS09	Sein bei dr Fraa geweest enn hun's 'r gesaht enn se saht, se wellt es aach ihrn Doachtn san.
WS10	Aich will's each ne mih wirrer dun!
WS11	Aich schlua dich gleich mit dem Kouchlöffel im die Orn, dou Aff!
WS12	Wu gihst de hin, sonn mer mit der gi?
WS13	Es sein schlächte Zeire!
WS14	Mei leib Kend, bleiw hei onne stih, die bise Geins beiße dich dut.
WS15	Dou host heur om maiste gelernt enn beist oartig geweast, dou dörft freuer ham gih wäi di Anrn.
WS16	Dou seiß noach net grust genunk, um e Flasch Wein eussetrunke, dou meust iäscht noech n Zue weese en grisze wern.
WS17	Gih, sei se geit en sah deier Schweaster, se sollte die Klarer für au Mother firtig niewe en mit der Boschte rahn machen.
WS18	Häst de en gekaht! Denn wärsch enischt gekommen en es dät besser im en stih.
WS19	Wer hoat me mein Korarb mit Flaasch gestohle?
WS20	Hiä däart soah, als hütte se ihn zoum Dreschen bestahlt; se hous awer säaebst getoa.
WS21	Wiem hüre die neu Geschichte verzahlt?
WS22	M'r meust laur kreischen, sonst verstiht er us net.
WS23	Mir sei meur en hä Doscht.
WS24	Als mÄr geast drobet serick komen, doe loa die Anern schu ein Bett en worn fest om schlofe.
WS25	D'r Schnei es der Noacht bei us leie geblewe, awer haur Murgen es er vrschmolze.
WS26	Hinner usem Heus stih drei schine Äppilbamerchen mit rure Äppelchen.
WS27	Konnt 'r niet noech en Agebleäk ofes woate, dann gihmer mir uch.
WS28	Ihr dürft niet solche Kennereie treiwe.
WS29	Us Berge sei niet söhr huch, au sei veil hicher.
WS30	Weihvil Pond Woscht en weihvil Brud wollt 'r hu?
WS31	Eich vestih uch net, ihr meußt e wink laure schwätze.
WS32	Hor 'r ka Stickelche weiß Save für meich of meim Tisch gefonne?
WS33	Sein Brourer will sich zwa schine neue Häuser en auem Goade baue.
WS34	Doas Woat kom em ve Herze.
WS35	Doas woar rächt von 'n.
WS36	Woes sitze dou für Vielerchen owe of dem Mäuerchen?
WS37	Die Bauern herre fünf Oesse en neun Keuh en zwilf Schäfchen fir des Doaef gebrocht, däi wollte se verkafe.
WS38	Die Leur sei heur all daus of dem Färlt en miwe.
WS39	Gih nur, der braune Hond dout d'r naut.
WS40	Eich seig mit d' Leur do henne üwer die Wisse ens Loarn gefoare.
